product_id,sku_code,barcode,product_name_ko,product_name_en,brand_id,brand_name,category_l1,category_l2,category_l3,category_l4,retail_price_krw,cost_price_krw,global_price_usd,jp_price_jpy,weight_g,volume_ml,is_bundle,bundle_components,ingredient_ids,key_ingredient_1,key_ingredient_2,key_ingredient_3,skin_type_target,skin_concern_target,launch_date,discontinue_date,status,vegan_yn,cruelty_free,ewa_grade,origin_country,shelf_life_months,supplier_id,min_order_qty,tax_type,attr_01,attr_02,attr_03,attr_04,attr_05,attr_06,attr_07,attr_08,attr_09,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,quality_score_01,quality_score_02,quality_score_03,quality_score_04,quality_score_05,quality_score_06,quality_score_07,quality_score_08,quality_score_09,quality_score_10,quality_score_11,quality_score_12,quality_score_13,quality_score_14,quality_score_15,quality_score_16,quality_score_17,quality_score_18,quality_score_19,quality_score_20,pim_metric_01,pim_metric_02,pim_metric_03,pim_metric_04,pim_metric_05,pim_metric_06,pim_metric_07,pim_metric_08,pim_metric_09,pim_metric_10,pim_metric_11,pim_metric_12,pim_metric_13,pim_metric_14,pim_metric_15,pim_metric_16,pim_metric_17,pim_metric_18,pim_metric_19,pim_metric_20,pim_metric_21,pim_metric_22,pim_metric_23,pim_metric_24,pim_metric_25,pim_flag_01,pim_flag_02,pim_flag_03,pim_flag_04,pim_flag_05,pim_flag_06,pim_flag_07,pim_flag_08,pim_flag_09,pim_flag_10,pim_flag_11,pim_flag_12,pim_flag_13,pim_flag_14,pim_flag_15
PRD-00011,SKU00000011,8801241730774,아모레퍼시픽 더블 바디로션 30g,Product_5vqfjk2d,BR-005,LG생건,바디케어,바디로션,바디로션_프리미엄,sub_kie6qkky,28000.0,36724,43.73,2480,50,100,N,,ING-0498|ING-0086|ING-0001|ING-0031|ING-0478|ING-0472|ING-0247|ING-0140|ING-0307|ING-0129|ING-0430|ING-0349|ING-0195,병풀추출물,녹차추출물,징크옥사이드,지성,트러블|모공,21/11/2020,,판매중,해당없음,False,,태국,12,SUP-004,24,과세,val_2,,val_9,val_3,val_3,,val_23,val_33,val_1,val_29,val_8,val_27,val_3,val_16,,val_35,val_24,val_49,,val_48,val_22,,val_31,val_18,val_40,,val_35,,val_7,val_16,val_34,,val_25,,val_47,val_44,val_15,,val_34,,17.11,45.49,32.57,36.51,22.1,16.09,26.419999999999998,12.98,5.29,21.029999999999998,11.200000000000001,20.549999999999997,75.7,28.03,11.790000000000001,49.3,85.22999999999999,30.830000000000002,19.52,20.89,17.69,126.68,136.57,861.78,78.82,281.92,259.75,928.44,39.67,1042.19,1595.96,95.61,175.91,35.71,477.73,158.52,195.92,1349.63,29.63,146.26,574.14,68.42,20.59,511.53,3396.09,no,O,1,1,False,Y,0,O,N,False,X,True,Y,0,O
PRD-00012,SKU00000012,8806565648575,에스쁘아 리뉴얼 민감성 100ml,Product_6arygyzi,BR-102,VDL,더마,민감성,민감성_비건,sub_22ubz8zr,89000.0,67286,82.53,2480,15,100,N,,ING-0432|ING-0324|ING-0109|ING-0300|ING-0431|ING-0262|ING-0145|ING-0024,PHA,AHA,카밀러,지성|중성,각질|색소침착|홍조,2025-04-28,,판매중,Y,인증중,1,미국,36,SUP-048,6,과세,,val_2,,val_24,,val_8,val_49,val_15,val_16,val_26,val_2,,val_1,,val_7,val_11,val_24,val_9,,val_45,val_19,val_36,val_19,val_46,val_28,,val_4,,val_15,val_2,val_46,val_13,val_6,,,val_25,val_38,val_29,val_41,val_40,34.74,56.75,31.840000000000003,3.1199999999999997,13.0,29.470000000000002,50.339999999999996,7.48,33.19,7.37,29.299999999999997,40.32,48.74,36.47,36.89,4.24,11.459999999999999,34.64,34.27,14.45,14.51,220.75,1167.47,98.66,470.9,335.1,365.9,146.08,248.81,220.01,1690.46,26.91,78.75,443.42,769.38,266.89,999.05,338.38,130.79,155.52,604.23,22.89,624.95,563.16,23.4,no,O,0,1,False,Y,0,O,Y,False,O,True,N,0,O
PRD-00013,SKU00000013,8806260937465,바비브라운 슈퍼 보습강화 기획세트,Product_71rwhpmp,BR-085,라운드랩,더마,보습강화,,sub_r60si399,120000.0,77842,129.52,2980,30,150,N,,ING-0379|ING-0274|ING-0289|ING-0036|ING-0154,토코페롤,아스코빌글루코사이드,PHA,지성,다크서클|피지,2022-11-04,,판매중,해당없음,False,2,한국,24,SUP-031,6,과세,val_12,val_47,val_8,,val_34,,val_23,,val_26,,val_14,val_22,val_15,,val_29,val_31,val_8,val_1,val_9,val_8,val_31,val_3,val_16,val_7,val_20,val_37,,val_38,val_37,val_21,val_10,,val_10,val_33,val_41,,val_39,,val_26,val_16,18.68,4.52,42.15,9.0,23.45,40.050000000000004,33.7,10.14,17.78,18.95,26.340000000000003,16.63,30.9,6.25,25.319999999999997,12.04,15.03,13.74,27.87,39.07,9.92,24.34,41.14,280.12,122.86,185.55,295.62,182.75,5.88,506.91,307.04,177.33,297.57,159.5,834.75,209.95,43.55,73.71,8.38,124.78,505.93,25.46,321.17,989.56,398.17,yes,X,1,0,True,N,0,X,Y,False,O,False,Y,0,X
PRD-00014,SKU00000014,8808279302094,투쿨포스쿨 울트라 두피케어 #02,Product_cem8ml7k,BR-066,토리든,헤어케어,두피케어,두피케어_더마,sub_uey09ahk,18000.0,17908,52.25,4980,30,200,N,,ING-0203|ING-0358|ING-0063|ING-0426,스쿠알란,아스코빌글루코사이드,BHA,복합성,아토피|색소침착,2023-09-30,,판매중,Y,False,3,일본,18,SUP-054,48,면세,val_48,,val_6,val_14,val_41,val_3,val_6,val_35,val_35,val_7,,val_11,val_16,val_35,val_3,val_24,,,,val_36,val_40,val_23,val_23,,val_46,,val_18,,val_4,val_14,val_22,val_41,val_3,val_39,val_18,val_48,val_47,val_1,val_45,val_24,39.32,9.64,31.069999999999997,29.56,8.219999999999999,15.340000000000002,38.440000000000005,4.54,10.56,38.76,32.019999999999996,49.72,38.71,20.34,23.36,8.129999999999999,14.82,53.6,25.590000000000003,41.53,37.35,8.12,326.91,166.02,855.17,12.36,543.78,519.67,523.08,173.9,210.3,384.27,171.69,558.01,348.09,572.93,1464.51,126.23,15.01,295.67,442.33,186.56,381.38,547.34,111.06,no,O,1,0,True,Y,0,X,N,True,X,True,N,0,X
PRD-00015,SKU00000015,8801531125769,이니스프리 맥스 네일케어 기획세트,Product_7gopmyu2,BR-076,닥터자르트,네일,네일케어,네일케어_남성용,sub_6r92z2a3,32000.0,95617,143.34,9800,250,50,N,,ING-0372|ING-0285|ING-0144|ING-0450|ING-0222,라벤더,아데노신,카밀러,지성|건성,피지|보습|각질,07/03/2024,,시즌한정,N,False,3,한국,6,SUP-027,100,면세,,val_6,val_19,,val_45,val_37,val_18,val_32,val_18,val_47,val_7,val_2,val_43,val_11,,,val_40,val_31,val_33,val_5,val_21,val_45,,val_10,val_48,,val_14,val_34,val_24,,val_24,val_12,,val_19,val_9,,val_27,val_38,val_42,val_15,18.9,16.689999999999998,25.119999999999997,47.89,83.98,12.07,47.370000000000005,50.99,3.25,13.750000000000002,61.99,53.779999999999994,22.49,9.89,17.84,45.92,7.41,54.74,24.33,20.25,24.47,113.37,120.14,256.99,228.57,132.59,166.67,1000.45,17.98,481.73,19.92,719.97,354.85,107.26,254.84,72.4,1203.72,502.4,324.74,147.45,109.85,243.48,8.35,2847.5,177.77,yes,O,1,1,True,Y,1,X,Y,True,X,False,N,1,X
PRD-00016,SKU00000016,8804146140338,파파레시피 슈퍼 솔리드퍼퓸 #03,Product_u5vgz38m,BR-008,이니스프리,향수,솔리드퍼퓸,솔리드퍼퓸_남성용,sub_wg1i77gn,22000.0,53626,22.67,2480,250,300,N,,ING-0313|ING-0259|ING-0491|ING-0411|ING-0163|ING-0453,세라마이드,티트리오일,아스코빌글루코사이드,복합성|민감성|건성,주름|다크서클|모공,2023.04.07,,판매중,N,인증중,1,한국,18,SUP-034,24,과세,,val_8,val_34,,val_6,val_26,val_25,val_20,,,val_28,,,val_1,val_21,val_13,val_12,,,val_6,val_17,val_24,val_37,val_47,val_30,val_19,val_17,val_12,val_34,val_12,val_24,val_11,,,val_26,val_9,val_15,val_4,val_21,,29.93,4.37,23.41,18.85,12.83,18.07,40.53,23.03,42.85,17.5,25.2,10.75,13.350000000000001,39.47,17.94,7.7299999999999995,66.72,69.87,23.65,13.54,1.31,146.75,1085.47,131.57,69.33,98.76,108.11,444.83,127.39,199.31,428.49,473.19,487.51,59.43,5.96,2.03,218.61,149.61,48.14,136.87,155.24,21.73,368.62,270.44,1395.09,no,O,0,0,False,N,1,O,N,True,X,True,N,1,O
PRD-00017,SKU00000017,8801661971081,올리브영PB 더블 블러셔 기획세트,Product_7d53iibf,BR-061,아누아,메이크업,블러셔,블러셔_한방,sub_h3i0d7u2,9900.0,40228,7.65,2980,30,20,N,,ING-0485|ING-0176|ING-0326|ING-0134|ING-0386|ING-0363|ING-0232|ING-0140|ING-0126|ING-0340|ING-0165|ING-0175|ING-0108,비타민C,판테놀,PHA,지성|민감성,아토피|주름|트러블|모공,2023-03-10,,시즌한정,N,False,미검증,한국,24,SUP-051,24,과세,val_6,val_26,val_32,val_22,,val_18,val_46,,val_28,val_10,val_9,val_36,val_46,,val_48,val_21,val_5,val_8,val_33,val_25,val_8,val_42,val_41,val_23,val_37,val_21,val_12,val_39,,val_5,,val_23,val_38,,,val_30,val_44,val_44,,val_40,7.5,23.630000000000003,8.02,16.939999999999998,17.04,14.23,9.42,34.65,28.07,37.25,29.98,41.48,6.36,34.489999999999995,55.15,10.08,27.839999999999996,19.43,14.860000000000001,14.19,31.18,2.78,851.91,368.29,20.23,76.08,421.34,1358.95,172.55,330.91,585.3,223.69,15.8,66.15,7.05,25.5,2357.28,36.53,217.12,60.51,157.31,301.16,328.16,545.23,1184.87,no,O,1,0,True,Y,0,O,Y,False,X,True,N,0,X
PRD-00018,SKU00000018,8809206720669,닥터자르트 프로 보습강화 #02,Product_w09xlgkq,BR-016,올리브영PB,더마,보습강화,보습강화_프리미엄,sub_b1ts46t1,18000.0,26386,136.1,2480,150,300,N,,ING-0492|ING-0307|ING-0169|ING-0009|ING-0468|ING-0355|ING-0069|ING-0331|ING-0473|ING-0002,감초추출물,판테놀,아스코빌글루코사이드,트러블성,탄력|주름,20240513,,시즌한정,N,인증중,3,호주,30,SUP-012,12,과세,val_21,val_20,val_39,,,val_2,val_25,,val_45,val_49,val_39,val_46,val_42,val_21,val_29,val_31,val_50,val_35,val_2,val_26,,val_17,val_39,val_11,val_39,,val_33,val_46,,val_47,val_19,,val_11,val_34,,val_4,val_31,val_28,val_18,val_10,32.25,15.659999999999998,6.02,12.540000000000001,33.75,19.15,19.39,79.17999999999999,14.39,47.68,42.57,8.1,35.27,56.05,6.909999999999999,50.870000000000005,7.359999999999999,37.95,18.55,33.51,5.65,130.55,17.69,2724.03,356.32,73.06,418.5,49.63,33.8,391.62,38.95,69.86,856.64,9.83,60.02,34.45,1173.48,206.86,130.04,71.16,149.2,188.28,621.12,1342.72,2238.85,no,X,1,1,True,Y,0,O,Y,True,O,False,N,0,X
PRD-00019,SKU00000019,8809125975646,헤라 리뉴얼 네일폴리시 100ml,Product_gz3ce55h,BR-117,이니스프리,네일,네일폴리시,네일폴리시_오가닉,sub_tzu9qegu,15000.0,49754,14.95,3480,100,250,N,,ING-0244|ING-0003|ING-0462|ING-0005|ING-0345|ING-0089|ING-0212|ING-0285|ING-0459|ING-0357|ING-0361|ING-0251,로즈힙오일,감초추출물,백단향,복합성,각질|보습|모공,20200208,,판매중,Y,False,3,한국,12,SUP-028,100,과세,val_35,,val_15,val_15,,val_19,,val_39,,val_29,val_17,,val_34,val_12,,val_32,val_2,val_20,val_39,val_47,val_8,val_28,,val_19,val_31,val_45,,val_8,val_10,,val_34,,,,val_24,val_5,val_17,val_26,val_47,val_43,28.939999999999998,30.18,13.74,61.529999999999994,5.81,17.62,9.24,27.6,29.24,10.34,34.599999999999994,6.569999999999999,19.759999999999998,16.46,9.02,50.2,30.659999999999997,68.46,11.600000000000001,58.68,38.43,56.39,520.76,487.52,213.02,15.39,327.32,733.05,0.84,1474.2,494.64,48.75,2179.85,170.36,758.39,369.68,454.02,1390.99,274.97,189.3,584.28,130.42,442.81,155.29,838.78,yes,O,1,1,False,Y,1,O,N,False,O,True,N,1,X
PRD-00020,SKU00000020,8805749552612,클리오 프로 프라이머 세트,Product_7yd9mizn,BR-033,더페이스샵,메이크업,프라이머,프라이머_오가닉,sub_5rbv6i2x,38000.0,31302,148.82,1980,50,15,N,,ING-0202|ING-0276|ING-0042|ING-0404|ING-0449|ING-0333|ING-0334|ING-0040|ING-0016|ING-0457|ING-0427|ING-0418|ING-0344|ING-0228|ING-0345,BHA,펩타이드,프로폴리스,트러블성,홍조,10-01-2020,,일시품절,N,True,3,일본,36,SUP-045,1,과세,,,,val_13,val_10,val_43,val_41,val_35,,,,val_5,val_31,,val_40,val_18,val_36,val_11,val_41,val_14,,,,val_48,val_30,val_13,val_50,val_10,,val_23,val_9,val_13,val_24,val_15,val_7,val_16,val_33,,val_27,val_4,21.98,35.32,42.29,38.07,46.989999999999995,34.07,6.68,20.78,15.55,60.69,30.85,31.540000000000003,45.12,15.06,26.169999999999998,13.61,26.779999999999998,44.5,6.45,30.599999999999998,24.73,132.88,1766.65,234.21,7.79,73.44,282.49,5094.9,27.16,1388.97,1283.08,339.17,448.99,445.75,489.71,807.86,433.55,318.37,171.94,91.33,324.28,98.7,169.63,169.4,109.32,no,X,0,0,True,Y,0,X,N,False,O,False,Y,0,X
