return_id,ord_num,cust_key,return_type,return_reason,return_reason_detail,request_date,pickup_date,received_date,inspection_result,refund_amount_krw,refund_method,refund_status,refund_date,cs_agent_id,cs_channel,satisfaction_score,returned_item_code,returned_qty,photo_submitted,is_repeat_returner,cs_metric_01,cs_metric_02,cs_metric_03,cs_metric_04,cs_metric_05,cs_metric_06,cs_metric_07,cs_metric_08,cs_metric_09,cs_metric_10,cs_metric_11,cs_metric_12,cs_metric_13,cs_metric_14,cs_metric_15,cs_flag_01,cs_flag_02,cs_flag_03,cs_flag_04,cs_flag_05,cs_flag_06,cs_flag_07,cs_flag_08,cs_flag_09,cs_flag_10
RT-000011,ORD00012913,M22A0A314,부분반품,파손/불량,상세사유_ls3riz1w,2024-11-06,03-11-2025,2025-11-30,승인,166799,원결제수단,처리중,,agent_12,이메일,2,SKU00001566,1,Y,1,402.43,56.76,6.46,20.8,925.81,25.93,219.61,226.84,519.66,44.17,250.16,57.08,610.13,381.65,171.31,True,0,False,False,0,0,Y,0,yes,X
RT-000012,ORD00003678,M6D76AE95,교환,용량부족,,2023-01-01,07-01-2025,03-01-2024,거절,22312,쿠폰발급,처리중,,agent_24,채팅,5,SKU00001725,1,N,0,35.3,46.82,24.2,54.48,1033.29,78.41,128.15,1191.42,285.72,206.44,534.99,86.43,6.3,63.63,40.0,False,0,True,False,0,0,N,1,yes,X
RT-000013,ORD00002153,MB0C11464,부분반품,텍스처불만,,20230804,20251213,12/04/2024,승인,18265,계좌이체,처리중,,agent_6,카카오톡,3,SKU00000434,1,N,0,858.98,14.42,16.95,65.6,158.68,9.74,159.89,58.5,282.25,427.67,327.98,184.7,1076.83,56.05,363.02,True,0,False,False,1,1,N,0,no,X
RT-000014,ORD00013846,M84B43EB9,반품,용량부족,상세사유_gja6hbfi,09-10-2024,,,승인,16724,원결제수단,처리중,07-10-2025,agent_1,전화,1,SKU00001486,1,N,1,2393.76,95.75,19.76,312.08,143.35,28.54,87.48,42.12,453.48,67.23,98.65,159.36,1316.28,2086.96,924.13,False,0,False,True,0,1,Y,1,yes,X
RT-000015,ORD00005041,M1389F2B6,반품,향불만,,08-12-2025,04/09/2025,,승인,40217,원결제수단,완료,,agent_27,이메일,4,SKU00001467,1,N,1,399.88,61.03,41.45,210.92,161.57,297.87,4.06,145.09,1673.52,1256.69,456.93,29.06,1391.86,13.59,1993.4,True,1,True,False,1,0,Y,1,yes,O
RT-000016,ORD00008497,M53EE2194,반품,색상불일치,,07-19-2024,2023.05.02,2025.01.11,,15403,포인트,완료,08-30-2024,agent_5,채팅,,SKU00001905,2,N,0,813.91,25.22,2.38,193.98,312.9,31.63,234.27,411.36,162.04,17.43,211.2,297.0,1073.15,1016.75,311.63,True,1,True,True,1,1,N,1,no,O
RT-000017,ORD00011516,M23BFEF8E,반품,향불만,,2024-10-11,01-28-2024,,승인,29597,원결제수단,거절,2025.09.15,agent_6,게시판,4,SKU00001317,1,N,0,3226.18,20.24,8.27,269.88,172.29,58.7,203.09,293.23,713.82,333.74,513.09,9.44,512.59,233.59,367.8,True,0,True,True,1,0,N,1,yes,O
RT-000018,ORD00007152,M6A8D141E,교환,변심,상세사유_o8tlvzk5,2024-02-18,2024.08.05,22/10/2025,거절,148309,쿠폰발급,처리중,2024-11-19,agent_21,카카오톡,4,SKU00000264,1,N,0,68.15,42.02,0.01,607.4,54.12,5.64,584.63,329.93,618.26,164.53,881.14,223.37,300.9,1246.91,352.22,False,1,True,True,0,1,N,0,no,O
RT-000019,ORD00003251,MB1671495,반품,파손/불량,,2025-04-18,,,승인,30381,포인트,완료,,agent_22,이메일,1,SKU00000433,1,N,0,1112.43,6.39,21.21,104.46,90.93,15.79,44.36,28.66,1191.1,133.07,48.06,78.18,460.19,743.94,985.85,True,0,True,False,0,0,N,0,no,X
RT-000020,ORD00014717,M272D94FD,전체반품,알러지반응,,11/12/2025,12-24-2024,20240315,승인,49776,포인트,대기,2025.11.14,agent_18,이메일,4,SKU00001760,2,N,0,608.86,35.03,32.87,132.11,776.57,70.32,132.49,227.11,512.68,447.13,438.59,210.97,434.18,748.68,678.16,True,0,False,True,0,0,N,1,yes,O
RT-000021,ORD00004819,MD9CB6E17,부분반품,사이즈맞지않음,상세사유_mhz6jbuw,20240222,12-24-2025,23/03/2023,검수중,18784,원결제수단,완료,,agent_23,카카오톡,5,SKU00000889,1,N,0,569.33,167.4,0.48,178.73,151.59,81.11,224.98,159.42,110.71,101.38,284.62,398.76,616.04,1292.17,380.72,False,0,False,False,1,1,N,1,yes,O
RT-000022,ORD00014841,M95629C68,반품,유통기한임박,,02-01-2025,20230803,28/10/2024,거절,29674,계좌이체,완료,2024.08.27,agent_11,카카오톡,,SKU00001763,2,Y,0,594.38,29.34,24.3,104.34,256.41,103.52,199.52,4.55,528.62,117.2,188.53,138.26,3012.29,451.99,108.18,True,1,False,True,0,1,Y,1,yes,O
RT-000023,ORD00012444,M4084015E,반품,파손/불량,상세사유_7w5mneij,2024-12-04,2025.08.22,20250519,승인,11773,계좌이체,대기,2025.01.12,agent_13,전화,1,SKU00001550,1,N,0,18.32,125.54,5.56,111.14,1202.68,71.51,90.16,469.68,300.11,27.33,994.58,14.99,101.32,853.92,81.08,True,0,True,False,1,1,Y,1,yes,X
RT-000024,ORD00013307,MCAB21C36,반품,텍스처불만,,2023.03.29,20240622,,승인,4487,쿠폰발급,처리중,08/08/2023,agent_6,이메일,1,SKU00001549,3,Y,1,102.06,83.79,2.54,137.25,709.36,17.8,20.35,916.78,142.63,310.03,139.43,264.18,2322.33,255.79,1597.08,True,1,True,False,0,0,N,1,yes,X
RT-000025,ORD00009651,M41E0C49D,교환,사이즈맞지않음,,12-26-2023,,2025.07.19,승인,8388,쿠폰발급,완료,2024-08-18,agent_12,게시판,5,SKU00000049,1,N,1,67.51,7.36,15.47,528.87,665.31,198.44,151.46,610.3,989.7,357.99,1069.96,66.62,735.02,558.07,709.15,True,0,False,True,0,1,N,0,no,O
RT-000026,ORD00007456,M4ECA91D9,반품,향불만,,06/02/2024,2025-10-03,20231227,승인,26948,포인트,완료,09/07/2025,agent_7,이메일,3,SKU00001884,3,N,0,1066.95,4.82,40.01,40.85,1184.99,14.86,62.59,115.07,444.97,34.1,121.98,63.82,533.07,418.42,83.49,True,1,False,True,0,1,N,0,no,X
RT-000027,ORD00012096,M8D791EF4,교환,파손/불량,,29/03/2023,20230507,,승인,42057,쿠폰발급,완료,20231026,agent_13,채팅,5,SKU00001224,1,Y,0,834.58,22.49,17.69,58.77,242.71,63.05,238.15,487.31,1736.46,128.38,1539.25,167.88,1151.91,686.19,184.78,False,0,True,True,1,1,N,0,no,X
RT-000028,ORD00000973,MA4535970,반품,향불만,,28/07/2024,20241020,2025.11.05,승인,7825,원결제수단,완료,2023.07.07,agent_5,카카오톡,1,SKU00001914,1,N,0,49.34,17.02,17.86,186.62,566.87,82.35,46.74,168.96,440.42,39.31,54.8,4.05,433.74,1316.45,44.66,False,0,True,False,1,1,Y,0,no,X
RT-000029,ORD00007940,MB3DC66A6,교환,알러지반응,상세사유_8bgdauv0,20250614,,20230712,검수중,39431,포인트,완료,29/01/2025,agent_4,카카오톡,,SKU00000104,1,N,0,260.87,34.09,18.79,82.86,1489.88,491.09,9.66,251.22,30.9,588.37,984.04,265.91,1503.07,365.75,908.95,False,1,False,True,1,1,N,0,yes,X
RT-000030,ORD00003210,MA8044186,반품,유통기한임박,,02-10-2023,04-21-2025,03/06/2024,승인,5100,포인트,완료,,agent_10,카카오톡,1,SKU00001948,3,N,0,14.59,13.51,134.37,93.05,657.62,67.39,75.04,22.64,507.76,176.89,6.02,366.37,115.65,737.7,243.21,True,1,True,True,0,1,Y,0,yes,X
RT-000031,ORD00010470,MBF8C82AF,반품,텍스처불만,상세사유_oa59w27u,01-03-2023,2025.04.01,03-30-2025,승인,1682,포인트,완료,,agent_4,채팅,5,SKU00000502,2,N,1,32.42,19.67,0.3,275.88,95.0,163.62,929.68,284.16,156.71,110.88,31.02,105.43,277.51,805.11,8.61,True,0,False,True,1,1,N,0,yes,X
RT-000032,ORD00006264,M9D03CE93,교환,가품의심,,11/02/2023,11-06-2024,06-13-2023,,7154,원결제수단,처리중,,agent_14,채팅,2,SKU00000015,2,N,0,2067.92,15.71,3.4,35.94,334.83,29.32,101.18,113.59,202.72,147.64,1466.84,80.63,1250.4,260.48,744.74,False,0,False,False,0,1,N,1,no,X
RT-000033,ORD00004823,MF1C32E91,반품,알러지반응,상세사유_ftg43p64,15/02/2025,2025.02.19,01-09-2023,부분승인,20427,쿠폰발급,대기,02-27-2023,agent_10,카카오톡,5,SKU00000969,1,N,0,932.09,35.32,6.31,960.81,454.6,44.69,311.63,26.88,223.27,257.13,469.42,202.17,566.53,402.29,592.9,True,0,True,True,0,0,Y,0,yes,O
RT-000034,ORD00002653,M09DBC5F5,반품,성분불만,,2023.08.31,03-14-2025,2023.09.08,승인,22772,원결제수단,완료,,agent_22,카카오톡,1,SKU00001513,1,Y,0,782.38,13.88,31.98,1.18,524.23,124.28,134.29,621.44,172.64,425.14,29.47,250.42,846.39,390.75,878.74,False,1,False,False,1,0,Y,0,yes,O
RT-000035,ORD00013888,M7D5FFFA0,교환,성분불만,,05-16-2023,20251023,20230219,거절,3880,쿠폰발급,완료,,agent_7,채팅,4,SKU00001297,3,Y,0,470.18,24.67,11.14,59.99,231.4,565.33,96.11,404.01,97.17,378.52,217.18,114.93,164.91,1739.23,1655.21,True,0,False,True,1,1,Y,1,no,X
RT-000036,ORD00009692,M65F61856,반품,오배송,,05-07-2023,2023-03-22,,승인,4386,쿠폰발급,완료,,agent_3,카카오톡,2,SKU00001175,1,N,0,430.28,36.6,14.31,28.92,997.47,10.22,278.61,486.29,818.91,40.04,2892.75,469.47,23.33,646.92,709.35,False,1,False,True,0,0,Y,0,yes,O
RT-000037,ORD00010715,M072D504F,전체반품,파손/불량,,03-02-2023,2023-10-31,01-06-2023,승인,137790,계좌이체,대기,,agent_19,채팅,,SKU00001226,3,N,1,960.15,19.05,2.72,235.91,139.71,59.06,58.77,496.98,304.77,231.09,230.61,55.8,218.76,750.21,85.59,False,0,False,False,0,0,N,1,no,O
RT-000038,ORD00005781,M14DF35A7,반품,오배송,,10-05-2025,20240113,20241206,거절,20076,계좌이체,완료,2023.11.01,agent_21,카카오톡,1,SKU00001887,2,N,1,466.62,12.47,2.05,24.01,1221.7,7.12,306.07,159.45,394.42,63.27,81.16,163.15,2057.85,90.22,83.26,False,0,True,True,1,0,N,0,no,X
RT-000039,ORD00014599,M3978E2AA,반품,오배송,상세사유_6rpviorj,20230316,,,승인,3808,쿠폰발급,완료,,agent_17,채팅,1,SKU00001102,1,N,1,813.29,19.18,4.71,894.62,348.61,154.97,280.04,250.18,1518.43,456.51,957.69,359.7,1771.74,92.22,3091.58,True,0,True,False,1,0,Y,0,yes,X
RT-000040,ORD00002259,M895AC4A0,부분반품,변심,,15/07/2024,,02/08/2023,승인,2208,포인트,처리중,,agent_15,이메일,5,SKU00001475,1,N,0,1420.05,45.51,6.21,225.71,430.08,25.28,298.54,126.66,420.93,109.31,146.14,66.13,668.09,1029.56,2191.26,False,1,True,True,0,1,Y,1,no,X
RT-000041,ORD00010229,MA8D34945,부분반품,변심,,20250612,20250922,14/07/2024,검수중,8723,포인트,완료,21/09/2025,agent_21,전화,2,SKU00001312,1,N,0,115.65,32.49,31.67,360.2,488.49,224.16,5.29,412.66,172.24,121.41,1189.04,180.17,746.13,19.33,95.75,True,0,True,True,0,0,Y,0,yes,O
RT-000042,ORD00000710,MB8579CC4,반품,용량부족,상세사유_bel05s1g,04-05-2025,11-10-2024,2025.08.14,부분승인,11270,포인트,완료,,agent_10,전화,,SKU00000681,1,N,0,43.84,69.03,1.92,290.48,527.54,125.12,204.82,425.16,564.97,252.63,338.64,44.79,243.51,36.47,99.93,True,1,False,False,1,0,N,0,yes,X
RT-000043,ORD00006900,MDCC9EAE1,반품,유통기한임박,,08-20-2025,01/08/2025,08-07-2023,승인,22523,포인트,처리중,,agent_12,전화,2,SKU00000303,2,N,0,193.41,54.34,12.72,95.26,17.75,123.95,93.95,625.39,1363.97,112.45,122.0,103.62,47.28,337.7,718.91,True,1,True,True,1,1,Y,0,yes,O
RT-000044,ORD00001362,M92E6270C,반품,가품의심,상세사유_qvzsyggq,03-26-2024,04-30-2025,,부분승인,15054,포인트,처리중,,agent_14,전화,3,SKU00001734,1,Y,0,189.83,6.82,39.99,17.68,2652.87,235.7,95.05,364.29,762.72,133.56,1307.82,460.88,1538.29,621.22,2238.9,False,1,True,True,1,0,Y,0,yes,X
RT-000045,ORD00002518,MBB206D7F,반품,변심,,2023.01.25,2025-10-12,04-22-2025,검수중,37355,포인트,거절,,agent_12,게시판,3,SKU00000600,3,Y,0,1619.22,14.27,5.7,209.04,1056.67,40.85,562.88,64.18,1169.15,782.53,25.02,34.4,278.51,420.74,360.86,False,0,True,True,0,1,Y,0,yes,X
RT-000046,ORD00013969,MD4A2EB35,반품,가품의심,,06/11/2024,30/07/2025,16/12/2024,거절,111,포인트,완료,20240408,agent_16,카카오톡,3,SKU00001227,1,N,0,819.0,24.6,12.37,238.1,631.17,342.79,217.4,702.85,425.1,112.03,752.47,362.42,393.57,904.16,136.85,False,0,True,False,1,0,Y,1,yes,O
RT-000047,ORD00012260,M33FC53AD,반품,색상불일치,,20250807,11-27-2024,,승인,2531,원결제수단,완료,28/01/2023,agent_22,채팅,4,SKU00000584,1,N,0,2042.88,4.26,3.7,74.86,159.3,36.7,163.55,0.49,329.37,85.4,154.86,48.03,243.57,434.11,104.48,True,1,False,False,0,1,Y,1,no,X
RT-000048,ORD00008070,ME313060C,반품,사이즈맞지않음,상세사유_jqkar66u,20231022,,02-11-2025,승인,76992,원결제수단,완료,,agent_28,채팅,3,SKU00000477,1,N,0,369.22,16.35,9.66,190.6,3255.96,58.87,332.96,94.02,610.24,64.89,47.45,71.7,321.49,405.77,819.97,True,1,False,False,1,0,Y,1,no,X
RT-000049,ORD00002345,MBC7CA1C0,반품,텍스처불만,,2024-02-22,,22/03/2024,승인,3148,계좌이체,완료,2025.01.15,agent_30,게시판,3,SKU00000961,1,N,0,2645.08,36.55,33.15,394.66,829.97,9.89,10.85,236.46,1461.52,167.12,502.08,309.14,101.3,144.84,182.81,False,0,False,False,1,1,Y,1,no,O
RT-000050,ORD00009477,MD68256D9,반품,용량부족,,16/02/2025,20241106,,거절,21103,포인트,완료,,agent_24,카카오톡,5,SKU00001038,1,N,1,177.04,29.98,2.57,120.37,356.91,123.4,51.22,485.66,1304.69,53.63,523.7,29.61,926.12,608.12,200.81,True,1,False,True,0,1,Y,1,no,O
RT-000051,ORD00012889,M4A7CD10A,전체반품,향불만,,2024-05-22,20240709,09-27-2024,,6560,원결제수단,완료,07-29-2023,agent_8,전화,4,SKU00000125,3,N,0,227.27,6.27,9.93,28.08,572.7,61.95,31.52,58.93,1025.58,322.14,541.43,237.23,1262.55,260.25,521.7,False,1,True,True,1,0,N,1,no,O
RT-000052,ORD00003641,M4CFE6844,부분반품,파손/불량,상세사유_6y9qplav,20230921,2024-07-21,,승인,14781,원결제수단,대기,26/10/2023,agent_25,전화,1,SKU00000091,3,N,0,66.67,137.31,6.48,71.9,269.61,143.92,310.62,225.28,761.07,186.43,692.75,56.23,1638.43,2283.46,50.12,False,1,False,False,0,1,N,0,no,O
RT-000053,ORD00009482,M1D8BC2D3,반품,변심,상세사유_3nat9m5b,01-30-2024,20250327,,승인,9783,포인트,처리중,,agent_20,이메일,5,SKU00001754,2,N,0,703.99,50.82,4.33,11.95,1228.22,108.18,186.59,180.2,1572.39,93.85,792.72,287.14,595.14,146.57,2011.88,True,0,True,True,0,1,Y,1,yes,O
RT-000054,ORD00012973,M1F1605AC,교환,가품의심,,20240501,2023-03-19,17/05/2025,검수중,58001,쿠폰발급,완료,20230616,agent_24,전화,3,SKU00001213,1,Y,0,284.95,36.69,35.03,247.5,201.79,371.88,255.12,622.45,127.95,137.01,132.1,153.25,197.17,127.42,580.57,False,0,False,False,1,0,Y,1,no,O
RT-000055,ORD00002287,M28B03FBC,반품,가품의심,상세사유_6bam6a9j,10-27-2023,2025.11.13,,,8586,포인트,완료,,agent_18,이메일,4,SKU00000782,3,N,0,1369.36,33.88,43.89,44.92,324.47,235.78,3.08,39.01,14.08,194.54,323.53,106.04,828.89,777.01,192.33,False,1,True,True,0,0,Y,0,yes,O
RT-000056,ORD00014713,M20470BB5,교환,오배송,,20230226,20250719,03/06/2023,,7183,쿠폰발급,완료,2023-10-29,agent_18,채팅,1,SKU00001400,1,Y,0,423.93,12.82,9.29,160.46,423.85,25.61,116.97,176.84,904.79,105.38,917.94,14.43,881.36,465.79,392.91,True,1,True,False,1,0,N,0,no,X
RT-000057,ORD00012060,M786D27A1,전체반품,오배송,상세사유_ddva4oh4,18/12/2024,,21/01/2024,거절,3079,원결제수단,완료,09/04/2024,agent_16,카카오톡,5,SKU00000178,1,N,0,2649.36,14.59,4.03,64.56,956.46,113.41,82.4,43.58,835.27,41.18,5.86,325.34,296.61,428.32,356.28,True,0,False,True,1,0,N,1,no,X
RT-000058,ORD00007421,M87337E83,부분반품,사이즈맞지않음,상세사유_w4ocwhhg,08/06/2025,20230411,,승인,36158,포인트,처리중,19/10/2023,agent_14,채팅,4,SKU00000461,1,N,0,797.57,15.22,6.62,17.46,353.75,17.51,118.47,67.9,340.24,25.65,170.8,393.71,9.03,809.65,1751.75,False,0,False,True,0,1,N,1,no,O
RT-000059,ORD00007418,ME93CC1D6,반품,오배송,,2024.10.05,20240725,2023.10.08,승인,16411,쿠폰발급,완료,06-27-2025,agent_6,카카오톡,3,SKU00001934,1,N,0,625.21,148.17,41.63,41.06,710.09,178.08,239.13,18.45,603.64,104.32,907.86,517.12,188.18,724.41,1387.54,True,0,True,False,1,1,Y,0,yes,X
RT-000060,ORD00001746,M080D54C9,반품,유통기한임박,,2025-10-08,2024.10.15,,거절,7444,계좌이체,처리중,,agent_27,카카오톡,4,SKU00000688,3,N,0,1549.07,11.14,1.57,56.36,3491.75,31.6,127.78,478.78,176.66,748.37,52.69,96.17,56.21,477.96,73.35,False,1,True,True,0,1,Y,1,no,O
RT-000061,ORD00000284,MBD41A501,반품,향불만,,2024.11.22,2025-11-05,,승인,16651,포인트,대기,22/01/2025,agent_28,채팅,4,SKU00001443,1,N,0,253.14,94.18,1.03,168.97,222.29,110.83,294.38,344.07,907.16,90.37,278.08,46.71,2.1,66.99,210.07,True,1,False,False,1,1,N,1,yes,X
RT-000062,ORD00006747,ME7A76211,교환,사이즈맞지않음,,20/05/2023,20231114,02/03/2025,검수중,29604,원결제수단,완료,,agent_20,채팅,1,SKU00000282,2,Y,0,318.5,132.24,6.35,46.57,1027.81,12.93,686.46,82.51,1022.25,71.21,462.21,33.78,367.54,2266.9,712.51,True,1,True,False,1,1,N,0,no,X
RT-000063,ORD00008639,MC5C12CC4,전체반품,성분불만,,2025-06-17,,18/09/2025,검수중,36649,포인트,완료,20230413,agent_24,전화,3,SKU00000084,3,Y,0,0.79,43.14,13.64,281.43,1480.72,30.57,65.22,551.71,326.75,207.15,2035.47,189.2,165.89,1401.58,1206.47,False,0,False,False,0,1,Y,0,yes,O
RT-000064,ORD00013588,M7C04FCA3,전체반품,사이즈맞지않음,상세사유_fdnyvltm,20251229,20231124,20241012,부분승인,25974,계좌이체,완료,,agent_18,이메일,4,SKU00000238,2,N,0,717.95,7.0,5.95,151.8,372.4,5.98,6.41,111.57,599.57,30.47,787.82,80.19,244.15,722.72,4116.75,True,0,False,True,1,0,N,0,yes,X
RT-000065,ORD00000367,MA7349F85,교환,파손/불량,상세사유_5sdq9ip1,03/02/2024,,,승인,1749,계좌이체,대기,2024-01-16,agent_1,이메일,5,SKU00001169,1,Y,0,443.6,42.65,6.99,928.11,5.68,540.66,127.47,86.36,492.18,9.82,406.52,175.85,467.27,611.99,1213.12,False,0,False,False,1,1,N,1,no,X
RT-000066,ORD00012184,MD70DA4E4,교환,피부트러블,,2024-06-05,2023.04.18,2023-02-09,검수중,4633,쿠폰발급,처리중,,agent_10,이메일,,SKU00000805,1,N,0,260.8,58.87,0.91,21.25,225.8,68.85,198.39,79.41,395.17,121.24,210.04,382.37,1029.76,102.17,4335.55,False,0,True,True,0,0,Y,0,yes,X
RT-000067,ORD00013888,ME64D887D,반품,색상불일치,,12-31-2023,21/08/2025,20240911,,55768,포인트,대기,2023.11.03,agent_13,채팅,3,SKU00001121,1,N,0,71.16,6.32,1.88,482.38,238.1,218.98,99.94,165.93,260.09,248.16,15.35,472.88,1681.83,834.5,122.33,True,1,True,True,1,0,N,0,no,O
RT-000068,ORD00010767,M7E097973,반품,가품의심,,21/09/2024,2025.08.01,2025.10.11,검수중,6083,포인트,완료,2024.07.08,agent_11,이메일,5,SKU00001975,2,N,0,18.52,36.89,36.91,37.94,1431.68,224.4,600.44,129.49,389.06,312.26,76.42,28.31,3166.95,1499.55,566.69,False,0,True,False,1,1,Y,1,yes,X
RT-000069,ORD00005804,MDAF7C4C9,교환,알러지반응,,2023-03-03,,,승인,26612,계좌이체,완료,,agent_6,채팅,3,SKU00000753,3,N,0,104.54,34.48,14.09,224.9,112.64,88.7,29.18,425.27,171.27,286.6,991.88,164.01,493.16,3095.9,1929.23,False,0,False,False,0,0,N,0,no,X
RT-000070,ORD00002948,M7DE10A50,반품,사이즈맞지않음,상세사유_qxtxpmgo,08-25-2023,,01-17-2024,승인,7691,포인트,완료,,agent_26,채팅,4,SKU00001462,1,N,0,768.34,19.21,16.05,309.13,3229.98,70.1,149.59,491.34,344.46,21.86,1910.05,211.73,661.73,417.45,243.74,False,1,False,True,0,1,N,0,no,X
RT-000071,ORD00006916,M1459459B,교환,가품의심,,2025.11.12,2025-11-27,2025.08.27,검수중,16360,포인트,처리중,11-23-2023,agent_26,카카오톡,1,SKU00001353,1,N,0,768.88,15.82,30.85,141.77,2095.13,349.05,223.46,182.57,505.44,70.92,1568.3,35.64,44.36,962.32,1831.43,True,0,False,False,0,1,N,0,yes,O
RT-000072,ORD00012026,M1487E8DD,반품,사이즈맞지않음,,20240312,04/07/2024,20251130,승인,76995,계좌이체,대기,,agent_7,이메일,2,SKU00000480,1,N,0,183.6,8.12,18.66,354.16,785.59,100.13,21.71,136.47,156.93,40.9,50.47,60.62,641.04,78.62,666.86,False,1,True,True,1,1,Y,1,no,X
RT-000073,ORD00014312,MC57A7E0C,교환,성분불만,,12-17-2025,20251224,2023-05-19,승인,18007,포인트,완료,2024.12.26,agent_29,전화,4,SKU00001069,1,N,0,1117.45,21.89,10.05,28.01,1132.93,318.27,104.27,1202.25,1061.59,111.17,25.02,50.66,246.95,164.55,950.26,False,1,True,True,0,1,N,1,no,X
RT-000074,ORD00003951,M07537402,반품,성분불만,,03-10-2023,10-27-2023,2025.05.11,승인,11376,원결제수단,처리중,27/11/2025,agent_5,게시판,2,SKU00000234,1,N,0,495.43,11.11,31.72,122.54,1629.56,304.89,159.79,152.94,398.01,303.48,1053.65,2.67,18.12,296.05,556.6,False,0,False,False,0,1,Y,1,no,O
RT-000075,ORD00012040,MB8DAE934,반품,가품의심,,20250902,20240212,02-15-2025,검수중,16132,계좌이체,완료,02-22-2025,agent_29,채팅,3,SKU00000366,1,Y,0,155.75,33.29,31.77,610.84,2225.13,66.17,263.31,466.53,744.44,13.58,575.2,67.91,412.35,356.01,202.67,False,0,False,True,1,0,Y,1,no,X
