event_id,session_id,user_uid,event_type,event_timestamp,page_url,prd_no,search_query,referrer,platform,device,os,browser,screen_resolution,time_on_page_sec,scroll_depth_pct,cart_value_krw,ab_test_variant,analytics_metric_01,analytics_metric_02,analytics_metric_03,analytics_metric_04,analytics_metric_05,analytics_metric_06,analytics_metric_07,analytics_metric_08,analytics_metric_09,analytics_metric_10,analytics_metric_11,analytics_metric_12,analytics_metric_13,analytics_metric_14,analytics_metric_15,analytics_metric_16,analytics_metric_17,analytics_metric_18,analytics_metric_19,analytics_metric_20,analytics_flag_01,analytics_flag_02,analytics_flag_03,analytics_flag_04,analytics_flag_05,analytics_flag_06,analytics_flag_07,analytics_flag_08,analytics_flag_09,analytics_flag_10
EVT-00000021,sess_xw2niq97,uid_4507d86a80a9,product_view,1759632178,/event/ztxtuhuo,PRD-01230,클렌징,,무신사,tablet,Android,Samsung,2560x1440,34.0,30.0,52000,,41.21,18.36,719.03,184.06,16.72,227.89,86.89,666.66,34.83,13.95,48.6,636.66,68.85,3.19,61.32,591.21,655.28,369.12,255.99,573.01,False,N,1,no,N,Y,1,yes,Y,O
EVT-00000022,sess_5x024eej,anon_gi8sq0jb,product_view,1758161198,/checkout/ky1fakvg,PRD-01403,선크림,google,카카오톡채널,mobile,iOS,Whale,1080x2400,32.3,78.7,89000,,111.75,393.1,1076.87,717.66,377.29,36.66,491.83,230.13,774.69,38.78,295.57,204.27,342.25,0.15,180.11,641.12,1553.52,125.71,51.23,67.45,True,Y,0,no,N,Y,0,no,N,O
EVT-00000023,sess_xq7twpzn,anon_zu4s9uqb,add_to_cart,1726644292,/category/1zl9u24l,,선크림,google,Android앱,desktop,Android,Samsung,390x844,3.3,72.1,0,control,162.73,140.97,58.8,20.24,263.61,132.47,210.6,389.34,67.71,42.28,244.42,1647.87,112.2,4.48,197.11,1967.39,446.13,357.66,332.34,133.37,True,N,0,yes,Y,Y,0,yes,Y,X
EVT-00000024,sess_dlvu4s87,anon_lpeaq5rj,product_view,1720264302,/product/ty24iwf4,,마스크팩,affiliate,카카오톡채널,desktop,macOS,Whale,1170x2532,61.0,63.7,25000,,288.66,124.41,353.79,250.99,0.99,387.87,11.96,404.38,535.65,1347.83,210.77,632.3,54.72,4.88,29.65,585.22,157.68,571.29,181.67,1157.85,False,Y,0,yes,Y,Y,1,yes,Y,X
EVT-00000025,sess_0g43y757,uid_225ce16ff30c,page_view,1752259494,/brand/0ffl6qez,,마스크팩,direct,모바일웹,desktop,Android,Safari,2560x1440,66.8,61.4,89000,A,56.07,38.15,1642.12,107.97,334.58,136.2,2.98,1544.88,86.4,83.37,87.05,383.42,736.14,15.34,320.42,313.41,862.8,249.11,377.31,75.67,False,Y,1,no,N,N,1,no,N,O
EVT-00000026,sess_to0szn9m,anon_o1btpbai,page_view,1718233218,/cart/ahbtzu7l,PRD-00836,레티놀,instagram,카카오톡채널,desktop,macOS,Chrome,1170x2532,41.3,61.3,89000,A,7.89,148.83,234.71,137.1,27.27,153.21,151.74,1186.52,1633.72,45.03,220.99,1913.92,270.8,14.99,147.86,1665.4,652.15,121.94,1.0,3342.38,False,N,1,yes,N,N,1,yes,N,X
EVT-00000027,sess_m2jrkmrs,anon_i83n58w3,filter,1743894134,/category/y4xvjzs8,,레티놀,instagram,iOS앱,desktop,Windows,Samsung,1920x1080,0.9,19.5,0,A,38.98,295.33,262.15,1.82,2.31,101.89,89.24,987.38,1254.27,793.0,238.29,1161.06,170.78,3.37,47.38,1634.87,82.69,209.42,138.7,2960.97,True,Y,0,no,Y,Y,0,no,Y,X
EVT-00000028,sess_y4j2zykt,anon_kn5wrfol,purchase,1763340215,/category/cuddyipa,PRD-00282,,google,모바일웹,tablet,macOS,Edge,1170x2532,65.5,97.9,52000,B,174.81,17.68,54.01,218.11,6.7,62.86,387.21,41.76,463.0,2339.98,567.72,1991.87,236.61,6.51,205.35,152.81,1001.8,122.21,69.72,692.17,True,N,1,yes,Y,Y,1,no,N,X
EVT-00000029,sess_bfrcde8m,uid_8074b6e2428e,product_view,1755705860,/brand/9v6al0dy,PRD-00022,쿠션,kakao,Android앱,mobile,Android,Edge,1170x2532,22.8,37.6,52000,B,87.47,358.81,199.05,330.7,94.16,7.7,450.0,2191.19,72.6,191.1,183.63,129.86,162.43,1.56,24.8,567.4,576.62,517.56,30.11,22.07,True,N,0,no,Y,N,0,yes,Y,X
EVT-00000030,sess_aog3ujfj,uid_88b12575fcb0,product_view,1746114405,/search/pokawmu4,PRD-01567,토너,kakao,PC웹,mobile,Windows,Edge,2560x1440,55.1,60.3,0,C,61.34,161.1,1011.77,1114.91,63.26,65.73,136.28,1524.53,1004.48,3103.04,137.71,261.83,27.93,16.99,800.22,1096.96,283.08,188.92,594.78,25.02,True,N,0,no,Y,N,1,yes,Y,O
EVT-00000031,sess_cbs2527z,anon_bdgw5v6q,review_click,1745667622,/event/7pm06jfq,,,,카카오톡채널,mobile,iOS,Chrome,1080x2400,7.6,32.1,0,A,55.92,65.64,716.7,40.48,97.08,14.51,297.68,2383.85,66.14,22.2,81.23,1613.07,175.02,18.55,250.29,1956.73,614.98,404.8,383.69,996.62,False,N,1,no,Y,Y,0,no,Y,O
EVT-00000032,sess_ukzcz02x,uid_bd5cb03d1916,search,1728179663,/category/gy02lelf,PRD-00827,,youtube,PC웹,mobile,macOS,Chrome,2560x1440,28.8,30.3,25000,B,86.83,40.84,1439.82,12.33,121.67,52.26,619.56,476.55,327.41,665.54,195.11,106.4,195.23,31.09,143.89,118.6,84.64,56.39,884.67,400.84,False,N,1,yes,Y,N,1,no,N,O
EVT-00000033,sess_nz7uc4df,uid_c0bdb7571e09,search,1739228177,/cart/sdoviuj0,PRD-00665,토너,google,PC웹,mobile,iOS,Chrome,2560x1440,0.1,48.4,38000,B,26.11,513.46,164.57,492.85,397.65,578.76,44.63,271.02,182.58,150.77,52.9,485.48,180.34,1.09,321.86,1273.01,222.96,112.27,674.0,335.12,True,Y,1,yes,N,N,0,yes,Y,X
EVT-00000034,sess_1o2drcu1,uid_549c1d47e34a,product_view,1744971767,/cart/eli76um0,,쿠션,affiliate,iOS앱,desktop,iOS,Chrome,1080x2400,7.3,44.1,0,,0.4,91.55,1460.83,223.49,217.06,69.74,244.11,200.6,243.45,379.43,71.4,584.92,253.02,16.84,192.53,1147.82,99.1,353.66,1075.6,1040.41,True,Y,0,no,N,Y,1,no,N,O
EVT-00000035,sess_q6fclzlv,uid_8b0dfedce374,product_view,1761327761,/category/v93zjh7n,PRD-00375,클렌징,kakao,iOS앱,mobile,iOS,Whale,1170x2532,1.7,40.0,15000,,3.14,169.73,127.49,54.43,143.67,6.51,17.05,8.43,74.91,1474.03,48.59,266.56,753.85,3.06,213.83,229.69,265.55,93.64,178.04,1185.5,True,N,1,no,N,Y,1,no,Y,O
EVT-00000036,sess_4rperco8,uid_cc4860ee19c9,product_view,1760091040,/brand/itquxoao,PRD-00666,세럼,direct,모바일웹,desktop,Windows,Safari,390x844,76.6,19.4,25000,,165.98,47.59,154.53,96.81,229.54,49.03,380.4,65.56,1248.51,28.64,128.38,600.75,31.93,11.32,16.48,140.8,848.08,635.85,131.99,1807.52,True,N,0,yes,Y,N,0,no,N,O
EVT-00000037,sess_7jl4djeo,uid_0fd8a2815be7,search,1753433263,/search/7qkm9qpv,,클렌징,kakao,무신사,mobile,Android,Whale,1170x2532,86.6,82.4,52000,,89.33,434.6,324.98,22.02,469.44,393.6,44.63,243.12,937.58,170.55,243.73,390.33,68.05,0.7,9.72,2025.14,354.83,480.59,318.87,324.37,False,N,0,yes,N,Y,1,yes,Y,O
EVT-00000038,sess_txaaehcu,uid_69f655ea76e2,page_view,1726827480,/checkout/vg4ehdf1,PRD-01374,,naver,iOS앱,mobile,iOS,Chrome,1080x2400,2.3,60.3,38000,control,75.28,228.38,1101.75,122.97,78.31,10.93,520.03,1364.2,368.42,4.31,155.3,789.8,878.12,8.02,179.79,47.2,697.58,244.21,118.97,42.24,True,Y,1,yes,Y,N,0,no,N,O
EVT-00000039,sess_28x4505t,anon_ku6tm11y,product_view,1754073984,/category/tybw36i0,PRD-01429,세럼,direct,무신사,tablet,Windows,Whale,390x844,30.6,71.6,89000,A,262.92,345.02,47.29,170.62,14.82,4.35,116.85,170.95,1179.87,897.0,34.17,665.18,453.32,7.29,465.44,997.03,30.46,1913.28,1787.69,29.6,True,N,0,yes,Y,Y,1,yes,N,O
EVT-00000040,sess_kgr2vzxp,uid_8e442372005b,begin_checkout,1721915486,/event/m4105i4s,,,direct,네이버스마트스토어,mobile,iOS,Samsung,390x844,30.5,30.8,0,C,14.01,24.09,375.71,32.97,521.71,33.68,0.23,367.68,144.47,176.24,17.7,206.13,13.52,12.96,259.37,1052.67,705.89,307.23,313.73,275.26,True,N,0,yes,N,N,0,no,N,O
EVT-00000041,sess_xgy09yrb,anon_0sh57xo1,add_to_cart,1763612860,/brand/2b6ufswk,PRD-01019,비타민C,direct,모바일웹,mobile,iOS,Chrome,2560x1440,47.6,72.6,38000,B,133.94,66.97,492.37,251.53,46.71,49.92,1.76,609.14,356.48,459.33,543.79,116.16,1610.02,11.57,123.72,337.88,515.81,508.94,731.88,122.78,True,N,0,no,N,Y,0,yes,Y,O
EVT-00000042,sess_5s0y4prj,anon_zoyy4s6j,filter,1724259306,/brand/rwrenxk8,PRD-01038,,affiliate,PC웹,mobile,iOS,Whale,1080x2400,164.4,70.5,38000,A,27.78,330.6,190.22,143.48,226.49,262.26,22.71,3277.73,164.93,272.69,317.75,375.91,290.16,4.35,160.67,1587.4,201.66,2025.44,71.06,108.97,True,Y,0,no,Y,N,0,no,N,X
EVT-00000043,sess_5duvk3wh,uid_740f61ddbf24,page_view,1766384303,/cart/88xc9gp2,PRD-01027,레티놀,naver,쿠팡,desktop,macOS,Safari,1080x2400,42.8,1.0,0,,9.59,491.7,638.17,129.51,702.1,126.17,47.31,1022.04,254.03,1122.51,155.88,556.54,6.17,1.89,249.8,831.54,778.83,976.49,439.84,802.99,False,N,1,no,Y,Y,1,no,N,O
EVT-00000044,sess_xbfteu7w,uid_6a23a4eaca36,search,1735060810,/cart/sx3s6rih,PRD-01496,,direct,모바일웹,mobile,Windows,Samsung,390x844,0.0,99.3,52000,C,0.84,40.72,25.38,35.13,848.22,75.46,168.69,1015.5,278.5,1283.07,37.87,518.86,734.58,15.34,263.09,2254.25,3122.44,2418.85,162.15,2693.57,False,Y,1,yes,Y,N,1,yes,N,O
EVT-00000045,sess_3esdxful,uid_376829099d00,filter,1764562910,/cart/aohhwaqm,PRD-01879,레티놀,youtube,PC웹,desktop,Windows,Samsung,1170x2532,22.3,61.9,0,C,213.26,106.96,632.38,328.44,449.78,32.95,3.69,402.06,693.84,442.17,10.47,1371.28,58.62,0.01,316.19,1096.19,143.74,297.47,336.94,1926.11,True,Y,1,no,Y,Y,1,no,N,X
EVT-00000046,sess_yhq9pf5g,anon_09g4gu04,wishlist_add,1745106270,/brand/kqs2fyqg,,비타민C,naver,네이버스마트스토어,desktop,iOS,Safari,2560x1440,13.6,65.9,15000,A,13.75,185.76,74.13,66.37,37.21,183.81,89.62,186.32,124.23,130.47,439.79,84.23,508.24,0.69,11.48,156.74,934.7,718.46,235.5,93.65,False,Y,0,yes,N,N,1,yes,N,X
EVT-00000047,sess_p9y4a22i,uid_1752732f8b4e,product_view,1724853371,/category/o77k0e5k,PRD-00048,토너,,PC웹,mobile,iOS,Edge,390x844,0.4,65.5,15000,,279.96,111.74,272.79,62.82,155.88,181.06,419.01,60.47,16.21,31.68,29.66,1022.55,102.18,7.19,13.57,624.28,160.3,691.03,793.25,99.32,False,Y,1,yes,N,N,0,yes,Y,X
EVT-00000048,sess_nadfa5ka,anon_3wgz8nch,begin_checkout,1739478627,/mypage/se66pooy,PRD-01610,비타민C,naver,카카오톡채널,desktop,Windows,Edge,1080x2400,12.1,58.7,0,,43.93,492.01,284.39,402.64,300.41,123.35,325.3,823.45,73.11,849.33,548.8,597.14,73.5,13.35,12.76,636.5,266.1,11.43,25.25,26.1,False,Y,0,yes,Y,N,0,yes,Y,O
EVT-00000049,sess_3innnjqe,uid_20123684ec8e,purchase,1748042102,/product/rfu7vrkc,,,,Android앱,mobile,Android,Whale,2560x1440,33.2,63.2,0,A,13.02,481.03,488.54,176.48,31.77,30.23,394.6,208.52,830.2,178.08,307.48,670.51,376.93,3.33,67.49,1534.97,372.6,265.08,676.07,813.32,True,Y,0,yes,N,N,0,yes,Y,O
EVT-00000050,sess_j30j24mg,uid_ff2af16f0f2e,product_view,1737845017,/cart/0ag4kxmf,PRD-01958,,youtube,PC웹,mobile,Windows,Samsung,2560x1440,0.2,66.1,89000,A,69.77,141.25,289.49,31.97,82.04,209.22,157.46,2331.75,597.55,1285.25,302.42,309.81,34.2,2.15,31.9,79.21,77.12,845.46,157.93,178.5,True,N,1,yes,N,Y,1,yes,N,O
EVT-00000051,sess_zzt9gl95,anon_k9702moa,page_view,1746816992,/event/p87wzo43,PRD-01655,수분크림,instagram,iOS앱,mobile,iOS,Chrome,390x844,20.7,62.4,52000,B,22.74,271.93,739.47,286.37,41.73,9.74,171.38,669.15,217.24,635.99,344.23,824.34,142.65,0.33,90.8,50.16,1047.86,166.04,170.62,485.09,False,Y,1,no,N,N,0,yes,N,O
EVT-00000052,sess_8e9iup03,uid_b1a97505da4d,notification_click,1759696821,/brand/pqj9n7fw,PRD-01276,선크림,affiliate,카카오톡채널,desktop,Android,Whale,2560x1440,77.9,65.4,15000,C,9.38,1.61,232.11,55.54,704.4,25.99,168.36,65.01,151.29,369.87,437.81,1973.96,204.83,10.33,162.99,2650.96,112.99,573.52,236.51,669.54,True,N,1,yes,N,Y,1,yes,Y,X
EVT-00000053,sess_z05ohd1w,uid_96c36cf5657a,page_view,1730433010,/cart/z9yugysh,PRD-01027,선크림,kakao,PC웹,mobile,Android,Safari,1080x2400,1.9,60.6,52000,B,0.36,132.05,245.94,767.42,353.01,10.37,1665.77,203.9,119.91,165.83,319.33,391.2,62.46,4.28,100.67,277.15,2381.02,1100.88,406.49,718.9,True,N,0,no,Y,Y,1,no,Y,X
EVT-00000054,sess_7s43vm60,uid_a76a0e68f5bb,product_view,1744432677,/cart/wqhoagyw,,,instagram,Android앱,mobile,Windows,Edge,390x844,61.4,38.9,25000,C,112.64,97.1,757.91,311.44,181.52,134.16,191.4,918.65,518.47,277.44,10.63,503.76,98.89,15.31,167.34,977.65,351.83,966.89,295.56,1261.58,False,N,1,no,N,N,0,no,N,O
EVT-00000055,sess_ql0gio5f,uid_12b604380b93,page_view,1754682667,/cart/4w2er2a8,PRD-00620,선크림,youtube,쿠팡,desktop,iOS,Chrome,390x844,11.6,25.1,38000,,151.93,4.59,1345.29,19.12,113.35,94.15,252.48,538.76,233.29,1113.16,117.86,155.59,226.11,1.09,616.9,1279.9,68.78,157.2,140.24,731.58,True,N,1,yes,Y,N,1,yes,Y,X
EVT-00000056,sess_832p4npx,uid_e48206f26253,review_click,1722704961,/event/l59df3uj,,레티놀,affiliate,Android앱,mobile,Windows,Chrome,1170x2532,25.2,64.1,15000,control,28.3,40.91,580.66,231.97,179.08,112.56,7.24,3.88,260.0,77.34,40.19,422.17,8.95,10.47,127.9,601.91,156.13,632.57,13.3,101.92,False,N,0,no,Y,N,0,yes,Y,O
EVT-00000057,sess_2miqywqn,anon_nv0rvgcy,wishlist_add,1759950984,/search/jecktycc,,마스크팩,google,무신사,desktop,iOS,Samsung,1170x2532,10.6,87.7,0,,40.69,112.73,623.77,16.39,34.71,115.34,137.0,1401.48,90.53,353.35,39.64,196.66,175.28,3.76,28.17,2540.37,387.67,256.19,221.91,389.99,True,Y,0,no,N,N,1,no,N,X
EVT-00000058,sess_2qevkapb,uid_1212f6136f93,purchase,1717314663,/category/1g0q39f9,PRD-01308,레티놀,instagram,Android앱,desktop,Android,Whale,390x844,57.7,20.9,15000,control,14.21,65.61,248.62,31.99,33.97,178.82,258.46,1586.89,421.39,747.16,57.95,836.99,247.45,5.35,192.36,3771.54,679.26,413.72,73.16,122.77,False,N,1,no,Y,Y,1,no,Y,X
EVT-00000059,sess_2xajtt86,uid_4dc03feb8ea8,remove_cart,1726411803,/search/1gv0253d,PRD-01519,,kakao,쿠팡,mobile,iOS,Edge,1080x2400,11.9,81.1,52000,,36.43,94.36,20.97,122.31,50.37,202.2,342.3,717.9,49.25,442.86,228.08,90.66,1398.43,7.8,6.06,617.02,427.78,254.64,70.9,158.9,True,Y,0,yes,Y,Y,1,no,Y,O
EVT-00000060,sess_954rmdky,anon_sfgq8ti2,review_click,1763072178,/category/pothpl5h,PRD-01862,쿠션,kakao,모바일웹,mobile,macOS,Samsung,1920x1080,118.7,84.5,89000,A,201.34,65.44,750.4,257.31,62.39,140.1,386.89,384.31,463.35,549.81,109.13,732.02,105.65,6.01,111.68,93.95,191.02,906.97,76.42,229.42,True,N,0,no,N,N,0,yes,Y,O
EVT-00000061,sess_z7v19twn,uid_30eefcf165c1,share,1746265428,/brand/2e2jlh0c,PRD-00088,토너,instagram,카카오톡채널,mobile,Android,Chrome,1170x2532,3.3,71.1,15000,C,94.42,7.77,360.26,137.69,488.58,383.37,287.95,834.26,38.68,181.06,139.17,13.45,62.44,15.35,151.12,584.73,219.93,859.34,1702.72,72.71,True,N,0,yes,N,Y,1,yes,N,X
EVT-00000062,sess_3gltx3kl,uid_5221157d650e,page_view,1719262117,/cart/glzfp1v4,,,instagram,모바일웹,desktop,iOS,Whale,1170x2532,33.4,14.9,0,control,97.53,20.57,335.12,527.19,841.02,58.12,283.98,28.42,639.9,491.16,75.01,1024.17,45.6,4.27,89.11,169.63,546.46,518.21,695.62,1381.08,True,Y,1,no,N,Y,0,no,Y,X
EVT-00000063,sess_9nx5e8hs,uid_34fead525de0,notification_click,1756478956,/product/6yj2v2mb,PRD-01644,클렌징,affiliate,네이버스마트스토어,desktop,Windows,Edge,1920x1080,0.4,59.0,52000,C,9.0,19.43,571.19,134.66,131.53,270.74,172.89,84.01,398.04,825.44,38.52,657.49,9.7,0.61,19.24,617.75,824.31,886.01,518.94,818.75,False,Y,1,no,Y,Y,1,no,Y,O
EVT-00000064,sess_o5xk5egr,uid_d5747b7671d0,search,1749254417,/category/qriylihm,PRD-00809,비타민C,instagram,네이버스마트스토어,mobile,Android,Safari,390x844,49.9,82.1,0,C,29.7,11.22,459.12,161.84,71.47,345.34,359.34,706.98,206.51,320.79,275.27,1937.39,832.2,0.54,155.16,1049.05,725.87,510.72,264.05,1287.85,True,N,0,yes,N,N,0,no,N,X
EVT-00000065,sess_o8p9wbmc,uid_eec1a9c34589,search,1729896988,/event/htbd3jaq,PRD-00242,마스크팩,naver,iOS앱,mobile,Android,Samsung,390x844,9.1,86.4,0,B,1.9,312.96,3.0,184.24,170.35,12.81,396.08,1558.46,630.59,3212.09,91.09,128.65,462.45,1.51,31.75,260.13,80.2,886.97,431.92,593.35,True,N,1,yes,Y,N,1,no,N,X
