promo_id,promo_name,promo_type,discount_type,discount_value,min_purchase_amount,max_discount_cap,start_date,end_date,status,target_segment,target_products,target_categories,target_brands,channel,budget_krw,used_budget_krw,redemption_count,coupon_codes,stacking_allowed,created_by,promo_metric_01,promo_metric_02,promo_metric_03,promo_metric_04,promo_metric_05,promo_metric_06,promo_metric_07,promo_metric_08,promo_metric_09,promo_metric_10,promo_metric_11,promo_metric_12,promo_metric_13,promo_metric_14,promo_metric_15,promo_flag_01,promo_flag_02,promo_flag_03,promo_flag_04,promo_flag_05,promo_flag_06,promo_flag_07,promo_flag_08,promo_flag_09,promo_flag_10
PM-0011,타임딜_pdm9,생일,fixed,5000,0,0,20250609,14/06/2025,일시중지,VIP,PRD-00760|PRD-01216|PRD-00955|PRD-01473|PRD-00017|PRD-00368|PRD-00754|PRD-00717|PRD-00226|PRD-00331|PRD-01084|PRD-00330|PRD-00948|PRD-00847|PRD-01382|PRD-00423|PRD-00874|PRD-00614|PRD-00481|PRD-00161|PRD-01748|PRD-00644|PRD-01258|PRD-00594|PRD-01877|PRD-01075|PRD-01272|PRD-01741|PRD-01147|PRD-01722|PRD-01168|PRD-01564|PRD-00687|PRD-01253|PRD-00806|PRD-00715|PRD-01890|PRD-00577|PRD-00848|PRD-01347|PRD-00891|PRD-00508|PRD-00612|PRD-01992|PRD-00677|PRD-01544|PRD-00537|PRD-01792|PRD-01846,메이크업,파파레시피|올리브영PB,Android앱,5000000,1549802,180,BEAUTYEEURXH|BEAUTYHL1N13|BEAUTY2MAIET|BEAUTY0IFRML,N,admin_12,146.16,36.68,1675.1,112.91,120.82,967.63,89.05,804.74,39.0,308.54,95.73,589.44,452.06,556.49,216.6,O,Y,0,N,False,yes,Y,True,X,True
PM-0012,타임딜_iwzx,적립금,bogo,40,50000,20000,2024.02.13,03-15-2024,진행중,신규|전체,PRD-01527|PRD-00454|PRD-00630|PRD-01453|PRD-00528|PRD-01609|PRD-00150|PRD-01622|PRD-01837|PRD-00626|PRD-01254|PRD-00249|PRD-00811|PRD-01167|PRD-01901|PRD-01236|PRD-01207|PRD-00501|PRD-01543|PRD-01245|PRD-00497|PRD-01708|PRD-01446,바디케어|메이크업|스킨케어|향수,샤넬|홀리카홀리카|토니모리,올리브영온라인,1000000,496548,213,BEAUTY2NV01Z|BEAUTYGBL2QG|BEAUTYI3QK2I|BEAUTY8HYEXF|BEAUTYF6XDN8,N,admin_19,40.91,220.02,765.19,550.27,122.32,657.92,166.75,419.99,23.35,106.27,46.42,1216.85,108.47,48.52,332.83,O,Y,1,Y,False,no,N,True,O,False
PM-0013,봄세일_6xih,증정,percent,20,50000,10000,20230925,2023-10-27,일시중지,신규,PRD-00565|PRD-01185|PRD-00924|PRD-00584|PRD-00464|PRD-01178|PRD-01805|PRD-00553|PRD-01797|PRD-00840|PRD-00541|PRD-00036|PRD-01077|PRD-01555|PRD-01385|PRD-01714|PRD-01347|PRD-01433|PRD-01150|PRD-00351|PRD-00300,클렌징|바디케어,라로슈포제|바비브라운,iOS앱,5000000,2034585,188,BEAUTYB9SO0U|BEAUTYFHV1XG|BEAUTYVTYT8Q|BEAUTY0UU5WR,N,admin_20,101.14,104.56,241.43,12.76,528.2,33.79,491.41,295.87,116.03,37.55,53.05,86.06,172.62,7.75,1145.14,X,Y,1,Y,True,no,Y,True,X,True
PM-0014,겨울빅세일_nuwc,생일,percent,10,30000,20000,20240722,2024.09.04,진행중,이탈방지,PRD-00098|PRD-01216|PRD-00673|PRD-01026|PRD-00861|PRD-00263|PRD-01240|PRD-01481|PRD-00977|PRD-01482|PRD-01916|PRD-00448|PRD-01179|PRD-01371|PRD-01675|PRD-01092|PRD-01316|PRD-01579|PRD-01808,바디케어,나스|일리윤|바비브라운|바닐라코,네이버스마트스토어,1000000,2405867,214,BEAUTYGBIAF9|BEAUTY25LZSE|BEAUTYZE5R5U|BEAUTY0YNCXL|BEAUTYVFQ3JZ,N,admin_7,9.43,226.47,83.51,19.86,942.25,131.85,24.86,38.37,120.67,207.42,88.88,116.46,93.21,1852.67,169.39,O,Y,1,Y,False,no,Y,False,O,True
PM-0015,타임딜_p56n,재구매,percent,15,20000,100000,20250617,15/08/2025,진행중,VVIP,PRD-01194|PRD-01758|PRD-01913|PRD-00553|PRD-00205|PRD-00511|PRD-00323|PRD-00213|PRD-01982|PRD-00017|PRD-01832|PRD-01557|PRD-01170|PRD-00913|PRD-00265|PRD-00126|PRD-01416|PRD-00355|PRD-00236|PRD-01763|PRD-00981|PRD-01560|PRD-00089|PRD-00670|PRD-00618|PRD-01842|PRD-01745|PRD-01063|PRD-00713|PRD-00395|PRD-00588|PRD-01291|PRD-01454|PRD-01607|PRD-00846|PRD-00759|PRD-00690|PRD-00968,바디케어|클렌징,나스|라운드랩|클리오,쿠팡|카카오톡채널|iOS앱,500000,806367,221,BEAUTYS9RYLL|BEAUTYDR08CW|BEAUTYRRHF4A|BEAUTYG8CD31,N,admin_13,195.91,246.75,900.01,296.4,82.5,457.99,564.23,62.15,169.0,107.62,84.89,1493.1,196.88,619.98,280.1,O,Y,1,Y,False,no,Y,True,O,False
PM-0016,타임딜_v4i4,무료배송,bogo,30,100000,50000,2024.01.02,20240107,진행중,전체,PRD-00271|PRD-01760|PRD-01593|PRD-00258|PRD-00077|PRD-00501|PRD-00021|PRD-00088|PRD-00619|PRD-00570|PRD-01161|PRD-00887|PRD-01738|PRD-00624|PRD-00782|PRD-01903|PRD-00132|PRD-00304|PRD-01482|PRD-01252|PRD-00458|PRD-00112|PRD-01686|PRD-00057|PRD-00290|PRD-01838|PRD-01510|PRD-01792|PRD-00729|PRD-00219|PRD-00280|PRD-01595|PRD-00236|PRD-00418|PRD-01503|PRD-01770|PRD-00946|PRD-00683|PRD-01759|PRD-00806|PRD-01771|PRD-00730,남성|스킨케어|향수|헤어케어,라운드랩|라로슈포제|아비브,올리브영온라인|iOS앱,50000000,228277,205,BEAUTY983EP9,N,admin_16,1.42,17.02,737.51,29.17,298.84,241.89,272.65,357.0,312.12,379.4,67.88,299.65,710.11,101.42,311.17,X,N,1,N,False,no,N,False,O,False
PM-0017,블프_mgy2,적립금,bogo,5,10000,50000,2025.10.21,2025-12-06,예정,이탈방지,PRD-01448|PRD-01219|PRD-00803|PRD-00390|PRD-00678|PRD-01193|PRD-00691|PRD-01287|PRD-01388|PRD-01720|PRD-00966|PRD-01974|PRD-00005|PRD-01138|PRD-01925|PRD-00882|PRD-01989|PRD-01652|PRD-00162|PRD-01890|PRD-01175|PRD-01249|PRD-00448|PRD-01935|PRD-00141|PRD-00535|PRD-01446|PRD-00739|PRD-01132|PRD-00612|PRD-00388|PRD-00532|PRD-01425|PRD-00671|PRD-00813|PRD-00795|PRD-00454|PRD-00174,메이크업,네이처리퍼블릭|토리든|페리페라|아모레퍼시픽,Android앱,500000,671801,196,BEAUTYZ4X1ZH,N,admin_8,83.63,155.31,532.87,545.73,50.27,15.84,191.94,21.34,285.0,303.28,9.49,12.86,46.65,334.78,173.47,O,Y,1,Y,True,no,Y,True,X,True
PM-0018,여름특가_44de,무료배송,fixed,2000,30000,50000,20250106,13/02/2025,진행중,VVIP|이탈방지|신규,PRD-00457|PRD-01914|PRD-01111|PRD-01128|PRD-00760|PRD-00099|PRD-01813|PRD-00420|PRD-00608,스킨케어|선케어,토리든|달바|스킨푸드|바닐라코,모바일웹|PC웹|iOS앱,3000000,2467759,199,BEAUTYJLTEIY,N,admin_14,79.69,92.92,147.05,449.28,200.16,129.96,575.83,32.74,142.71,43.95,537.15,526.55,229.1,929.53,654.57,O,Y,0,N,True,no,Y,False,X,True
PM-0019,타임딜_sgca,증정,fixed,50,10000,100000,12/07/2023,07-24-2023,종료,생일고객|첫구매|신규,PRD-00391|PRD-01698|PRD-00835|PRD-00323|PRD-01911|PRD-01374|PRD-01518|PRD-00278|PRD-00069|PRD-01758|PRD-00510|PRD-00400|PRD-00635|PRD-00937|PRD-00600|PRD-00376,향수,네이처리퍼블릭|투쿨포스쿨,올리브영온라인|PC웹|쿠팡,3000000,1149711,207,BEAUTYHUB2RT,N,admin_14,102.36,99.59,411.6,298.24,178.15,520.06,20.17,887.72,828.84,87.48,303.92,418.89,22.04,524.46,1111.41,X,N,0,Y,False,yes,Y,False,X,True
PM-0020,블프_sqj1,1+1,fixed,5000,30000,50000,20240722,2024-08-14,종료,재구매|전체,PRD-00833|PRD-00426|PRD-01344|PRD-00221|PRD-00039|PRD-00617|PRD-00476|PRD-01359|PRD-00924|PRD-01463|PRD-01187|PRD-00852|PRD-01034|PRD-01519|PRD-01420|PRD-01382|PRD-01641|PRD-01348|PRD-00812|PRD-01601|PRD-01683,메이크업,에스티로더,카카오톡채널,50000000,3651851,186,BEAUTY6DUT07|BEAUTYK30LVY|BEAUTYTHY25M,Y,admin_11,101.12,250.24,129.36,40.6,940.11,1490.36,258.01,847.63,255.73,35.84,6.06,13.94,437.27,1369.59,542.82,X,Y,1,N,True,no,Y,True,X,True
PM-0021,타임딜_63gf,할인율,gift,40,50000,20000,2023.08.18,16/09/2023,일시중지,VVIP|생일고객,PRD-01703|PRD-00058|PRD-00067|PRD-01131|PRD-01621|PRD-01847|PRD-01945|PRD-01334|PRD-00643|PRD-01456|PRD-01450|PRD-01838|PRD-00289|PRD-01166|PRD-01763|PRD-00575|PRD-00782|PRD-01543|PRD-01194|PRD-01965|PRD-00103|PRD-00314|PRD-01815|PRD-01649|PRD-01340|PRD-00184|PRD-01325|PRD-01358|PRD-01992|PRD-00998|PRD-00898|PRD-01822|PRD-00586|PRD-00132|PRD-00954|PRD-00540|PRD-00386|PRD-00077|PRD-00619,선케어|네일,애경|설화수|이니스프리|아모레퍼시픽|맥,쿠팡|iOS앱,3000000,125264,193,BEAUTYVAK9W9|BEAUTY5OGZ2U|BEAUTYRGYBXK,N,admin_4,28.34,109.93,786.59,218.73,42.1,140.37,169.33,59.26,1143.21,77.01,198.0,2043.84,185.95,248.61,25.08,X,N,0,N,False,no,Y,True,O,False
PM-0022,봄세일_qxlk,첫구매,fixed,5000,100000,10000,2024-03-18,08/04/2024,종료,이탈방지,PRD-01724|PRD-00653|PRD-00120|PRD-00318|PRD-00468|PRD-01099|PRD-01626|PRD-01621|PRD-01710|PRD-00751|PRD-01940|PRD-00097|PRD-00335|PRD-00332|PRD-01670|PRD-01146|PRD-01249|PRD-01934,클렌징|네일|남성|바디케어,라운드랩,iOS앱|모바일웹,10000000,967146,208,BEAUTYUL6LGJ|BEAUTYU4XSZJ|BEAUTYA4FEJG|BEAUTYPGVV4Z|BEAUTYTWBOZD,N,admin_15,98.92,131.61,207.19,46.95,702.59,94.05,371.67,422.99,399.79,37.23,183.11,141.0,91.39,194.69,455.62,X,Y,1,N,False,yes,N,True,O,True
PM-0023,신상런칭_8412,증정,fixed,25,100000,50000,06-19-2024,07-20-2024,종료,신규,PRD-00865|PRD-00801|PRD-00693|PRD-00372|PRD-00919|PRD-01540|PRD-00690|PRD-01495|PRD-01787|PRD-01544|PRD-01889|PRD-01554|PRD-00327|PRD-00408|PRD-00412|PRD-00274|PRD-01066|PRD-00314|PRD-01278|PRD-01625|PRD-00479|PRD-00020,네일|선케어|클렌징|스킨케어,아이오페|어반디케이|세타필|더페이스샵|파파레시피,네이버스마트스토어,50000000,1243270,198,BEAUTYBTGDJZ|BEAUTYLV76MF|BEAUTYZEEDHH|BEAUTYBQGU3O,N,admin_8,7.89,2.55,128.16,191.64,434.72,752.0,872.37,295.76,721.94,164.9,133.76,764.01,77.25,10.05,130.85,X,N,1,Y,True,yes,N,False,O,False
PM-0024,가을감사_1rew,첫구매,bogo,15,20000,10000,14/08/2024,2024.08.29,예정,신규,PRD-00034|PRD-00276|PRD-00677|PRD-00822|PRD-01175|PRD-00221|PRD-00442|PRD-00419|PRD-01798|PRD-00021|PRD-00471|PRD-00045|PRD-00450,메이크업|남성,메디힐,모바일웹|네이버스마트스토어,5000000,1375323,222,BEAUTY3OCWBF|BEAUTY10LBT3,N,admin_7,67.36,63.45,1083.89,387.82,740.14,282.04,450.91,41.47,1004.32,56.44,8.22,24.11,356.22,50.55,997.39,X,Y,0,Y,True,yes,Y,True,O,True
PM-0025,더블적립_4b5i,세트할인,fixed,2000,100000,50000,03-24-2025,20250417,진행중,VIP,PRD-00520|PRD-00837|PRD-00960|PRD-00904|PRD-00139|PRD-01504|PRD-01418|PRD-00252|PRD-01373|PRD-01846|PRD-00877|PRD-01605|PRD-00935|PRD-00748|PRD-01911|PRD-01671|PRD-00022,향수|헤어케어,헤라,네이버스마트스토어,10000000,146637,203,BEAUTYDERI4K,N,admin_12,34.08,104.41,135.67,244.87,707.86,494.81,29.73,481.96,351.37,123.78,237.64,21.47,199.44,60.55,352.62,X,Y,1,N,False,yes,N,True,O,True
PM-0026,블프_o754,1+1,bogo,25,0,20000,07-09-2023,07-26-2023,종료,첫구매,PRD-01753|PRD-00875|PRD-00291|PRD-01590|PRD-00980|PRD-01249|PRD-01250|PRD-00712|PRD-01538|PRD-01667|PRD-00646|PRD-00511|PRD-01841|PRD-01533|PRD-00117|PRD-00356|PRD-00570|PRD-01315|PRD-00759|PRD-00432|PRD-00115|PRD-00161|PRD-01929|PRD-01851|PRD-00355|PRD-01865|PRD-00473|PRD-01505|PRD-01192|PRD-01139|PRD-01577|PRD-00530|PRD-01672,스킨케어|더마,메디힐,iOS앱,500000,1968671,206,BEAUTYC9X5JZ,Y,admin_12,1.82,66.67,42.73,30.65,526.44,341.36,226.5,467.03,35.53,62.45,50.85,19.15,475.13,294.83,616.36,X,Y,0,Y,False,yes,N,False,X,False
PM-0027,타임딜_lk1g,할인율,fixed,25,50000,0,15/06/2025,20250720,종료,VVIP|재구매,PRD-00350|PRD-00482|PRD-00060|PRD-00444|PRD-00555|PRD-01468|PRD-01880|PRD-01948|PRD-01623|PRD-00270|PRD-00096|PRD-00261|PRD-01107|PRD-00607|PRD-00939|PRD-00140|PRD-01939|PRD-01992|PRD-01638|PRD-01191|PRD-01658|PRD-01519|PRD-01633|PRD-01879|PRD-01579|PRD-00034|PRD-00187|PRD-00931|PRD-01470|PRD-00334|PRD-01962|PRD-00335|PRD-01356|PRD-00272|PRD-00600|PRD-00107,스킨케어|클렌징|남성|헤어케어,아모레퍼시픽,iOS앱|올리브영온라인,50000000,5882441,177,BEAUTYZE1HM3|BEAUTYFHV1XG,N,admin_11,105.0,62.75,330.68,36.61,22.66,1457.02,194.45,400.82,541.76,34.42,6.66,828.59,32.66,430.19,7.28,O,Y,0,N,True,no,N,True,O,False
PM-0028,브랜드위크_zzni,첫구매,bogo,10000,0,100000,01-07-2025,23/01/2025,종료,생일고객|이탈방지,PRD-00120|PRD-00900|PRD-01668|PRD-01800|PRD-01480|PRD-00848|PRD-01877|PRD-01703|PRD-00531|PRD-01353|PRD-01809|PRD-01120|PRD-00948|PRD-01495|PRD-01590|PRD-01963|PRD-00209|PRD-01704|PRD-01879|PRD-00976|PRD-01316|PRD-01303|PRD-01416|PRD-01015|PRD-00658|PRD-01690|PRD-00534|PRD-00217,스킨케어|네일|메이크업|클렌징,코스알엑스|어반디케이|더페이스샵,쿠팡|모바일웹|무신사,500000,4792220,184,BEAUTYDR08CW|BEAUTY1EPKYR|BEAUTY049ENU|BEAUTYODRO8B|BEAUTYLGJE2A,N,admin_11,94.98,92.23,52.25,359.3,535.02,126.24,549.11,169.16,129.52,190.01,51.73,336.7,69.55,159.93,2491.54,X,Y,1,N,False,no,Y,False,X,True
PM-0029,앵콜특가_84gw,정액할인,bogo,2000,0,50000,03-01-2025,20250328,종료,첫구매,PRD-01612|PRD-01705|PRD-01231|PRD-01917|PRD-01766|PRD-00375|PRD-01896|PRD-00541|PRD-00103|PRD-00792|PRD-00737|PRD-01311|PRD-01110|PRD-00466|PRD-01100|PRD-01787|PRD-01886|PRD-00903|PRD-00316|PRD-01616|PRD-01388|PRD-00961|PRD-01289|PRD-00304|PRD-00696|PRD-01036|PRD-01907|PRD-00132|PRD-00369|PRD-00319|PRD-00649|PRD-01227|PRD-00083|PRD-01644|PRD-01958|PRD-01198|PRD-01602|PRD-01410|PRD-00703|PRD-00790|PRD-00808|PRD-01553|PRD-01094|PRD-00578,향수|바디케어,파파레시피,올리브영온라인|카카오톡채널,500000,594342,212,BEAUTYE7FLQH|BEAUTYJDAN08|BEAUTY2C9ROS,N,admin_8,32.14,178.3,16.61,140.49,68.21,933.84,528.58,124.61,104.6,259.89,11.63,2587.98,364.0,654.82,1363.59,O,N,1,Y,False,yes,Y,False,O,False
PM-0030,타임딜_nioy,첫구매,gift,5000,50000,0,21/01/2025,2025-03-10,종료,생일고객|VIP|재구매,PRD-00522|PRD-01874|PRD-01039|PRD-01485|PRD-01515|PRD-00302|PRD-01940|PRD-00507|PRD-00995|PRD-00511|PRD-01285|PRD-00385|PRD-00925|PRD-01175|PRD-01576|PRD-01927|PRD-00157|PRD-01627|PRD-00382|PRD-00205|PRD-00267|PRD-00174|PRD-00177|PRD-00097|PRD-00245|PRD-01088|PRD-00938|PRD-01979|PRD-01052|PRD-00086|PRD-00483|PRD-01428|PRD-00710|PRD-01410|PRD-01133|PRD-00852|PRD-01654|PRD-01881|PRD-01522|PRD-01258|PRD-00103|PRD-01372|PRD-01877|PRD-01825|PRD-01999|PRD-01841|PRD-00152|PRD-00931|PRD-01752|PRD-00102,헤어케어|더마,코스알엑스,카카오톡채널,500000,54869,208,BEAUTY9V20YA|BEAUTYBMC97C|BEAUTYJDAN08|BEAUTY3ZKWDE|BEAUTYCQ1XGB,Y,admin_4,21.32,40.42,539.05,101.49,33.02,24.08,257.32,548.2,1011.8,143.04,402.7,2078.9,16.43,362.56,12.92,X,Y,0,Y,False,yes,Y,True,X,True
PM-0031,더블적립_q2wx,증정,fixed,2000,50000,5000,09-09-2023,10-23-2023,종료,전체,PRD-00597|PRD-01421|PRD-00074|PRD-01635|PRD-01289|PRD-01910|PRD-00462|PRD-01226|PRD-00310|PRD-00722|PRD-00213|PRD-01204|PRD-01990|PRD-01269|PRD-01265|PRD-00516|PRD-01423|PRD-00727|PRD-00365|PRD-00652|PRD-01506|PRD-01815|PRD-01838|PRD-01566|PRD-00225|PRD-01012|PRD-00209|PRD-00354|PRD-00360|PRD-00292|PRD-01855|PRD-01009|PRD-01937|PRD-00795|PRD-01533|PRD-00522,헤어케어|더마,라네즈|클리오|아비브|랑콤|어반디케이,무신사|모바일웹|iOS앱,500000,5206326,179,BEAUTYNWI5FL|BEAUTYX5QJIC|BEAUTY55J2O7|BEAUTYWAJ1G1|BEAUTY4NXVKD,N,admin_19,4.65,160.48,82.36,535.04,58.57,706.72,200.71,614.86,51.34,207.65,24.97,825.15,293.03,723.17,26.16,X,N,1,Y,True,yes,Y,False,O,False
