sku,warehouse_id,warehouse_name,location_code,current_stock,reserved_stock,available_stock,safety_stock,reorder_point,max_stock,last_inbound_date,last_outbound_date,lot_number,expiry_date,manufacture_date,inbound_cost_krw,storage_fee_daily,status,temperature_zone,supplier_ref,wms_metric_01,wms_metric_02,wms_metric_03,wms_metric_04,wms_metric_05,wms_metric_06,wms_metric_07,wms_metric_08,wms_metric_09,wms_metric_10,wms_metric_11,wms_metric_12,wms_metric_13,wms_metric_14,wms_metric_15,wms_metric_16,wms_metric_17,wms_metric_18,wms_metric_19,wms_metric_20,wms_flag_01,wms_flag_02,wms_flag_03,wms_flag_04,wms_flag_05,wms_flag_06,wms_flag_07,wms_flag_08,wms_flag_09,wms_flag_10
SKU00000016,WH-04,대구센터,A-42-1,126,15,346,30,50,200,01-21-2024,20230511,LOT20246708,2027.02.19,03-28-2024,10958,42.76,폐기예정,상온,SUP-034,107.33,99.87,136.35,377.63,238.76,622.31,126.44,201.29,2022.95,109.13,1412.85,321.3,176.94,1144.81,95.8,94.85,1698.24,772.62,315.76,404.2,N,True,N,False,yes,1,0,X,no,N
SKU00000017,WH-04,대구센터,B-27-2,151,5,74,10,50,1000,20250313,20240705,LOT20246653,26/06/2025,2023.05.14,41328,55.84,정상,냉장,SUP-051,80.47,74.11,5.57,1262.39,639.66,1121.62,116.99,371.04,254.81,172.44,66.78,421.55,156.5,2243.89,95.29,4.06,505.3,133.26,217.8,438.34,N,True,Y,False,yes,1,1,O,yes,Y
SKU00000017,WH-01,김포센터,A-22-5,283,30,397,20,100,1000,16/08/2024,04-27-2024,LOT20234036,20250115,2024.11.06,3907,91.37,정상,냉장,SUP-051,46.09,2021.64,81.25,1914.57,10.78,62.89,139.13,1910.72,58.99,5.68,1138.72,1797.35,2328.36,297.32,19.05,30.08,385.49,431.15,180.09,65.62,N,True,N,True,yes,0,0,X,no,Y
SKU00000018,WH-05,광주센터,F-33-4,325,40,413,50,150,300,02-16-2023,09-26-2025,LOT20234141,2027.03.08,02-22-2025,24075,77.87,정상,냉장,SUP-012,401.16,790.62,8.6,472.35,15.62,1018.28,160.19,1532.14,2894.58,336.21,319.44,46.26,690.45,269.32,45.81,15.83,2180.36,933.99,675.59,45.46,Y,True,N,True,no,1,0,O,yes,N
SKU00000018,WH-01,김포센터,A-26-4,459,17,212,50,80,500,2023.03.16,13/04/2025,LOT20235073,20250319,10/01/2025,34491,14.86,정상,냉장,SUP-012,31.52,3114.92,95.34,313.03,336.08,238.69,22.16,732.15,2165.64,86.78,645.58,2505.24,432.94,976.62,37.19,58.32,1382.18,161.46,415.87,119.11,N,False,Y,True,no,0,0,X,no,Y
SKU00000019,WH-01,김포센터,B-50-1,224,46,329,20,150,800,20250228,28/10/2024,LOT20237301,12-29-2025,20240520,35751,65.25,반품입고,상온,SUP-028,155.59,189.08,26.58,326.33,629.69,1431.0,224.72,177.63,1830.09,130.02,365.29,653.81,1802.56,433.55,183.34,164.77,351.39,1248.38,104.71,685.52,N,False,N,True,yes,0,0,X,no,N
SKU00000019,WH-04,대구센터,A-29-1,498,32,352,30,50,800,2024-07-09,08-11-2025,LOT20249519,20250222,03-28-2024,2229,46.18,이상재고,냉장,SUP-028,73.47,219.09,212.94,855.08,155.51,596.96,320.51,327.42,594.83,99.67,1695.77,440.15,552.65,230.86,59.47,30.26,133.92,1419.73,458.79,13.41,N,True,Y,True,no,0,1,X,yes,N
SKU00000020,WH-02,인천센터,C-34-4,353,15,1,20,20,500,01-10-2024,2025-07-22,LOT20234110,06/02/2027,20250521,47062,99.47,폐기예정,냉동,SUP-045,125.43,347.3,51.87,106.06,438.52,73.31,11.54,33.39,133.12,11.22,404.56,836.18,146.0,1082.33,25.93,22.34,1408.28,1110.96,456.64,316.9,Y,False,Y,False,yes,1,0,O,no,Y
SKU00000020,WH-01,김포센터,C-48-4,289,28,37,20,50,500,2023-01-04,26/03/2024,LOT20247255,2026.05.28,2023-03-20,12571,27.74,반품입고,상온,SUP-045,76.52,778.47,137.88,353.24,858.24,37.55,176.27,468.35,139.75,214.61,591.78,166.0,57.74,30.33,3.68,18.96,411.63,1550.78,68.18,13.02,Y,False,N,False,no,1,0,O,no,N
SKU00000021,WH-05,광주센터,C-07-2,395,25,70,20,20,800,02-03-2024,10-18-2024,LOT20233640,2026-04-12,18/05/2024,16418,82.56,반품입고,상온,SUP-019,92.3,230.38,281.04,801.26,330.61,30.05,202.92,2272.02,2307.42,11.04,75.25,138.13,158.56,681.93,52.14,75.5,429.91,856.33,108.77,259.99,N,False,Y,False,no,1,1,O,yes,Y
SKU00000021,WH-01,김포센터,F-47-5,219,30,162,20,150,1000,2024.12.03,2023.09.19,LOT20234237,2027.01.26,11-30-2024,41267,65.18,정상,냉장,SUP-019,8.09,679.94,12.84,334.83,1835.66,164.79,66.66,2646.13,326.55,205.95,266.76,307.96,1026.71,1940.07,4.04,58.44,642.05,508.28,489.83,9.67,Y,True,Y,True,no,0,1,X,no,N
SKU00000022,WH-04,대구센터,E-30-3,246,21,354,30,100,300,29/07/2025,20240628,LOT20248427,28/12/2026,2025-01-31,4982,37.19,이상재고,냉장,SUP-041,120.63,1056.46,185.82,52.71,112.17,490.51,8.74,1612.59,29.99,16.36,450.37,187.92,515.5,2176.43,29.02,77.84,97.19,42.53,226.1,21.09,Y,True,N,False,yes,1,1,X,no,N
SKU00000023,WH-05,광주센터,B-50-5,494,45,119,20,50,800,10-28-2024,2024-07-07,LOT20236166,2025-09-03,2024.04.06,25993,99.66,정상,냉장,SUP-023,339.22,592.39,168.27,752.34,1172.22,846.15,53.52,1073.1,792.01,184.6,113.78,791.19,713.58,1712.95,4.18,389.7,262.59,195.17,128.23,140.12,N,True,Y,True,yes,1,1,O,no,N
SKU00000024,WH-02,인천센터,D-29-3,276,45,108,10,20,300,01-18-2024,2024-03-12,LOT20248372,2026-05-20,2024.01.06,30557,57.79,정상,상온,SUP-023,20.94,677.02,103.67,10.93,37.89,1903.37,664.89,635.39,612.78,8.12,2430.21,214.99,201.43,140.97,62.37,87.91,3364.67,1890.24,548.92,124.99,N,True,N,False,no,0,1,O,no,Y
SKU00000024,WH-05,광주센터,C-48-4,345,3,132,10,80,500,05-04-2025,07-03-2025,LOT20242882,2026-06-29,2024.06.19,41195,47.16,정상,냉동,SUP-023,159.89,614.56,61.39,181.21,14.27,745.1,141.03,16.74,2283.27,138.0,490.47,828.59,306.51,189.05,13.72,260.09,68.04,169.3,606.18,30.85,N,True,N,False,yes,1,0,O,yes,Y
SKU00000024,WH-01,김포센터,A-14-1,267,38,432,20,30,300,2025.12.04,20230524,LOT20241487,23/06/2025,20240321,37892,99.99,정상,냉장,SUP-023,0.96,2025.24,112.29,724.9,20.26,79.06,112.95,15.88,2748.76,719.27,940.13,138.31,157.17,206.71,77.22,7.22,81.12,694.73,132.81,365.48,Y,True,N,True,yes,1,0,X,yes,Y
SKU00000025,WH-05,광주센터,B-05-2,103,38,104,10,20,200,01-30-2024,07-10-2023,LOT20243331,2025.11.14,05-08-2024,18034,11.36,반품입고,냉동,SUP-041,194.24,342.1,90.13,362.96,191.14,64.36,80.89,2289.53,502.88,46.76,740.1,259.64,1439.52,962.17,66.5,92.62,291.51,808.66,167.89,163.62,Y,True,Y,False,no,1,0,O,yes,Y
SKU00000026,WH-05,광주센터,E-16-3,476,0,233,10,50,200,2023-08-15,2023-12-30,LOT20243630,14/07/2027,09-13-2023,41385,23.94,정상,상온,SUP-022,78.66,2426.72,104.54,182.26,106.31,76.96,131.1,436.27,648.23,135.86,622.42,1920.65,727.5,156.87,4.84,243.78,255.84,543.9,207.19,168.2,N,False,N,True,yes,1,0,O,yes,N
#KU00000027,WH-01,김포센터,F-39-2,170,45,18,20,150,300,06/12/2024,2023-04-03,LOT20247058,2027.03.16,21/08/2023,43938,18.39,폐기예정,상온,SUP-013,381.61,468.38,101.58,958.58,229.92,194.86,194.24,339.92,226.9,48.98,1178.98,1038.44,153.13,508.29,28.18,321.61,654.66,74.65,54.75,323.23,Y,False,Y,True,no,0,1,X,no,N
SKU00000027,WH-05,광주센터,D-02-4,478,36,156,20,100,300,2024-01-25,2025.09.27,LOT20248141,2027-11-28,2025-03-14,21120,89.21,정상,상온,SUP-013,194.57,95.24,113.81,899.62,1700.01,2100.82,359.76,1378.8,1482.6,209.21,1589.95,578.27,100.84,490.84,7.73,52.9,1329.84,239.58,631.33,82.82,Y,False,N,True,yes,0,1,O,no,Y
SKU00000028,WH-05,광주센터,B-24-4,366,41,402,100,30,300,20251208,2025.09.26,LOT20249485,20271102,09/01/2025,46672,67.75,정상,냉동,SUP-002,3.4,220.54,73.88,480.85,222.79,665.61,9.07,737.48,1367.52,51.17,296.78,771.81,196.38,383.5,80.13,126.27,102.4,505.33,97.72,389.96,Y,True,N,True,yes,0,1,X,no,Y
SKU00000028,WH-01,김포센터,A-49-3,490,26,141,50,100,800,2023-12-15,07-09-2023,LOT20232681,2026-05-25,30/04/2023,8206,82.13,정상,상온,SUP-002,255.44,33.4,147.23,1119.23,52.37,595.74,611.59,478.44,1615.21,12.04,59.13,151.8,1170.45,2132.87,44.46,45.08,4029.85,526.99,47.48,260.92,N,False,Y,True,no,0,1,O,yes,N
,WH-02,인천센터,E-20-2,456,38,23,100,50,200,2024-03-10,01-17-2025,LOT20231830,08-09-2027,20241021,25468,96.82,이상재고,상온,SUP-002,82.04,739.09,142.14,1575.37,172.12,1979.85,147.29,408.84,3771.76,197.62,244.33,215.02,735.58,260.41,199.3,282.32,1517.5,594.57,22.13,111.35,N,False,Y,True,no,0,0,X,yes,Y
SKU00000029,WH-02,인천센터,C-27-4,330,50,382,10,50,200,20240221,04-09-2025,LOT20238941,06-03-2026,2023.01.13,20744,81.28,정상,상온,SUP-012,54.75,3.86,67.06,24.35,97.88,605.34,6.87,1972.77,103.51,83.51,117.61,1241.34,521.38,19.92,4.18,151.93,433.28,123.15,2.66,381.59,Y,False,N,False,yes,0,0,X,yes,N
SKU00000030,WH-03,부산센터,E-01-4,316,12,386,30,80,200,20230907,20251223,LOT20237002,2027-05-08,2025-02-03,21618,38.7,폐기예정,상온,SUP-045,70.65,432.08,2.81,158.53,45.57,194.63,613.66,494.88,1342.06,230.5,226.77,199.42,31.88,823.2,53.48,227.78,698.97,55.39,527.45,93.88,Y,False,Y,False,no,0,0,O,no,N
SKU00000031,WH-02,인천센터,F-48-5,460,5,149,30,80,500,2025-06-17,15/10/2024,LOT20249548,2027.09.26,08-07-2023,28726,21.54,폐기예정,냉동,SUP-059,420.04,382.26,104.82,111.86,152.41,1207.29,954.98,244.68,2260.59,22.98,359.93,1664.26,708.27,1896.41,16.14,62.99,796.57,218.99,17.31,155.26,N,True,Y,True,no,1,1,X,no,Y
SKU00000032,WH-05,광주센터,D-25-5,429,8,285,10,100,800,01-05-2025,20250913,LOT20234050,06-02-2025,2023.05.17,20545,74.32,정상,상온,SUP-055,417.47,563.49,106.88,563.65,54.89,965.45,626.68,308.94,240.29,50.74,146.79,6.24,164.04,1169.92,28.32,728.82,2689.95,175.5,210.38,154.8,Y,True,N,True,no,0,0,O,yes,Y
SKU00000033,WH-03,부산센터,E-28-5,192,12,244,100,30,1000,02/08/2025,03/09/2025,LOT20232246,11/12/2026,20231228,22901,54.85,반품입고,냉동,SUP-027,638.62,3331.11,39.74,775.58,238.09,374.95,55.08,396.97,793.75,149.96,261.72,1641.43,190.84,351.85,201.49,19.81,66.69,1390.02,775.06,492.13,Y,False,Y,True,yes,1,1,X,no,Y
SKU00000034,WH-03,부산센터,E-27-2,342,10,197,30,50,200,20240424,11-16-2025,LOT20237951,2027-10-01,20250404,23957,90.11,폐기예정,상온,SUP-006,232.4,139.74,126.65,879.2,493.77,268.24,67.72,306.81,573.62,199.52,597.35,526.57,26.66,1397.97,40.73,107.1,378.96,116.45,541.71,47.32,N,True,N,False,no,1,0,X,yes,Y
SKU00000034,WH-04,대구센터,C-24-4,34,33,216,50,50,500,2023-01-15,2025.09.04,LOT20244573,20250908,08-10-2024,17317,84.42,이상재고,냉장,SUP-006,244.18,321.06,23.11,443.31,198.26,223.23,31.85,1948.44,210.5,59.31,506.64,462.07,181.26,968.22,144.05,108.35,295.51,379.37,71.08,186.3,N,False,N,True,yes,0,0,O,no,N
SKU00000035,WH-04,대구센터,C-01-5,234,12,72,50,30,1000,2025-01-18,2024.01.23,LOT20247446,20260501,2023-08-17,19198,71.2,반품입고,상온,SUP-053,378.11,1423.35,127.89,369.42,98.92,1835.44,473.18,392.11,448.75,168.41,181.77,223.87,1809.67,635.37,14.39,25.61,122.97,1281.59,23.81,56.67,N,True,N,False,no,0,1,O,yes,N
SKU00000035,WH-03,부산센터,D-47-4,244,23,82,30,50,500,2024-03-04,20241217,LOT20238257,2027-08-09,05-27-2024,12017,18.7,이상재고,상온,SUP-053,487.56,392.64,25.81,361.78,473.24,323.86,306.93,645.54,1221.23,162.31,25.92,233.91,1001.82,199.0,59.69,391.25,1122.43,1158.79,469.64,182.76,N,False,N,False,no,1,1,O,yes,Y
SKU00000035,WH-01,김포센터,B-14-1,199,9,140,100,30,500,30/03/2025,2023.03.21,LOT20241309,20270718,04-15-2025,47554,65.51,폐기예정,냉동,SUP-053,232.71,1919.86,25.42,303.89,302.44,753.83,281.82,555.83,1220.56,30.78,1167.63,838.39,160.22,137.41,20.73,262.17,786.7,850.52,194.55,13.29,N,False,N,False,yes,0,1,O,no,Y
SKU00000036,WH-01,김포센터,F-17-4,379,48,276,100,100,200,28/10/2024,08/03/2023,LOT20243333,02-04-2027,11-07-2023,29854,18.84,반품입고,상온,SUP-056,161.06,469.28,207.19,228.48,507.98,32.82,176.99,87.11,158.9,324.91,616.71,331.32,114.5,945.01,105.44,114.47,1182.07,534.9,260.18,191.26,N,False,Y,False,no,0,1,O,no,N
SKU00000036,WH-03,부산센터,D-07-5,202,41,127,50,20,800,05-27-2025,20240203,LOT20231643,05/05/2025,20230806,28154,97.3,정상,상온,SUP-056,131.25,399.09,21.15,1067.03,361.87,976.72,230.41,1423.7,2564.65,193.28,1947.1,1090.84,258.03,342.24,40.47,329.71,272.27,529.44,155.68,147.16,Y,False,N,False,no,0,0,O,no,N
SKU00000037,WH-02,인천센터,F-03-1,339,26,296,30,20,200,04/09/2025,10/07/2023,LOT20239487,2027.06.06,2023.11.07,10163,93.57,정상,상온,SUP-023,82.41,1.76,212.74,719.11,130.26,1258.92,246.97,1103.82,617.89,31.56,170.58,392.09,1047.8,686.04,30.03,44.26,474.93,607.16,65.56,358.7,N,True,N,False,no,1,0,O,yes,Y
,WH-04,대구센터,E-09-3,101,43,318,30,20,200,01-07-2023,2025-11-11,LOT20235770,2025-01-22,20241205,14923,11.81,정상,상온,SUP-023,112.48,1659.56,39.17,1839.08,215.42,7.71,521.08,22.76,38.37,401.89,1260.63,189.65,726.12,1356.34,3.98,101.39,361.49,1272.12,237.93,290.69,Y,False,Y,False,yes,1,1,O,yes,Y
SKU00000038,WH-01,김포센터,A-01-3,223,38,362,100,100,800,2024.12.04,2024.08.29,LOT20234536,10-25-2025,04/04/2025,31698,51.79,폐기예정,냉장,SUP-019,44.61,47.11,2.24,378.78,67.25,496.48,18.75,1908.42,496.09,62.44,854.82,402.51,461.72,2847.37,259.05,346.91,1017.32,672.61,253.11,7.2,N,False,Y,False,yes,0,1,X,no,Y
SKU00000038,WH-02,인천센터,E-05-1,74,2,38,10,50,800,2024.08.01,2023-12-11,LOT20240509,2027-02-01,2024.04.22,30362,60.8,정상,상온,SUP-019,2.21,299.52,26.56,6.71,97.49,2437.57,260.29,683.12,62.56,108.5,420.23,1295.35,250.02,2916.79,26.63,31.29,606.87,346.51,389.82,183.67,Y,False,Y,False,yes,1,0,X,no,Y
SKU000000!8,WH-03,부산센터,D-46-3,91,32,356,20,30,200,20241212,10-26-2024,LOT20245482,2025.05.24,13/02/2025,30747,91.77,반품입고,냉장,SUP-019,99.18,390.7,22.89,451.97,238.11,790.99,310.71,1094.69,9.03,206.45,804.64,675.15,1640.12,640.33,108.45,111.37,2473.76,284.41,246.32,101.38,N,False,N,True,no,1,0,X,yes,N
SKU00000039,WH-05,광주센터,B-46-5,442,29,111,30,30,300,2024.08.18,2025.04.19,LOT20235680,2027.09.05,11/04/2023,3600,63.27,이상재고,냉동,SUP-023,118.87,332.98,12.15,940.93,362.72,2013.35,229.37,2854.91,3128.88,482.9,313.29,175.2,464.57,212.36,36.79,53.45,257.33,566.77,61.21,302.13,Y,True,N,False,yes,0,1,X,yes,N
SKU00000039,WH-03,부산센터,B-16-2,52,31,400,50,100,500,2023-07-29,03-21-2025,LOT20236566,20250731,2023.05.15,2525,82.79,정상,냉동,SUP-023,54.31,35.31,11.06,75.45,275.84,1418.79,196.52,318.42,607.36,2.77,406.79,889.56,48.96,870.81,14.38,86.81,409.29,126.78,261.9,117.72,N,False,Y,True,no,1,0,X,no,N
