supplier_id,supplier_name,business_reg_no,contact_person,contact_email,inbound_id,po_number,sku,brand_id,inbound_qty,unit_cost_krw,total_cost_krw,inbound_date,expected_date,warehouse_dest,quality_check,defect_rate_pct,lead_time_days,payment_terms,currency,origin_country,scm_metric_01,scm_metric_02,scm_metric_03,scm_metric_04,scm_metric_05,scm_metric_06,scm_metric_07,scm_metric_08,scm_metric_09,scm_metric_10,scm_metric_11,scm_metric_12,scm_metric_13,scm_metric_14,scm_metric_15,scm_flag_01,scm_flag_02,scm_flag_03,scm_flag_04,scm_flag_05,scm_flag_06,scm_flag_07,scm_flag_08
SUP-001,(주) 바비브라운코스메틱,641-66-15616,정담당자,contact_2lcvoo53@cosme.kr,INB-RODPAEOQ,PO-20248012,SKU00001899,BR-042,50,28176,4277824,11/04/2023,20230407,WH-02,합격,1.68,35,60일,KRW,한국,352.49,753.31,635.61,10.6,5.75,1.65,321.31,123.59,321.88,594.77,21.22,504.11,1156.19,0.85,140.12,no,False,no,1,Y,True,yes,X
SUP-001,주식회사 바닐라코코스메틱,928-84-80171,정담당자,contact_raqvcsb0@cosme.kr,INB-DOQH0DZK,PO-20253328,SKU00001758,BR-042,50,69708,2925424,12-11-2025,20251206,WH-05,합격,3.04,3,30일,KRW,미국,216.01,3910.12,2057.08,15.86,127.5,21.74,93.57,835.79,40.72,144.78,783.32,24.05,594.23,73.1,127.62,no,False,yes,0,Y,True,no,O
SUP-001,주식회사 토니모리코스메틱,393-78-72662,박담당자,contact_4iy8fu04@cosme.kr,INB-U3BF5SV9,PO-20241504,SKU00000882,BR-042,2000,17261,30040181,2023.04.19,2023.04.22,WH-01,합격,0.11,11,90일,EUR,중국,75.29,448.59,39.41,1.38,295.35,750.14,321.75,1469.75,373.99,677.38,51.1,1371.71,229.56,56.91,2469.11,yes,False,no,0,Y,True,no,X
SUP-001,유한회사 올리브영PB코스메틱,449-48-32848,정담당자,contact_7v4fkjyd@cosme.kr,INB-EGFHT1BF,PO-20240146,SKU00001090,BR-042,200,19128,39457957,19/07/2023,20230721,WH-05,합격,4.4,38,60일,KRW,미국,198.91,1498.07,66.4,19.33,97.58,219.41,34.86,638.86,2162.43,64.61,173.43,1512.8,1186.52,194.1,432.52,yes,False,no,0,N,True,no,X
SUP-001,(주) 설화수코스메틱,279-51-15191,박담당자,contact_pqveyruc@cosme.kr,INB-HIIJMV8A,PO-20245632,SKU00000781,BR-042,1000,72641,23706335,24/06/2024,20240619,WH-03,부분합격,2.38,42,90일,JPY,중국,495.7,75.63,1048.18,29.85,120.01,162.94,30.7,366.33,336.04,96.03,491.56,1016.02,69.47,86.41,1243.1,yes,True,yes,0,Y,True,no,O
SUP-001,유한회사 헤라코스메틱,639-53-40287,이담당자,contact_8veg1hg2@beauty.com,INB-0VOABTXD,PO-20253955,SKU00001077,BR-042,500,25799,4145541,20240407,20240409,WH-02,불합격,4.11,12,30일,EUR,한국,923.94,1106.57,274.18,17.96,40.21,8.74,984.42,8.96,121.18,43.38,61.87,1677.75,455.31,59.78,341.9,yes,True,yes,1,Y,False,no,X
SUP-001,(주) 세타필코스메틱,999-81-46954,이담당자,contact_xio7iyh1@supplier.co.kr,INB-KPFM1GNW,PO-20251711,SKU00000373,BR-042,100,72952,21353144,06/12/2024,20241207,WH-04,합격,2.47,8,30일,KRW,일본,213.25,269.95,178.64,4.19,42.01,507.76,578.2,1467.86,918.18,37.19,95.04,644.04,458.48,290.19,9.04,yes,False,yes,0,Y,True,no,X
SUP-001,(주) 페리페라코스메틱,469-72-89960,박담당자,contact_2kle8094@supplier.co.kr,INB-I3Y0JCTY,PO-20256149,SKU00000310,BR-042,1000,20364,7884149,11-20-2025,11-25-2025,WH-01,합격,2.4,9,30일,USD,프랑스,616.34,848.45,241.38,15.09,38.52,322.92,295.3,245.71,213.29,1440.63,370.07,748.85,555.97,33.86,1174.34,no,False,no,1,N,False,yes,X
SUP-001,유한회사 에뛰드코스메틱,111-78-46735,김담당자,contact_s01icckt@supplier.co.kr,INB-2IPVVML7,PO-20247487,SKU00001899,BR-042,100,76272,47489646,09/08/2024,08-07-2024,WH-03,합격,4.63,21,30일,KRW,독일,79.87,221.32,1133.64,13.2,45.0,82.4,540.02,2265.89,919.04,1212.25,163.28,314.87,528.65,3.9,12.65,yes,True,yes,1,N,True,no,X
SUP-001,주식회사 더페이스샵코스메틱,811-93-40227,최담당자,contact_d0to04e8@beauty.com,INB-35H7NCYN,PO-20251244,SKU00001970,BR-042,300,3857,32168781,2024.02.29,2024-03-02,WH-02,불합격,4.32,19,60일,USD,한국,7.52,308.8,1081.97,52.75,78.56,252.44,478.32,1208.55,1485.06,324.26,1304.6,727.51,334.2,198.98,60.5,yes,False,yes,0,N,False,yes,X
SUP-001,유한회사 홀리카홀리카코스메틱,523-62-20798,최담당자,contact_s3c8oylz@supplier.co.kr,INB-2NF3XMOP,PO-20247593,SKU00000781,BR-042,200,39588,13848376,2025.08.24,2025-08-26,WH-03,합격,1.71,17,90일,KRW,독일,189.25,1672.42,453.98,8.61,63.58,45.69,973.29,795.67,344.28,304.22,146.17,2295.07,185.85,13.76,760.75,no,False,yes,1,Y,True,no,O
SUP-001,주식회사 아비브코스메틱,192-56-17818,이담당자,contact_hfitxcqg@cosme.kr,INB-MTG8I1SK,PO-20241315,SKU00000373,BR-042,100,57005,27050208,2024.12.07,20241208,WH-02,합격,2.82,17,선불,KRW,독일,822.7,115.05,684.43,6.22,136.31,735.72,53.01,920.13,1119.06,1917.39,229.9,1122.62,25.4,60.78,200.55,yes,True,yes,1,N,False,no,O
SUP-001,유한회사 바비브라운코스메틱,125-94-86144,최담당자,contact_7caaiszv@supplier.co.kr,INB-T5A8GIO6,PO-20239499,SKU00000882,BR-042,1000,45699,13767774,20241206,20241209,WH-03,부분합격,0.55,39,위탁,KRW,독일,243.77,303.09,583.71,2.62,40.76,539.94,118.18,460.45,1228.04,683.15,203.57,418.45,195.99,127.26,175.16,no,False,yes,0,N,False,no,O
SUP-001,(주) 조선미녀코스메틱,605-44-23218,최담당자,contact_bnf7ayun@cosme.kr,INB-FQNUMZIE,PO-20242865,SKU00000353,BR-042,2000,56541,1720917,20240912,16/09/2024,WH-03,합격,2.1,33,선불,KRW,미국,110.0,457.9,933.76,7.96,30.57,25.17,640.01,178.01,336.98,261.82,174.52,517.44,206.65,48.31,1420.87,yes,True,no,1,Y,False,no,O
SUP-001,주식회사 조선미녀코스메틱,886-31-90013,이담당자,contact_6ssn6qyk@supplier.co.kr,INB-AM6GIUA2,PO-20235882,SKU00000781,BR-042,2000,56804,13540208,2025-11-03,20251106,WH-03,합격,1.8,32,60일,EUR,일본,263.72,136.62,2541.47,49.72,23.01,99.88,329.07,2013.95,297.79,1221.68,595.43,102.31,339.31,85.93,38.13,no,False,yes,1,Y,True,yes,X
SUP-001,(주) 닥터자르트코스메틱,888-55-21122,김담당자,contact_v27fiur2@supplier.co.kr,INB-2AXG87DZ,PO-20235825,SKU00000115,BR-042,200,68053,17167273,2024-06-22,25/06/2024,WH-05,검사중,2.27,32,90일,KRW,프랑스,641.57,425.55,242.55,60.86,30.66,123.39,397.42,1010.46,226.71,198.98,674.74,1075.54,276.11,64.34,124.79,no,False,no,0,Y,False,yes,O
SUP-001,유한회사 VDL코스메틱,661-85-47751,정담당자,contact_b2e1e9lv@beauty.com,INB-96ZDTB6O,PO-20252790,SKU00000115,BR-042,300,79703,38879369,03-01-2025,2025.03.01,WH-05,검사중,1.33,8,30일,EUR,프랑스,1156.7,218.1,1933.13,85.93,14.36,181.16,584.55,1.46,104.05,328.56,278.65,264.01,1492.03,96.92,188.8,no,True,yes,0,N,False,no,O
SUP-001,(주) 애경코스메틱,146-26-95586,김담당자,contact_i44ed4ay@beauty.com,INB-3XSGJ8XD,PO-20255332,SKU00000115,BR-042,200,76045,26059205,07-17-2024,07-14-2024,WH-02,부분합격,4.09,22,선불,KRW,한국,1029.58,505.92,1425.27,123.19,6.2,120.25,656.41,2958.85,416.14,745.55,17.64,451.3,1217.38,94.02,1436.25,no,True,yes,1,Y,True,no,O
SUP-001,(주) 데이지크코스메틱,163-38-31843,이담당자,contact_zgwgmc0t@beauty.com,INB-1KYOVJRV,PO-20252447,SKU00000781,BR-042,300,18277,8597593,20240131,02-03-2024,WH-04,합격,3.34,26,30일,USD,한국,135.41,1706.12,274.73,36.45,44.32,178.9,3.29,635.67,670.49,1227.94,107.14,0.06,597.92,77.85,1238.86,yes,True,no,1,N,True,no,X
SUP-001,(주) 아이오페코스메틱,904-22-47985,최담당자,contact_7koik5kd@cosme.kr,INB-01QQ65WO,PO-20244606,SKU00001758,BR-042,2000,39064,35853103,2024-12-18,2024-12-21,WH-01,합격,1.63,7,90일,USD,중국,1604.97,1074.19,1206.22,4.24,89.54,168.82,435.02,587.99,2354.77,1003.83,68.84,1181.5,252.16,49.22,554.21,yes,True,yes,0,Y,False,no,X
SUP-001,유한회사 라로슈포제코스메틱,978-69-44956,최담당자,contact_o2u0f3nw@supplier.co.kr,INB-5V1T4TO7,PO-20252166,SKU00000115,BR-042,100,68723,47316274,2024.03.26,20240330,WH-03,검사중,3.24,39,선불,JPY,독일,155.79,1162.5,327.43,8.75,26.58,641.64,918.76,3435.21,281.11,201.74,627.17,781.97,15.65,60.89,390.57,no,True,no,0,N,True,yes,O
SUP-001,(주) 아모레퍼시픽코스메틱,123-94-44255,박담당자,contact_d6980v20@cosme.kr,INB-KJ43Z1QL,PO-20251515,SKU00000373,BR-042,200,21961,1430835,2023.04.28,20230426,WH-02,부분합격,4.06,38,선불,EUR,독일,404.06,2445.86,820.14,30.69,8.74,168.33,167.01,172.29,1586.32,269.69,115.39,369.81,303.3,95.14,1513.77,yes,True,yes,1,Y,False,no,X
SUP-001,(주) 바비브라운코스메틱,626-64-79642,정담당자,contact_g8vwufbn@supplier.co.kr,INB-8UTCRC3J,PO-20233060,SKU00001970,BR-042,1000,36294,20824169,2025.10.09,10-09-2025,WH-04,검사중,4.65,21,30일,EUR,일본,405.59,443.51,511.75,21.4,84.65,253.93,363.2,484.83,364.14,91.71,270.08,245.86,16.43,40.56,61.35,yes,True,yes,1,Y,True,yes,X
SUP-001,유한회사 클리오코스메틱,583-69-98359,이담당자,contact_502u0pnz@beauty.com,INB-0FK3SJ06,PO-20259909,SKU00000353,BR-042,300,37117,41291949,25/08/2025,20250826,WH-04,불합격,2.84,31,선불,KRW,중국,211.44,198.33,396.45,47.4,27.31,337.04,196.07,1603.48,656.43,945.58,298.97,658.23,666.07,26.43,392.19,no,True,yes,0,Y,False,no,O
SUP-001,주식회사 넘버즈코스메틱,142-68-98755,정담당자,contact_ljjmfnv8@beauty.com,INB-1DLEBWTI,PO-20257371,SKU00001899,BR-042,200,62583,13277337,2025-03-27,2025-03-31,WH-01,부분합격,0.97,21,90일,KRW,독일,306.27,2413.24,272.25,19.14,418.76,164.02,156.12,1851.39,324.61,98.85,497.87,1128.76,293.76,53.17,397.48,yes,True,yes,1,Y,False,no,X
SUP-001,주식회사 맥코스메틱,464-31-44193,박담당자,contact_qcqsztar@beauty.com,INB-GWJWCWE3,PO-20245813,SKU00000733,BR-042,500,26067,15074265,12-28-2023,20231223,WH-01,불합격,0.61,7,위탁,KRW,일본,260.42,1593.62,1926.33,11.02,18.43,195.66,86.0,534.71,434.95,1817.78,152.54,183.5,43.26,46.75,15.16,yes,False,no,0,Y,False,no,O
SUP-001,주식회사 토리든코스메틱,638-41-24801,정담당자,contact_dk8pe4tz@supplier.co.kr,INB-LBD9GV4S,PO-20236131,SKU00001077,BR-042,2000,32529,2375902,2023.03.28,03-27-2023,WH-04,불합격,4.62,43,선불,JPY,미국,108.1,800.36,2664.85,14.67,116.54,110.91,166.13,685.6,174.71,759.96,101.8,314.62,271.18,8.91,547.6,no,True,yes,0,Y,True,yes,X
SUP-001,유한회사 넘버즈코스메틱,176-25-23656,이담당자,contact_9r1fowys@supplier.co.kr,INB-WZFHEM96,PO-20259743,SKU00000115,BR-042,500,53458,17236087,2024.06.05,2024.06.04,WH-05,검사중,0.64,37,90일,KRW,한국,274.79,77.42,1466.12,2.78,39.68,103.77,616.17,2997.89,731.1,65.74,234.25,1617.17,336.85,37.4,128.99,yes,True,yes,1,Y,True,no,O
SUP-001,유한회사 넘버즈코스메틱,481-90-62242,김담당자,contact_b768evbu@cosme.kr,INB-BZXOFBC8,PO-20246375,SKU00001970,BR-042,300,66674,438806,08-15-2024,08-12-2024,WH-04,불합격,1.68,25,30일,KRW,중국,672.96,346.72,282.69,12.3,45.45,194.39,41.7,428.28,868.9,38.83,16.95,465.41,191.59,92.6,307.16,no,False,yes,1,Y,True,yes,O
SUP-001,주식회사 라네즈코스메틱,886-97-82676,최담당자,contact_rir0stqw@supplier.co.kr,INB-C8FBJWGA,PO-20243368,SKU00001758,BR-042,1000,29010,33209272,28/01/2024,20240202,WH-04,불합격,2.22,15,위탁,EUR,일본,168.06,486.84,334.39,46.41,13.74,74.14,473.85,1685.87,251.28,836.34,124.62,291.73,24.53,86.85,142.71,yes,False,yes,0,Y,True,yes,O
SUP-001,주식회사 페리페라코스메틱,625-95-63905,최담당자,contact_vsii74qg@cosme.kr,INB-KPZ2GEAU,PO-20244090,SKU00000353,BR-042,50,64804,8177334,20250918,2025.09.20,WH-05,합격,3.15,43,위탁,KRW,중국,4.51,1615.61,379.22,45.18,24.11,795.2,71.09,41.5,1350.5,65.96,330.2,34.76,117.94,338.98,515.5,no,True,yes,1,Y,False,no,O
SUP-001,(주) 스킨푸드코스메틱,152-85-81930,정담당자,contact_lmft8y1q@cosme.kr,INB-WREI3B5L,PO-20236386,SKU00000373,BR-042,1000,35787,27137495,20250827,20250826,WH-04,합격,2.13,43,30일,KRW,미국,1862.3,1320.91,1517.47,33.36,85.76,62.59,504.05,687.01,93.57,582.51,89.19,601.49,947.92,55.56,183.88,yes,True,no,1,N,False,no,O
SUP-001,(주) 나스코스메틱,430-71-20826,이담당자,contact_usifatc8@supplier.co.kr,INB-3OMH3IEQ,PO-20235085,SKU00000373,BR-042,500,47039,41250030,2023.02.23,22/02/2023,WH-04,불합격,4.36,25,30일,JPY,중국,316.07,936.39,244.26,18.29,47.39,128.93,552.54,1795.23,112.35,1188.92,691.01,330.79,191.54,128.45,53.59,no,False,no,0,Y,False,no,X
SUP-001,주식회사 LG생건코스메틱,675-59-56111,정담당자,contact_cvd5spwz@cosme.kr,INB-HC8KG2ZW,PO-20245354,SKU00000733,BR-042,500,60838,20143746,2024.04.14,2024-04-12,WH-02,부분합격,4.89,19,60일,JPY,미국,474.33,1041.53,446.5,47.36,140.85,582.1,253.35,1379.36,508.33,152.1,57.04,340.92,32.43,22.29,24.44,yes,True,yes,1,N,False,yes,X
SUP-001,(주) 에스티로더코스메틱,601-46-55495,정담당자,contact_nn891pli@beauty.com,INB-EZ0QX6J3,PO-20237643,SKU00001899,BR-042,200,33805,5802155,08-01-2023,31/07/2023,WH-03,불합격,0.41,7,90일,KRW,독일,40.79,423.65,241.73,31.46,12.07,286.92,296.91,338.42,337.26,106.96,466.05,4212.18,75.21,26.2,475.84,no,True,no,1,N,True,no,X
SUP-001,주식회사 더페이스샵코스메틱,832-96-58870,최담당자,contact_umsxp3kl@beauty.com,INB-FDDQWP73,PO-20251046,SKU00001758,BR-042,200,67808,37317364,08/06/2025,20250612,WH-04,검사중,4.07,10,위탁,KRW,프랑스,926.41,19.28,3472.88,13.11,32.79,109.38,163.57,299.77,96.0,2725.49,533.39,101.3,40.24,33.61,223.9,yes,True,no,1,N,False,yes,X
SUP-002,주식회사 아모레퍼시픽코스메틱,639-70-12778,박담당자,contact_414xt481@beauty.com,INB-UZ0P3LG4,PO-20242712,SKU00001117,BR-084,500,69821,46662897,2023.11.14,2023.11.15,WH-05,불합격,1.99,4,선불,KRW,중국,1693.85,1655.21,680.03,35.66,43.81,371.66,34.74,1469.58,324.9,4.34,1789.44,1178.65,1016.63,49.35,1015.67,yes,False,yes,0,N,False,yes,X
SUP-002,(주) 데이지크코스메틱,495-58-90124,김담당자,contact_rjen08r7@cosme.kr,INB-KSLGVVUU,PO-20254882,SKU00000654,BR-101,2000,27343,32474574,02-23-2025,26/02/2025,WH-05,부분합격,4.55,24,30일,KRW,일본,1601.47,884.04,400.62,36.52,146.39,98.11,16.0,989.59,912.9,313.22,446.41,433.51,708.83,8.85,383.54,no,False,yes,0,N,False,no,O
SUP-002,(주) 샤넬코스메틱,771-13-35802,최담당자,contact_ak2ouko9@cosme.kr,INB-HF464Z45,PO-20243560,SKU00001658,BR-084,1000,23509,36734827,2024.10.24,20241019,WH-05,부분합격,2.73,7,선불,KRW,일본,386.77,2695.8,95.81,6.84,105.06,179.63,59.59,294.01,432.84,171.06,24.21,231.48,3.93,52.25,768.39,yes,True,no,0,N,True,no,O
SUP-002,주식회사 어반디케이코스메틱,308-93-32622,정담당자,contact_7iluujuh@cosme.kr,INB-5VGLOIF2,PO-20245452,SKU00001957,BR-101,100,16664,4029265,2025.12.15,2025-12-12,WH-05,부분합격,3.77,16,위탁,KRW,독일,945.35,830.57,2300.05,0.3,23.94,59.02,263.88,937.43,1072.78,51.0,458.02,104.75,505.41,0.94,288.39,yes,False,no,0,Y,False,no,X
SUP-002,유한회사 더페이스샵코스메틱,348-92-24594,정담당자,contact_qpshrsys@supplier.co.kr,INB-IBOLJ64L,PO-20257665,SKU00001074,BR-084,200,76723,16955998,20240112,2024-01-11,WH-03,검사중,0.85,28,60일,KRW,미국,56.57,557.04,437.35,30.72,127.09,209.12,338.53,1654.93,2119.61,500.14,462.93,695.67,29.56,22.96,47.64,no,False,no,0,Y,False,no,O
SUP-002,주식회사 디올코스메틱,120-99-68270,김담당자,contact_1qbo3ej9@supplier.co.kr,INB-LMZZI5RU,PO-20254722,SKU00001485,BR-101,300,31203,40977958,2024-07-11,2024-07-14,WH-02,검사중,0.38,15,위탁,KRW,일본,100.38,668.06,63.01,4.92,31.98,222.99,3.79,63.79,614.62,8.08,33.21,1319.46,20.16,51.38,332.54,yes,False,no,0,Y,False,no,O
SUP-002,유한회사 아이오페코스메틱,862-93-44625,김담당자,contact_abupnmgx@supplier.co.kr,INB-39C5YAAN,PO-20250777,SKU00001720,BR-084,1000,52313,26614596,20240911,20240914,WH-05,검사중,4.74,45,위탁,KRW,일본,1740.5,346.98,2236.16,0.17,124.31,14.85,674.37,3136.29,410.53,114.71,38.79,559.17,338.08,32.57,104.5,yes,True,no,1,N,True,yes,O
SUP-002,주식회사 일리윤코스메틱,601-35-66964,최담당자,contact_gchno8bz@beauty.com,INB-B5OSCMI7,PO-20244048,SKU00001658,BR-084,200,24428,31873671,20230605,20230602,WH-04,합격,2.13,34,위탁,KRW,중국,156.83,401.1,2066.68,53.32,10.7,473.08,49.61,1705.96,655.36,450.6,600.59,334.42,75.83,17.78,610.08,yes,False,no,1,N,True,no,X
SUP-002,(주) 코스알엑스코스메틱,705-82-25658,이담당자,contact_1n2ahge7@supplier.co.kr,INB-XPB53ITD,PO-20238028,SKU00000028,BR-101,1000,31052,49649638,15/07/2024,07-11-2024,WH-03,합격,4.81,41,30일,USD,일본,10.39,641.2,2406.69,1.16,47.74,9.15,266.73,1221.49,2950.84,97.79,33.47,1472.66,138.11,22.48,681.58,no,True,no,1,Y,True,no,X
SUP-002,유한회사 미샤코스메틱,832-38-91212,이담당자,contact_6s6jwins@beauty.com,INB-84S1HHKJ,PO-20236479,SKU00001850,BR-101,500,63152,34818601,2025.05.22,2025.05.19,WH-02,부분합격,4.68,41,위탁,JPY,프랑스,487.88,1624.84,510.86,6.18,28.34,24.04,407.69,378.96,179.28,182.5,601.52,2198.31,27.47,3.51,278.92,yes,False,no,0,N,True,yes,O
SUP-002,주식회사 에스쁘아코스메틱,739-89-89218,이담당자,contact_x5g8362e@supplier.co.kr,INB-79AG0CQJ,PO-20246294,SKU00001485,BR-101,500,70149,6235098,20231127,02/12/2023,WH-01,부분합격,1.32,8,30일,JPY,일본,277.66,879.03,474.45,32.92,20.74,924.01,12.29,121.6,676.61,83.65,931.64,2882.73,49.42,129.48,1768.24,no,False,yes,0,N,True,no,O
SUP-002,주식회사 LG생건코스메틱,856-16-65726,이담당자,contact_y05nwj8u@cosme.kr,INB-V6S6AC0X,PO-20245255,SKU00001656,BR-101,500,52230,19767975,24/12/2025,2025-12-20,WH-01,합격,3.58,4,위탁,KRW,프랑스,1886.44,1814.68,2457.51,8.66,55.41,573.22,275.87,2019.18,143.25,131.85,240.81,2007.87,313.45,397.18,941.17,no,True,yes,1,Y,False,no,O
SUP-002,주식회사 바닐라코코스메틱,702-36-22652,정담당자,contact_6nazb006@cosme.kr,INB-77VOTFTE,PO-20254404,SKU00001266,BR-084,2000,63862,46646308,2025-05-14,2025.05.12,WH-05,불합격,4.02,45,90일,KRW,한국,326.58,1051.18,486.61,17.74,91.21,319.04,1420.03,929.01,819.29,1707.19,1032.46,794.74,472.44,105.2,46.5,yes,False,yes,1,Y,False,yes,X
SUP-002,주식회사 아모레퍼시픽코스메틱,308-97-79766,박담당자,contact_zzfz7852@beauty.com,INB-TIL7Q6DB,PO-20234997,SKU00001117,BR-084,300,70763,47492674,02/01/2023,12-31-2022,WH-01,부분합격,4.86,24,90일,JPY,한국,1014.32,2696.52,700.26,16.9,55.33,161.27,184.18,233.53,109.51,213.26,228.21,824.94,268.55,187.53,173.34,yes,False,yes,1,N,True,yes,X
SUP-002,주식회사 에스쁘아코스메틱,702-57-82571,김담당자,contact_zw370aa0@cosme.kr,INB-N4BRTJBF,PO-20254939,SKU00001074,BR-084,500,47408,13070720,28/12/2023,24/12/2023,WH-02,합격,1.09,3,위탁,EUR,미국,1465.2,274.28,215.59,15.64,24.45,107.8,184.89,223.78,724.63,72.18,125.06,335.91,174.31,59.37,47.76,yes,True,no,0,Y,True,yes,O
SUP-002,유한회사 바닐라코코스메틱,930-67-78380,정담당자,contact_pdp4hip5@beauty.com,INB-6I8C1SLP,PO-20241794,SKU00000549,BR-101,50,12084,3999531,2023.04.21,2023.04.20,WH-05,합격,1.7,4,위탁,EUR,독일,2176.74,483.07,1935.82,15.62,110.06,471.87,213.63,361.7,685.44,431.75,242.19,1064.35,661.57,165.2,81.98,yes,False,yes,0,Y,True,no,O
SUP-002,(주) 클리오코스메틱,934-77-72638,정담당자,contact_jqtle3hg@cosme.kr,INB-C2JFRG57,PO-20250216,SKU00001658,BR-084,200,28360,33986146,2023.10.25,20231021,WH-02,부분합격,0.48,42,위탁,EUR,미국,175.57,729.53,743.49,40.19,50.22,30.33,125.43,727.33,960.71,110.37,184.36,462.06,294.1,8.1,954.13,no,True,yes,0,Y,True,no,O
SUP-003,(주) 구달코스메틱,678-54-79671,박담당자,contact_c6dn2q41@cosme.kr,INB-9ALI7YWP,PO-20241398,SKU00001215,BR-011,50,76092,5308943,2024-01-10,2024.01.12,WH-03,부분합격,1.97,29,90일,USD,일본,121.72,193.89,258.9,58.56,119.6,136.64,103.92,1322.12,287.83,605.0,755.43,543.48,218.12,223.25,62.74,no,False,no,0,Y,False,no,O
