record_id,flt_no,carrier,scheduled_date,delay_minutes,delay_category,delay_code,delay_reason,weather_condition,responsible_party,reported_by,report_time,resolution_time,passenger_compensation,estimated_cost_usd
DLY013,LJ401,JNA,2024-01-16,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-16 12:02:00,2024-01-16 12:05:00,FALSE,0
DLY014,KE890,KAL,2024-01-16,15,MINOR,72,WEIGHT_BALANCE,CLEAR,AIRLINE,LOADMASTER,2024-01-16 21:32:00,2024-01-16 21:45:00,FALSE,500
DLY015,OZ504,AAR,2024-01-16,15,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-16 14:02:00,2024-01-16 14:15:00,FALSE,0
DLY016,TW602,TWB,2024-01-16,10,MINOR,41,FUELING,CLEAR,GROUND_HANDLER,RAMP_AGENT,2024-01-16 15:32:00,2024-01-16 15:40:00,FALSE,300
DLY017,KE345,KAL,2024-01-16,10,MINOR,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-16 11:02:00,2024-01-16 11:10:00,FALSE,0
DLY018,ZE305,ESR,2024-01-16,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-16 13:47:00,2024-01-16 13:50:00,FALSE,0
DLY019,KE678,KAL,2024-01-16,20,MODERATE,71,ATC_DELAY,CLEAR,ATC,OPS_CENTER,2024-01-16 10:05:00,2024-01-16 10:20:00,FALSE,2000
DLY020,OZ605,AAR,2024-01-17,10,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-17 08:02:00,2024-01-17 08:10:00,FALSE,0
DLY021,7C309,JJA,2024-01-17,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-17 09:32:00,2024-01-17 09:35:00,FALSE,0
DLY022,LJ502,JNA,2024-01-17,5,MINIMAL,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-17 11:02:00,2024-01-17 11:05:00,FALSE,0
DLY023,KE901,KAL,2024-01-17,15,MINOR,72,WEIGHT_BALANCE,CLEAR,AIRLINE,LOADMASTER,2024-01-17 23:32:00,2024-01-17 23:45:00,FALSE,500
DLY024,OZ706,AAR,2024-01-17,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-17 13:02:00,2024-01-17 13:05:00,FALSE,0
DLY025,TW703,TWB,2024-01-17,10,MINOR,41,FUELING,CLEAR,GROUND_HANDLER,RAMP_AGENT,2024-01-17 14:32:00,2024-01-17 14:40:00,FALSE,300
DLY026,KE012,KAL,2024-01-17,15,MINOR,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-17 09:02:00,2024-01-17 09:15:00,FALSE,0
DLY027,ZE408,ESR,2024-01-17,10,MINOR,93,SECURITY,CLEAR,SECURITY,SEC_OFFICER,2024-01-17 15:02:00,2024-01-17 15:10:00,FALSE,0
DLY028,KE135,KAL,2024-01-17,20,MODERATE,71,ATC_DELAY,CLEAR,ATC,OPS_CENTER,2024-01-17 17:05:00,2024-01-17 17:20:00,FALSE,2000
DLY029,OZ807,AAR,2024-01-17,15,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-17 19:32:00,2024-01-17 19:45:00,FALSE,0
DLY030,7C412,JJA,2024-01-18,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-18 07:17:00,2024-01-18 07:20:00,FALSE,0
DLY031,LJ603,JNA,2024-01-18,5,MINIMAL,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-18 08:32:00,2024-01-18 08:35:00,FALSE,0
DLY032,KE246,KAL,2024-01-18,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-18 10:02:00,2024-01-18 10:05:00,FALSE,0
DLY033,OZ908,AAR,2024-01-18,10,MINOR,72,WEIGHT_BALANCE,CLEAR,AIRLINE,LOADMASTER,2024-01-18 11:32:00,2024-01-18 11:40:00,FALSE,300
DLY034,TW804,TWB,2024-01-18,15,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-18 13:02:00,2024-01-18 13:15:00,FALSE,0
DLY035,KE357,KAL,2024-01-18,25,MODERATE,74,AIRCRAFT_CHANGE,CLEAR,AIRLINE,OPS_CENTER,2024-01-18 12:05:00,2024-01-18 12:25:00,FALSE,3000
DLY036,ZE511,ESR,2024-01-18,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-18 14:17:00,2024-01-18 14:20:00,FALSE,0
DLY037,KE468,KAL,2024-01-18,15,MINOR,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-18 09:32:00,2024-01-18 09:45:00,FALSE,0
DLY038,OZ109,AAR,2024-01-18,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-18 16:02:00,2024-01-18 16:05:00,FALSE,0
DLY039,7C516,JJA,2024-01-18,5,MINIMAL,93,SECURITY,CLEAR,SECURITY,SEC_OFFICER,2024-01-18 17:32:00,2024-01-18 17:35:00,FALSE,0
DLY040,KE579,KAL,2024-01-18,15,MINOR,72,WEIGHT_BALANCE,CLEAR,AIRLINE,LOADMASTER,2024-01-18 22:02:00,2024-01-18 22:15:00,FALSE,500
DLY041,LJ704,JNA,2024-01-19,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-19 06:32:00,2024-01-19 06:35:00,FALSE,0
DLY042,OZ210,AAR,2024-01-19,10,MINOR,63,CONNECTING_PAX,CLEAR,AIRPORT,GATE_AGENT,2024-01-19 08:02:00,2024-01-19 08:10:00,FALSE,0
DLY043,TW905,TWB,2024-01-19,10,MINOR,41,FUELING,CLEAR,GROUND_HANDLER,RAMP_AGENT,2024-01-19 09:32:00,2024-01-19 09:40:00,FALSE,300
DLY044,KE680,KAL,2024-01-19,15,MINOR,71,ATC_DELAY,CLEAR,ATC,OPS_CENTER,2024-01-19 11:02:00,2024-01-19 11:15:00,FALSE,1000
DLY045,ZE614,ESR,2024-01-19,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-19 12:32:00,2024-01-19 12:35:00,FALSE,0
DLY046,KE791,KAL,2024-01-19,15,MINOR,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-19 10:32:00,2024-01-19 10:45:00,FALSE,0
DLY047,OZ311,AAR,2024-01-19,5,MINIMAL,11,LATE_PAX,CLEAR,PASSENGER,GATE_AGENT,2024-01-19 14:02:00,2024-01-19 14:05:00,FALSE,0
DLY048,7C619,JJA,2024-01-19,5,MINIMAL,93,SECURITY,CLEAR,SECURITY,SEC_OFFICER,2024-01-19 15:32:00,2024-01-19 15:35:00,FALSE,0
DLY049,LJ805,JNA,2024-01-19,5,MINIMAL,81,LATE_CREW,CLEAR,AIRLINE,OPS_CENTER,2024-01-19 17:02:00,2024-01-19 17:05:00,FALSE,0
DLY050,LJ999,JNA,2024-01-20,45,SIGNIFICANT,77,WEATHER,FOGGY,WEATHER,OPS_CENTER,2024-01-20 10:02:00,,TRUE,5000
DLY051,TW999,TWB,2024-01-20,0,CANCELLED,99,AIRCRAFT_ISSUE,CLEAR,AIRLINE,OPS_CENTER,2024-01-20 14:00:00,,TRUE,25000
