send_id,cmp_id,cust_no,send_time,email_subject,status
ES000047,CMP0002,CUST000050,2023-06-07 19:00:00,[프로모션] 특별 할인 안내 #47,FAILED
ES000048,CMP0017,CUST000126,2023-09-08 09:00:00,[프로모션] 특별 할인 안내 #48,DELIVERED
ES000049,CMP0019,CUST000128,2023-10-15 20:00:00,[프로모션] 특별 할인 안내 #49,DELIVERED
ES000050,CMP0002,CUST000010,2023-08-26 08:00:00,[프로모션] 특별 할인 안내 #50,DELIVERED
ES000051,CMP0002,CUST000104,2023-07-01 11:00:00,[프로모션] 특별 할인 안내 #51,DELIVERED
ES000052,CMP0030,CUST000118,2023-11-21 16:00:00,[프로모션] 특별 할인 안내 #52,DELIVERED
ES000053,CMP0017,CUST000019,2023-06-10 19:00:00,[프로모션] 특별 할인 안내 #53,DELIVERED
ES000054,CMP0002,CUST000121,2023-11-06 08:00:00,[프로모션] 특별 할인 안내 #54,DELIVERED
ES000055,CMP0008,CUST000004,2023-07-15 18:00:00,[프로모션] 특별 할인 안내 #55,DELIVERED
ES000056,CMP0019,CUST000025,2023-09-25 17:00:00,[프로모션] 특별 할인 안내 #56,DELIVERED
ES000057,CMP0007,CUST000028,2023-06-30 15:00:00,[프로모션] 특별 할인 안내 #57,DELIVERED
ES000058,CMP0017,CUST000017,2023-07-22 14:00:00,[프로모션] 특별 할인 안내 #58,DELIVERED
ES000059,CMP0023,CUST000084,2023-07-01 18:00:00,[프로모션] 특별 할인 안내 #59,DELIVERED
ES000060,CMP0008,CUST000083,2023-07-25 20:00:00,[프로모션] 특별 할인 안내 #60,DELIVERED
ES000061,CMP0008,CUST000086,2023-06-17 09:00:00,[프로모션] 특별 할인 안내 #61,DELIVERED
ES000062,CMP0023,CUST000044,2023-11-26 13:00:00,[프로모션] 특별 할인 안내 #62,DELIVERED
ES000063,CMP0029,CUST000063,2023-10-27 08:00:00,[프로모션] 특별 할인 안내 #63,DELIVERED
ES000064,CMP0023,CUST000200,2023-07-11 08:00:00,[프로모션] 특별 할인 안내 #64,DELIVERED
ES000065,CMP0007,CUST000002,2023-06-02 10:00:00,[프로모션] 특별 할인 안내 #65,BOUNCED
ES000066,CMP0019,CUST000107,2023-11-25 20:00:00,[프로모션] 특별 할인 안내 #66,DELIVERED
ES000067,CMP0029,CUST000178,2023-07-03 11:00:00,[프로모션] 특별 할인 안내 #67,DELIVERED
ES000068,CMP0019,CUST000134,2023-09-24 14:00:00,[프로모션] 특별 할인 안내 #68,DELIVERED
ES000069,CMP0008,CUST000157,2023-11-25 08:00:00,[프로모션] 특별 할인 안내 #69,DELIVERED
ES000070,CMP0029,CUST000157,2023-06-23 18:00:00,[프로모션] 특별 할인 안내 #70,DELIVERED
ES000071,CMP0019,CUST000090,2023-09-16 08:00:00,[프로모션] 특별 할인 안내 #71,DELIVERED
ES000072,CMP0017,CUST000031,2023-10-14 09:00:00,[프로모션] 특별 할인 안내 #72,DELIVERED
ES000073,CMP0030,CUST000130,2023-07-27 15:00:00,[프로모션] 특별 할인 안내 #73,DELIVERED
ES000074,CMP0017,CUST000071,2023-06-14 11:00:00,[프로모션] 특별 할인 안내 #74,DELIVERED
ES000075,CMP0008,CUST000176,2023-09-30 15:00:00,[프로모션] 특별 할인 안내 #75,DELIVERED
ES000076,CMP0002,CUST000014,2023-11-13 13:00:00,[프로모션] 특별 할인 안내 #76,DELIVERED
ES000077,CMP0023,CUST000065,2023-08-25 17:00:00,[프로모션] 특별 할인 안내 #77,DELIVERED
ES000078,CMP0029,CUST000012,2023-06-27 19:00:00,[프로모션] 특별 할인 안내 #78,DELIVERED
ES000079,CMP0030,CUST000046,2023-07-11 20:00:00,[프로모션] 특별 할인 안내 #79,DELIVERED
ES000080,CMP0030,CUST000030,2023-06-19 11:00:00,[프로모션] 특별 할인 안내 #80,DELIVERED
ES000081,CMP0022,CUST000108,2023-07-21 19:00:00,[프로모션] 특별 할인 안내 #81,DELIVERED
ES000082,CMP0022,CUST000059,2023-06-29 13:00:00,[프로모션] 특별 할인 안내 #82,DELIVERED
ES000083,CMP0017,CUST000189,2023-09-14 11:00:00,[프로모션] 특별 할인 안내 #83,DELIVERED
ES000084,CMP0017,CUST000019,2023-09-29 17:00:00,[프로모션] 특별 할인 안내 #84,DELIVERED
ES000085,CMP0023,CUST000038,2023-07-26 17:00:00,[프로모션] 특별 할인 안내 #85,DELIVERED
ES000086,CMP0023,CUST000096,2023-07-05 15:00:00,[프로모션] 특별 할인 안내 #86,DELIVERED
ES000087,CMP0022,CUST000070,2023-07-22 13:00:00,[프로모션] 특별 할인 안내 #87,DELIVERED
ES000088,CMP0002,CUST000072,2023-07-05 09:00:00,[프로모션] 특별 할인 안내 #88,DELIVERED
ES000089,CMP0029,CUST000108,2023-07-14 20:00:00,[프로모션] 특별 할인 안내 #89,DELIVERED
ES000090,CMP0019,CUST000155,2023-07-11 20:00:00,[프로모션] 특별 할인 안내 #90,DELIVERED
ES000091,CMP0008,CUST000148,2023-10-20 11:00:00,[프로모션] 특별 할인 안내 #91,DELIVERED
ES000092,CMP0030,CUST000126,2023-07-26 17:00:00,[프로모션] 특별 할인 안내 #92,DELIVERED
ES000093,CMP0029,CUST000072,2023-06-04 19:00:00,[프로모션] 특별 할인 안내 #93,DELIVERED
ES000094,CMP0017,CUST000064,2023-08-23 14:00:00,[프로모션] 특별 할인 안내 #94,DELIVERED
ES000095,CMP0008,CUST000147,2023-06-02 14:00:00,[프로모션] 특별 할인 안내 #95,FAILED
ES000096,CMP0002,CUST000121,2023-10-08 08:00:00,[프로모션] 특별 할인 안내 #96,DELIVERED
ES000097,CMP0023,CUST000123,2023-11-26 09:00:00,[프로모션] 특별 할인 안내 #97,DELIVERED
ES000098,CMP0017,CUST000022,2023-10-21 20:00:00,[프로모션] 특별 할인 안내 #98,DELIVERED
ES000099,CMP0023,CUST000056,2023-07-04 13:00:00,[프로모션] 특별 할인 안내 #99,DELIVERED
ES000100,CMP0007,CUST000005,2023-10-01 18:00:00,[프로모션] 특별 할인 안내 #100,DELIVERED
ES000101,CMP0029,CUST000147,2023-10-28 08:00:00,[프로모션] 특별 할인 안내 #101,FAILED
ES000102,CMP0029,CUST000198,2023-07-06 19:00:00,[프로모션] 특별 할인 안내 #102,DELIVERED
ES000103,CMP0022,CUST000161,2023-09-27 19:00:00,[프로모션] 특별 할인 안내 #103,DELIVERED
ES000104,CMP0007,CUST000099,2023-11-24 13:00:00,[프로모션] 특별 할인 안내 #104,DELIVERED
ES000105,CMP0019,CUST000110,2023-08-09 19:00:00,[프로모션] 특별 할인 안내 #105,BOUNCED
ES000106,CMP0030,CUST000148,2023-07-24 20:00:00,[프로모션] 특별 할인 안내 #106,DELIVERED
ES000107,CMP0022,CUST000189,2023-06-15 16:00:00,[프로모션] 특별 할인 안내 #107,BOUNCED
ES000108,CMP0022,CUST000014,2023-06-29 14:00:00,[프로모션] 특별 할인 안내 #108,DELIVERED
ES000109,CMP0002,CUST000094,2023-09-02 10:00:00,[프로모션] 특별 할인 안내 #109,DELIVERED
ES000110,CMP0007,CUST000144,2023-07-23 10:00:00,[프로모션] 특별 할인 안내 #110,FAILED
ES000111,CMP0017,CUST000139,2023-06-30 18:00:00,[프로모션] 특별 할인 안내 #111,DELIVERED
ES000112,CMP0017,CUST000193,2023-07-28 13:00:00,[프로모션] 특별 할인 안내 #112,DELIVERED
ES000113,CMP0019,CUST000129,2023-11-22 14:00:00,[프로모션] 특별 할인 안내 #113,DELIVERED
ES000114,CMP0007,CUST000096,2023-08-28 15:00:00,[프로모션] 특별 할인 안내 #114,DELIVERED
ES000115,CMP0030,CUST000032,2023-09-29 19:00:00,[프로모션] 특별 할인 안내 #115,DELIVERED
ES000116,CMP0030,CUST000075,2023-09-24 17:00:00,[프로모션] 특별 할인 안내 #116,DELIVERED
ES000117,CMP0007,CUST000049,2023-09-26 09:00:00,[프로모션] 특별 할인 안내 #117,DELIVERED
ES000118,CMP0008,CUST000074,2023-06-20 09:00:00,[프로모션] 특별 할인 안내 #118,DELIVERED
ES000119,CMP0007,CUST000179,2023-07-08 15:00:00,[프로모션] 특별 할인 안내 #119,DELIVERED
ES000120,CMP0017,CUST000134,2023-11-08 08:00:00,[프로모션] 특별 할인 안내 #120,DELIVERED
ES000121,CMP0030,CUST000034,2023-09-30 13:00:00,[프로모션] 특별 할인 안내 #121,DELIVERED
ES000122,CMP0002,CUST000075,2023-07-19 09:00:00,[프로모션] 특별 할인 안내 #122,DELIVERED
ES000123,CMP0017,CUST000134,2023-11-13 13:00:00,[프로모션] 특별 할인 안내 #123,DELIVERED
ES000124,CMP0022,CUST000168,2023-11-13 20:00:00,[프로모션] 특별 할인 안내 #124,DELIVERED
ES000125,CMP0030,CUST000141,2023-09-22 15:00:00,[프로모션] 특별 할인 안내 #125,DELIVERED
ES000126,CMP0008,CUST000079,2023-07-14 20:00:00,[프로모션] 특별 할인 안내 #126,DELIVERED
ES000127,CMP0029,CUST000096,2023-08-13 20:00:00,[프로모션] 특별 할인 안내 #127,DELIVERED
ES000128,CMP0008,CUST000091,2023-08-12 15:00:00,[프로모션] 특별 할인 안내 #128,BOUNCED
ES000129,CMP0008,CUST000183,2023-10-16 12:00:00,[프로모션] 특별 할인 안내 #129,DELIVERED
ES000130,CMP0008,CUST000182,2023-11-25 18:00:00,[프로모션] 특별 할인 안내 #130,DELIVERED
ES000131,CMP0008,CUST000061,2023-06-30 08:00:00,[프로모션] 특별 할인 안내 #131,FAILED
ES000132,CMP0008,CUST000113,2023-08-06 13:00:00,[프로모션] 특별 할인 안내 #132,DELIVERED
ES000133,CMP0030,CUST000182,2023-06-09 18:00:00,[프로모션] 특별 할인 안내 #133,DELIVERED
ES000134,CMP0022,CUST000038,2023-09-04 15:00:00,[프로모션] 특별 할인 안내 #134,DELIVERED
ES000135,CMP0008,CUST000137,2023-08-17 09:00:00,[프로모션] 특별 할인 안내 #135,BOUNCED
ES000136,CMP0023,CUST000128,2023-07-08 15:00:00,[프로모션] 특별 할인 안내 #136,BOUNCED
ES000137,CMP0008,CUST000002,2023-10-18 16:00:00,[프로모션] 특별 할인 안내 #137,DELIVERED
ES000138,CMP0019,CUST000122,2023-08-14 20:00:00,[프로모션] 특별 할인 안내 #138,FAILED
ES000139,CMP0008,CUST000145,2023-09-22 13:00:00,[프로모션] 특별 할인 안내 #139,DELIVERED
ES000140,CMP0029,CUST000011,2023-07-06 18:00:00,[프로모션] 특별 할인 안내 #140,DELIVERED
ES000141,CMP0019,CUST000007,2023-09-11 17:00:00,[프로모션] 특별 할인 안내 #141,DELIVERED
ES000142,CMP0029,CUST000092,2023-06-24 13:00:00,[프로모션] 특별 할인 안내 #142,DELIVERED
ES000143,CMP0017,CUST000150,2023-10-13 11:00:00,[프로모션] 특별 할인 안내 #143,DELIVERED
ES000144,CMP0019,CUST000051,2023-06-06 09:00:00,[프로모션] 특별 할인 안내 #144,DELIVERED
ES000145,CMP0029,CUST000174,2023-11-19 09:00:00,[프로모션] 특별 할인 안내 #145,FAILED
ES000146,CMP0023,CUST000050,2023-10-04 13:00:00,[프로모션] 특별 할인 안내 #146,DELIVERED
ES000147,CMP0030,CUST000015,2023-11-18 13:00:00,[프로모션] 특별 할인 안내 #147,DELIVERED
ES000148,CMP0023,CUST000095,2023-09-07 13:00:00,[프로모션] 특별 할인 안내 #148,DELIVERED
ES000149,CMP0022,CUST000090,2023-08-18 15:00:00,[프로모션] 특별 할인 안내 #149,DELIVERED
ES000150,CMP0007,CUST000056,2023-09-22 19:00:00,[프로모션] 특별 할인 안내 #150,FAILED
ES000151,CMP0029,CUST000074,2023-07-12 20:00:00,[프로모션] 특별 할인 안내 #151,DELIVERED
ES000152,CMP0023,CUST000187,2023-09-15 10:00:00,[프로모션] 특별 할인 안내 #152,DELIVERED
ES000153,CMP0007,CUST000037,2023-07-24 12:00:00,[프로모션] 특별 할인 안내 #153,DELIVERED
ES000154,CMP0030,CUST000086,2023-06-17 17:00:00,[프로모션] 특별 할인 안내 #154,DELIVERED
ES000155,CMP0007,CUST000002,2023-09-13 18:00:00,[프로모션] 특별 할인 안내 #155,DELIVERED
ES000156,CMP0023,CUST000045,2023-10-21 15:00:00,[프로모션] 특별 할인 안내 #156,DELIVERED
ES000157,CMP0008,CUST000052,2023-07-18 14:00:00,[프로모션] 특별 할인 안내 #157,DELIVERED
ES000158,CMP0029,CUST000011,2023-08-17 17:00:00,[프로모션] 특별 할인 안내 #158,DELIVERED
ES000159,CMP0030,CUST000190,2023-09-27 11:00:00,[프로모션] 특별 할인 안내 #159,DELIVERED
ES000160,CMP0002,CUST000040,2023-08-07 12:00:00,[프로모션] 특별 할인 안내 #160,BOUNCED
ES000161,CMP0029,CUST000032,2023-11-15 18:00:00,[프로모션] 특별 할인 안내 #161,DELIVERED
ES000162,CMP0023,CUST000046,2023-10-04 19:00:00,[프로모션] 특별 할인 안내 #162,DELIVERED
ES000163,CMP0002,CUST000031,2023-08-10 15:00:00,[프로모션] 특별 할인 안내 #163,FAILED
ES000164,CMP0007,CUST000154,2023-09-01 17:00:00,[프로모션] 특별 할인 안내 #164,DELIVERED
ES000165,CMP0023,CUST000067,2023-11-08 18:00:00,[프로모션] 특별 할인 안내 #165,DELIVERED
ES000166,CMP0007,CUST000096,2023-10-10 19:00:00,[프로모션] 특별 할인 안내 #166,DELIVERED
ES000167,CMP0019,CUST000042,2023-10-27 08:00:00,[프로모션] 특별 할인 안내 #167,DELIVERED
ES000168,CMP0029,CUST000178,2023-07-05 13:00:00,[프로모션] 특별 할인 안내 #168,DELIVERED
ES000169,CMP0019,CUST000093,2023-09-16 18:00:00,[프로모션] 특별 할인 안내 #169,DELIVERED
ES000170,CMP0022,CUST000013,2023-08-14 12:00:00,[프로모션] 특별 할인 안내 #170,DELIVERED
ES000171,CMP0007,CUST000132,2023-07-20 20:00:00,[프로모션] 특별 할인 안내 #171,DELIVERED
ES000172,CMP0007,CUST000154,2023-07-13 16:00:00,[프로모션] 특별 할인 안내 #172,DELIVERED
ES000173,CMP0022,CUST000176,2023-08-17 12:00:00,[프로모션] 특별 할인 안내 #173,DELIVERED
ES000174,CMP0022,CUST000025,2023-10-15 17:00:00,[프로모션] 특별 할인 안내 #174,DELIVERED
ES000175,CMP0008,CUST000004,2023-07-06 16:00:00,[프로모션] 특별 할인 안내 #175,DELIVERED
ES000176,CMP0029,CUST000106,2023-08-27 10:00:00,[프로모션] 특별 할인 안내 #176,DELIVERED
ES000177,CMP0008,CUST000129,2023-07-27 11:00:00,[프로모션] 특별 할인 안내 #177,DELIVERED
ES000178,CMP0030,CUST000158,2023-11-24 16:00:00,[프로모션] 특별 할인 안내 #178,DELIVERED
ES000179,CMP0030,CUST000180,2023-06-30 14:00:00,[프로모션] 특별 할인 안내 #179,DELIVERED
ES000180,CMP0007,CUST000030,2023-07-04 08:00:00,[프로모션] 특별 할인 안내 #180,DELIVERED
ES000181,CMP0019,CUST000177,2023-09-01 10:00:00,[프로모션] 특별 할인 안내 #181,DELIVERED
ES000182,CMP0030,CUST000196,2023-08-27 10:00:00,[프로모션] 특별 할인 안내 #182,DELIVERED
ES000183,CMP0002,CUST000191,2023-07-01 11:00:00,[프로모션] 특별 할인 안내 #183,DELIVERED
ES000184,CMP0008,CUST000177,2023-07-29 12:00:00,[프로모션] 특별 할인 안내 #184,DELIVERED
ES000185,CMP0008,CUST000021,2023-09-17 19:00:00,[프로모션] 특별 할인 안내 #185,DELIVERED
ES000186,CMP0007,CUST000020,2023-06-05 20:00:00,[프로모션] 특별 할인 안내 #186,DELIVERED
ES000187,CMP0023,CUST000011,2023-07-21 09:00:00,[프로모션] 특별 할인 안내 #187,DELIVERED
ES000188,CMP0030,CUST000152,2023-06-16 15:00:00,[프로모션] 특별 할인 안내 #188,DELIVERED
ES000189,CMP0019,CUST000012,2023-06-17 12:00:00,[프로모션] 특별 할인 안내 #189,DELIVERED
ES000190,CMP0007,CUST000032,2023-11-02 11:00:00,[프로모션] 특별 할인 안내 #190,DELIVERED
ES000191,CMP0017,CUST000048,2023-11-19 13:00:00,[프로모션] 특별 할인 안내 #191,DELIVERED
ES000192,CMP0008,CUST000192,2023-08-11 17:00:00,[프로모션] 특별 할인 안내 #192,DELIVERED
ES000193,CMP0008,CUST000129,2023-11-04 11:00:00,[프로모션] 특별 할인 안내 #193,DELIVERED
ES000194,CMP0007,CUST000026,2023-10-27 20:00:00,[프로모션] 특별 할인 안내 #194,DELIVERED
ES000195,CMP0017,CUST000184,2023-07-20 12:00:00,[프로모션] 특별 할인 안내 #195,DELIVERED
ES000196,CMP0030,CUST000002,2023-06-26 11:00:00,[프로모션] 특별 할인 안내 #196,BOUNCED
ES000197,CMP0029,CUST000094,2023-11-26 17:00:00,[프로모션] 특별 할인 안내 #197,DELIVERED
ES000198,CMP0007,CUST000047,2023-08-30 14:00:00,[프로모션] 특별 할인 안내 #198,DELIVERED
ES000199,CMP0030,CUST000059,2023-09-13 09:00:00,[프로모션] 특별 할인 안내 #199,DELIVERED
ES000200,CMP0022,CUST000032,2023-09-28 09:00:00,[프로모션] 특별 할인 안내 #200,DELIVERED
ES000201,CMP0029,CUST000196,2023-09-01 19:00:00,[프로모션] 특별 할인 안내 #201,DELIVERED
ES000202,CMP0002,CUST000022,2023-08-23 15:00:00,[프로모션] 특별 할인 안내 #202,DELIVERED
ES000203,CMP0019,CUST000117,2023-11-01 19:00:00,[프로모션] 특별 할인 안내 #203,DELIVERED
ES000204,CMP0029,CUST000058,2023-10-20 14:00:00,[프로모션] 특별 할인 안내 #204,DELIVERED
ES000205,CMP0023,CUST000049,2023-06-18 20:00:00,[프로모션] 특별 할인 안내 #205,DELIVERED
ES000206,CMP0022,CUST000046,2023-06-04 18:00:00,[프로모션] 특별 할인 안내 #206,DELIVERED
ES000207,CMP0007,CUST000102,2023-09-21 16:00:00,[프로모션] 특별 할인 안내 #207,DELIVERED
ES000208,CMP0007,CUST000031,2023-07-07 14:00:00,[프로모션] 특별 할인 안내 #208,DELIVERED
ES000209,CMP0007,CUST000190,2023-07-14 09:00:00,[프로모션] 특별 할인 안내 #209,DELIVERED
ES000210,CMP0017,CUST000087,2023-07-22 17:00:00,[프로모션] 특별 할인 안내 #210,DELIVERED
ES000211,CMP0023,CUST000032,2023-07-30 14:00:00,[프로모션] 특별 할인 안내 #211,DELIVERED
ES000212,CMP0019,CUST000196,2023-10-27 17:00:00,[프로모션] 특별 할인 안내 #212,DELIVERED
ES000213,CMP0023,CUST000092,2023-09-30 18:00:00,[프로모션] 특별 할인 안내 #213,DELIVERED
ES000214,CMP0023,CUST000125,2023-10-09 12:00:00,[프로모션] 특별 할인 안내 #214,DELIVERED
ES000215,CMP0029,CUST000028,2023-07-02 12:00:00,[프로모션] 특별 할인 안내 #215,DELIVERED
ES000216,CMP0017,CUST000161,2023-07-05 08:00:00,[프로모션] 특별 할인 안내 #216,DELIVERED
ES000217,CMP0002,CUST000018,2023-10-06 18:00:00,[프로모션] 특별 할인 안내 #217,DELIVERED
ES000218,CMP0008,CUST000098,2023-11-02 18:00:00,[프로모션] 특별 할인 안내 #218,DELIVERED
ES000219,CMP0019,CUST000160,2023-11-07 09:00:00,[프로모션] 특별 할인 안내 #219,DELIVERED
ES000220,CMP0030,CUST000197,2023-10-05 20:00:00,[프로모션] 특별 할인 안내 #220,DELIVERED
ES000221,CMP0019,CUST000170,2023-10-06 15:00:00,[프로모션] 특별 할인 안내 #221,DELIVERED
ES000222,CMP0030,CUST000088,2023-10-17 16:00:00,[프로모션] 특별 할인 안내 #222,DELIVERED
ES000223,CMP0002,CUST000111,2023-07-01 14:00:00,[프로모션] 특별 할인 안내 #223,DELIVERED
ES000224,CMP0023,CUST000114,2023-09-26 08:00:00,[프로모션] 특별 할인 안내 #224,DELIVERED
ES000225,CMP0030,CUST000169,2023-08-17 19:00:00,[프로모션] 특별 할인 안내 #225,DELIVERED
ES000226,CMP0023,CUST000035,2023-08-19 19:00:00,[프로모션] 특별 할인 안내 #226,DELIVERED
ES000227,CMP0007,CUST000146,2023-11-20 15:00:00,[프로모션] 특별 할인 안내 #227,DELIVERED
ES000228,CMP0030,CUST000147,2023-09-29 15:00:00,[프로모션] 특별 할인 안내 #228,DELIVERED
ES000229,CMP0008,CUST000130,2023-06-15 14:00:00,[프로모션] 특별 할인 안내 #229,DELIVERED
ES000230,CMP0023,CUST000158,2023-11-21 13:00:00,[프로모션] 특별 할인 안내 #230,DELIVERED
ES000231,CMP0019,CUST000083,2023-06-16 08:00:00,[프로모션] 특별 할인 안내 #231,DELIVERED
ES000232,CMP0008,CUST000094,2023-08-29 20:00:00,[프로모션] 특별 할인 안내 #232,DELIVERED
ES000233,CMP0002,CUST000196,2023-11-08 13:00:00,[프로모션] 특별 할인 안내 #233,DELIVERED
ES000234,CMP0023,CUST000089,2023-08-31 14:00:00,[프로모션] 특별 할인 안내 #234,DELIVERED
ES000235,CMP0017,CUST000064,2023-07-31 18:00:00,[프로모션] 특별 할인 안내 #235,DELIVERED
ES000236,CMP0007,CUST000177,2023-06-17 12:00:00,[프로모션] 특별 할인 안내 #236,DELIVERED
ES000237,CMP0008,CUST000006,2023-10-16 13:00:00,[프로모션] 특별 할인 안내 #237,DELIVERED
ES000238,CMP0023,CUST000146,2023-10-10 14:00:00,[프로모션] 특별 할인 안내 #238,DELIVERED
ES000239,CMP0029,CUST000151,2023-06-06 13:00:00,[프로모션] 특별 할인 안내 #239,DELIVERED
ES000240,CMP0023,CUST000083,2023-10-25 09:00:00,[프로모션] 특별 할인 안내 #240,DELIVERED
ES000241,CMP0007,CUST000177,2023-11-20 11:00:00,[프로모션] 특별 할인 안내 #241,DELIVERED
ES000242,CMP0030,CUST000196,2023-11-18 13:00:00,[프로모션] 특별 할인 안내 #242,DELIVERED
ES000243,CMP0019,CUST000094,2023-09-20 11:00:00,[프로모션] 특별 할인 안내 #243,DELIVERED
ES000244,CMP0007,CUST000138,2023-07-25 12:00:00,[프로모션] 특별 할인 안내 #244,DELIVERED
ES000245,CMP0019,CUST000147,2023-09-11 20:00:00,[프로모션] 특별 할인 안내 #245,DELIVERED
ES000246,CMP0007,CUST000184,2023-10-27 09:00:00,[프로모션] 특별 할인 안내 #246,DELIVERED
ES000247,CMP0019,CUST000018,2023-10-24 20:00:00,[프로모션] 특별 할인 안내 #247,DELIVERED
ES000248,CMP0023,CUST000054,2023-08-28 20:00:00,[프로모션] 특별 할인 안내 #248,DELIVERED
ES000249,CMP0019,CUST000130,2023-08-16 14:00:00,[프로모션] 특별 할인 안내 #249,DELIVERED
