session_id,user_id,start_time,duration_sec,page_views,utm_source,utm_medium,utm_campaign,device,converted
SESS00000073,,2023-09-13 09:37:00,160,5,naver,referral,cmp_27,desktop,0
SESS00000074,,2023-11-18 05:08:00,1542,2,naver,organic,,desktop,0
SESS00000075,,2023-10-23 19:08:00,32,13,direct,email,cmp_15,tablet,0
SESS00000076,CUST000089,2023-09-05 19:37:00,1240,5,email,(none),,tablet,0
SESS00000077,CUST000193,2023-10-20 23:30:00,1781,13,email,referral,,desktop,0
SESS00000078,CUST000200,2023-09-20 00:19:00,258,8,naver,referral,cmp_17,desktop,0
SESS00000079,,2023-06-25 10:12:00,1245,17,referral,organic,,tablet,0
SESS00000080,,2023-09-12 00:01:00,19,3,naver,social,cmp_22,tablet,0
SESS00000081,CUST000158,2023-06-18 09:47:00,1345,8,google,social,,tablet,0
SESS00000082,CUST000005,2023-07-23 16:51:00,1187,16,naver,organic,,tablet,0
SESS00000083,CUST000157,2023-10-17 13:41:00,680,13,naver,organic,,tablet,0
SESS00000084,CUST000003,2023-08-24 19:45:00,1339,5,google,referral,cmp_11,mobile,1
SESS00000085,,2023-09-18 13:38:00,1649,4,email,social,,tablet,0
SESS00000086,,2023-10-24 17:58:00,1682,2,referral,social,,mobile,0
SESS00000087,CUST000169,2023-09-02 07:40:00,15,15,email,email,,tablet,0
SESS00000088,CUST000123,2023-07-10 20:58:00,1510,10,google,social,cmp_10,desktop,0
SESS00000089,,2023-08-21 07:04:00,1354,7,direct,(none),,desktop,0
SESS00000090,CUST000126,2023-10-05 06:41:00,357,3,direct,social,cmp_14,mobile,0
SESS00000091,,2023-07-16 01:09:00,1433,11,email,(none),,tablet,0
SESS00000092,CUST000133,2023-10-02 06:13:00,951,2,facebook,social,,desktop,0
SESS00000093,CUST000115,2023-08-13 17:38:00,10,9,direct,email,cmp_24,tablet,0
SESS00000094,CUST000058,2023-08-20 02:59:00,20,16,direct,social,cmp_25,tablet,0
SESS00000095,CUST000009,2023-11-24 17:54:00,1609,12,google,email,,tablet,0
SESS00000096,CUST000089,2023-06-21 08:22:00,795,7,naver,cpc,,mobile,0
SESS00000097,CUST000001,2023-08-28 11:34:00,1529,3,referral,(none),,desktop,0
SESS00000098,CUST000070,2023-11-06 12:42:00,759,8,email,(none),cmp_13,mobile,0
SESS00000099,,2023-06-01 01:18:00,33,19,facebook,cpc,,desktop,0
SESS00000100,CUST000071,2023-06-05 07:38:00,1624,18,facebook,organic,cmp_18,mobile,0
SESS00000101,CUST000101,2023-07-12 23:46:00,91,8,email,social,,tablet,0
SESS00000102,CUST000072,2023-11-08 22:47:00,53,15,email,referral,cmp_13,desktop,0
SESS00000103,CUST000024,2023-09-06 09:44:00,905,20,facebook,organic,,desktop,0
SESS00000104,CUST000015,2023-07-19 19:29:00,624,9,google,referral,,mobile,0
SESS00000105,,2023-10-03 01:32:00,1484,20,email,email,,mobile,0
SESS00000106,CUST000174,2023-07-01 19:44:00,1269,3,email,(none),,tablet,0
SESS00000107,CUST000057,2023-06-21 02:12:00,1404,5,direct,email,cmp_11,tablet,0
SESS00000108,CUST000013,2023-08-27 05:51:00,827,8,facebook,(none),cmp_20,tablet,0
SESS00000109,CUST000117,2023-11-23 21:10:00,310,1,naver,organic,,desktop,0
SESS00000110,CUST000070,2023-09-02 22:17:00,616,16,referral,(none),,mobile,0
SESS00000111,CUST000174,2023-07-06 20:57:00,412,3,direct,cpc,cmp_24,mobile,0
SESS00000112,CUST000187,2023-08-02 18:17:00,872,16,direct,email,cmp_14,mobile,0
SESS00000113,,2023-10-26 12:59:00,15,12,facebook,cpc,cmp_13,mobile,0
SESS00000114,CUST000034,2023-09-04 15:52:00,1147,15,google,organic,,tablet,0
SESS00000115,CUST000014,2023-09-09 07:02:00,821,13,facebook,email,,desktop,1
SESS00000116,,2023-11-12 02:41:00,1306,14,naver,cpc,,tablet,0
SESS00000117,,2023-10-29 01:37:00,252,6,google,(none),cmp_1,mobile,0
SESS00000118,CUST000068,2023-08-26 05:44:00,419,15,naver,referral,,tablet,0
SESS00000119,,2023-10-26 20:52:00,392,13,google,cpc,,tablet,0
SESS00000120,CUST000119,2023-08-29 15:59:00,614,11,naver,social,,tablet,0
SESS00000121,CUST000074,2023-10-21 19:18:00,1430,10,naver,organic,,mobile,0
SESS00000122,CUST000031,2023-10-19 19:24:00,722,12,email,organic,cmp_27,desktop,0
SESS00000123,CUST000104,2023-07-11 05:38:00,1636,12,facebook,cpc,,desktop,0
SESS00000124,CUST000098,2023-06-04 07:51:00,846,4,direct,organic,cmp_14,mobile,0
SESS00000125,CUST000164,2023-07-10 13:57:00,841,1,facebook,organic,cmp_3,desktop,0
SESS00000126,CUST000096,2023-07-21 21:00:00,148,15,facebook,(none),,mobile,0
SESS00000127,,2023-08-20 13:03:00,720,17,direct,referral,cmp_5,mobile,0
SESS00000128,CUST000063,2023-10-30 10:19:00,915,19,naver,cpc,,desktop,0
SESS00000129,CUST000025,2023-11-22 10:44:00,967,19,google,social,,mobile,0
SESS00000130,,2023-11-12 16:40:00,1188,18,direct,email,,desktop,0
SESS00000131,CUST000055,2023-09-18 10:24:00,262,18,facebook,organic,,tablet,0
SESS00000132,CUST000172,2023-10-22 14:25:00,1130,1,naver,(none),,mobile,0
SESS00000133,,2023-11-25 15:54:00,980,3,email,social,cmp_1,tablet,0
SESS00000134,CUST000007,2023-11-02 11:27:00,1011,8,facebook,organic,,mobile,0
SESS00000135,CUST000123,2023-07-25 21:08:00,440,19,direct,social,cmp_6,tablet,0
SESS00000136,CUST000196,2023-07-12 12:59:00,1656,15,direct,referral,,tablet,0
SESS00000137,CUST000122,2023-07-31 19:59:00,1462,6,facebook,(none),,desktop,0
SESS00000138,CUST000062,2023-11-23 05:01:00,1188,4,naver,(none),,mobile,0
SESS00000139,CUST000195,2023-07-15 16:17:00,610,5,facebook,social,,mobile,0
SESS00000140,CUST000156,2023-06-03 21:30:00,688,11,google,social,,tablet,0
SESS00000141,,2023-06-15 14:20:00,903,19,referral,referral,,mobile,0
SESS00000142,CUST000008,2023-06-01 22:53:00,815,10,facebook,organic,,mobile,0
SESS00000143,CUST000161,2023-07-09 04:31:00,930,15,direct,organic,cmp_3,desktop,0
SESS00000144,CUST000009,2023-09-10 12:59:00,621,16,google,email,cmp_18,desktop,0
SESS00000145,CUST000009,2023-08-25 19:20:00,357,20,email,social,cmp_10,mobile,0
SESS00000146,CUST000122,2023-08-16 23:03:00,280,16,naver,cpc,,desktop,0
SESS00000147,,2023-10-08 05:27:00,938,14,facebook,social,,mobile,0
SESS00000148,CUST000041,2023-06-04 01:15:00,1457,13,facebook,referral,,desktop,0
SESS00000149,,2023-09-12 08:26:00,1502,3,naver,referral,,desktop,0
SESS00000150,CUST000054,2023-06-27 16:59:00,455,19,referral,referral,,tablet,0
SESS00000151,CUST000072,2023-11-01 02:16:00,1236,17,direct,cpc,,tablet,0
SESS00000152,,2023-06-04 09:38:00,1448,7,facebook,email,,desktop,0
SESS00000153,CUST000191,2023-07-27 18:16:00,790,4,facebook,cpc,cmp_18,tablet,0
SESS00000154,,2023-11-14 02:42:00,1785,4,naver,referral,cmp_30,desktop,0
SESS00000155,CUST000180,2023-06-19 05:43:00,932,14,referral,(none),,mobile,0
SESS00000156,CUST000152,2023-10-14 22:58:00,632,16,naver,organic,,tablet,0
SESS00000157,CUST000119,2023-10-08 22:31:00,141,17,email,referral,cmp_5,mobile,0
SESS00000158,CUST000167,2023-10-02 01:21:00,1356,18,naver,cpc,cmp_2,desktop,0
SESS00000159,,2023-07-22 22:46:00,533,19,referral,social,,desktop,0
SESS00000160,CUST000138,2023-08-09 12:01:00,1552,11,email,email,,tablet,0
SESS00000161,,2023-09-08 06:56:00,1399,18,facebook,cpc,,desktop,0
SESS00000162,CUST000031,2023-06-13 17:03:00,1185,5,direct,cpc,cmp_5,mobile,0
SESS00000163,CUST000082,2023-09-24 21:32:00,842,9,naver,email,,tablet,0
SESS00000164,CUST000193,2023-08-31 15:22:00,214,6,naver,email,,mobile,1
SESS00000165,CUST000115,2023-08-26 16:50:00,1667,14,email,organic,cmp_2,desktop,0
SESS00000166,CUST000066,2023-08-23 03:09:00,368,9,naver,social,cmp_17,tablet,0
SESS00000167,,2023-06-02 04:51:00,1746,7,facebook,referral,,tablet,0
SESS00000168,CUST000199,2023-07-30 10:52:00,972,2,referral,cpc,,mobile,0
SESS00000169,CUST000160,2023-08-16 08:09:00,444,17,referral,email,cmp_2,tablet,0
SESS00000170,CUST000157,2023-10-15 07:01:00,1256,9,referral,cpc,cmp_22,tablet,1
SESS00000171,,2023-11-11 02:52:00,1253,16,email,email,,tablet,0
SESS00000172,CUST000070,2023-08-26 04:35:00,560,4,facebook,social,cmp_9,tablet,1
SESS00000173,CUST000011,2023-09-27 06:22:00,1553,13,referral,email,cmp_17,mobile,0
SESS00000174,CUST000164,2023-07-28 18:16:00,1396,1,naver,referral,,tablet,1
SESS00000175,CUST000111,2023-06-01 05:45:00,1273,9,naver,organic,,mobile,0
SESS00000176,,2023-08-30 16:38:00,1572,5,naver,referral,cmp_27,mobile,0
SESS00000177,,2023-07-10 01:14:00,207,19,referral,email,,desktop,0
SESS00000178,CUST000093,2023-11-04 11:07:00,1354,10,google,referral,,tablet,0
SESS00000179,,2023-10-12 23:10:00,422,1,email,referral,,mobile,0
SESS00000180,CUST000165,2023-10-12 12:44:00,1063,9,google,referral,,mobile,0
SESS00000181,CUST000110,2023-06-08 23:41:00,748,18,direct,(none),,desktop,0
SESS00000182,CUST000124,2023-08-14 16:13:00,212,15,facebook,(none),cmp_13,mobile,0
SESS00000183,CUST000165,2023-11-22 02:23:00,198,17,google,email,,mobile,0
SESS00000184,CUST000098,2023-09-01 10:36:00,649,14,email,referral,,mobile,0
SESS00000185,,2023-07-31 04:29:00,1494,5,facebook,(none),,desktop,0
SESS00000186,,2023-06-07 04:56:00,360,8,direct,(none),,mobile,1
SESS00000187,,2023-09-18 10:52:00,568,18,referral,(none),,tablet,0
SESS00000188,CUST000120,2023-09-23 18:20:00,1450,9,google,(none),,desktop,0
SESS00000189,CUST000152,2023-10-13 02:52:00,1781,18,email,referral,,desktop,0
SESS00000190,CUST000017,2023-08-30 18:04:00,666,16,email,cpc,,desktop,0
SESS00000191,,2023-11-08 12:10:00,839,18,facebook,referral,cmp_17,desktop,0
SESS00000192,CUST000040,2023-06-05 21:30:00,826,3,facebook,organic,,tablet,0
SESS00000193,CUST000162,2023-11-18 19:01:00,1304,11,referral,cpc,,tablet,0
SESS00000194,,2023-11-13 17:33:00,1328,13,referral,cpc,,mobile,0
SESS00000195,CUST000126,2023-06-02 12:24:00,1474,20,google,cpc,cmp_19,mobile,0
SESS00000196,,2023-10-29 17:09:00,803,18,email,organic,cmp_29,tablet,0
SESS00000197,,2023-09-20 21:19:00,1254,15,google,organic,,mobile,0
SESS00000198,CUST000131,2023-11-05 13:55:00,1072,8,facebook,social,cmp_15,mobile,0
SESS00000199,CUST000190,2023-06-26 05:53:00,1659,7,google,social,cmp_21,mobile,0
SESS00000200,,2023-09-21 21:57:00,77,12,facebook,(none),cmp_16,tablet,0
SESS00000201,,2023-07-27 16:17:00,1465,9,naver,cpc,cmp_17,tablet,0
SESS00000202,,2023-08-19 02:19:00,999,2,referral,(none),cmp_5,mobile,0
SESS00000203,,2023-06-13 06:25:00,1107,15,google,social,,desktop,0
SESS00000204,,2023-11-02 02:47:00,86,19,referral,email,,desktop,0
SESS00000205,CUST000037,2023-07-30 20:19:00,1657,9,naver,email,,desktop,0
SESS00000206,CUST000076,2023-06-07 07:52:00,1591,14,referral,email,,mobile,0
SESS00000207,CUST000035,2023-11-04 10:30:00,457,16,email,(none),cmp_4,desktop,0
SESS00000208,CUST000116,2023-11-28 05:38:00,1450,5,referral,email,cmp_17,desktop,0
SESS00000209,,2023-07-24 22:02:00,289,19,google,social,,tablet,0
SESS00000210,CUST000059,2023-07-29 05:19:00,195,13,referral,social,cmp_12,tablet,0
SESS00000211,CUST000150,2023-09-19 12:01:00,965,7,naver,social,,desktop,0
SESS00000212,CUST000187,2023-07-02 11:47:00,1304,19,naver,referral,cmp_3,tablet,0
SESS00000213,,2023-11-04 03:27:00,140,15,google,social,cmp_6,mobile,0
SESS00000214,CUST000104,2023-10-23 17:04:00,1332,10,google,organic,,desktop,0
SESS00000215,CUST000099,2023-11-26 01:45:00,1219,9,email,organic,,desktop,0
SESS00000216,,2023-07-03 18:51:00,1482,5,email,email,cmp_21,mobile,0
SESS00000217,,2023-06-08 04:27:00,1756,12,referral,cpc,,tablet,0
SESS00000218,,2023-07-18 03:35:00,396,14,direct,email,,tablet,0
SESS00000219,,2023-09-14 13:04:00,13,5,naver,(none),cmp_8,desktop,0
SESS00000220,,2023-06-09 04:50:00,1748,5,facebook,(none),,mobile,0
SESS00000221,CUST000011,2023-06-19 06:46:00,906,14,email,organic,,desktop,0
SESS00000222,,2023-06-25 15:55:00,936,20,google,social,cmp_10,desktop,0
SESS00000223,CUST000076,2023-06-07 19:10:00,442,8,naver,cpc,,desktop,0
SESS00000224,CUST000079,2023-07-06 12:52:00,117,4,email,email,cmp_25,mobile,0
SESS00000225,CUST000150,2023-08-31 23:57:00,1326,13,email,(none),cmp_19,mobile,0
SESS00000226,CUST000113,2023-09-05 08:51:00,199,10,email,cpc,cmp_30,tablet,0
SESS00000227,,2023-08-25 10:04:00,1502,7,naver,social,,desktop,0
SESS00000228,CUST000037,2023-07-17 17:58:00,1107,8,email,cpc,cmp_25,mobile,0
SESS00000229,CUST000093,2023-08-10 12:46:00,1523,3,naver,(none),,tablet,0
SESS00000230,CUST000024,2023-06-30 08:44:00,1610,19,direct,referral,,tablet,0
SESS00000231,CUST000035,2023-11-24 00:18:00,38,19,naver,social,cmp_16,tablet,0
SESS00000232,CUST000050,2023-06-14 22:33:00,1657,12,email,cpc,cmp_24,tablet,0
SESS00000233,,2023-06-22 09:13:00,1202,3,naver,cpc,,desktop,0
SESS00000234,CUST000106,2023-07-14 20:06:00,1648,1,direct,referral,cmp_15,mobile,1
SESS00000235,CUST000162,2023-10-13 10:27:00,626,5,naver,email,,desktop,0
SESS00000236,CUST000001,2023-07-07 13:52:00,1194,7,facebook,(none),cmp_9,mobile,0
SESS00000237,CUST000104,2023-06-09 01:11:00,409,2,facebook,referral,,desktop,0
SESS00000238,CUST000086,2023-11-26 00:43:00,678,5,facebook,social,,mobile,0
SESS00000239,CUST000104,2023-09-13 15:02:00,221,11,google,social,cmp_19,tablet,0
SESS00000240,CUST000103,2023-09-17 07:13:00,1748,17,facebook,organic,cmp_5,desktop,1
SESS00000241,,2023-07-30 18:08:00,387,6,google,social,cmp_21,mobile,0
SESS00000242,CUST000158,2023-06-12 02:07:00,1562,7,naver,referral,cmp_8,tablet,0
SESS00000243,CUST000045,2023-09-02 05:33:00,785,4,facebook,organic,cmp_20,desktop,0
SESS00000244,,2023-11-21 09:21:00,268,7,naver,organic,,desktop,0
SESS00000245,CUST000114,2023-09-18 00:11:00,550,19,email,email,,desktop,0
SESS00000246,CUST000150,2023-08-31 07:27:00,1546,15,referral,(none),,mobile,0
SESS00000247,CUST000164,2023-11-08 11:11:00,1283,16,facebook,social,,mobile,0
SESS00000248,CUST000099,2023-09-12 11:52:00,690,19,google,social,,desktop,0
SESS00000249,CUST000064,2023-11-11 16:03:00,1278,14,direct,social,cmp_16,desktop,0
SESS00000250,CUST000149,2023-11-26 11:10:00,600,15,naver,email,,desktop,0
SESS00000251,CUST000144,2023-10-27 22:44:00,1443,14,facebook,(none),,tablet,0
SESS00000252,CUST000064,2023-07-10 09:12:00,1458,13,direct,referral,cmp_4,desktop,0
SESS00000253,CUST000118,2023-11-13 22:59:00,866,7,referral,(none),,mobile,0
SESS00000254,CUST000169,2023-08-13 13:35:00,682,17,referral,email,cmp_19,mobile,0
SESS00000255,CUST000188,2023-10-16 04:18:00,1168,16,email,(none),cmp_20,tablet,0
SESS00000256,CUST000025,2023-08-30 07:43:00,1034,3,google,email,,tablet,0
SESS00000257,CUST000023,2023-06-08 07:01:00,1028,7,direct,organic,cmp_16,tablet,0
SESS00000258,,2023-06-02 03:17:00,1108,20,direct,email,,tablet,1
SESS00000259,,2023-09-07 23:17:00,1185,7,google,organic,,desktop,0
SESS00000260,CUST000197,2023-08-16 14:25:00,386,11,referral,social,,tablet,0
SESS00000261,,2023-07-13 12:53:00,1448,10,naver,email,cmp_27,mobile,0
SESS00000262,CUST000192,2023-10-28 18:40:00,625,1,facebook,email,,desktop,0
SESS00000263,CUST000171,2023-06-29 05:41:00,857,13,referral,social,,mobile,0
SESS00000264,CUST000173,2023-06-07 13:43:00,1137,8,facebook,social,cmp_4,mobile,0
SESS00000265,CUST000044,2023-08-29 18:01:00,242,13,referral,organic,,desktop,0
SESS00000266,CUST000194,2023-06-21 06:14:00,484,9,naver,organic,,tablet,0
SESS00000267,CUST000053,2023-11-23 08:34:00,1637,4,naver,cpc,,tablet,0
SESS00000268,CUST000187,2023-06-16 02:55:00,899,16,email,organic,cmp_9,tablet,0
SESS00000269,CUST000073,2023-10-27 20:45:00,1218,3,google,cpc,,tablet,0
SESS00000270,CUST000010,2023-07-09 16:35:00,1711,14,direct,cpc,,tablet,0
SESS00000271,,2023-06-19 19:38:00,91,8,naver,organic,cmp_28,mobile,0
SESS00000272,,2023-08-24 09:35:00,544,5,google,organic,cmp_3,desktop,0
SESS00000273,CUST000172,2023-06-25 15:53:00,1221,4,facebook,referral,cmp_3,desktop,0
SESS00000274,CUST000180,2023-06-23 15:07:00,426,5,referral,cpc,,desktop,0
SESS00000275,,2023-07-05 09:57:00,960,1,facebook,referral,,tablet,0
SESS00000276,CUST000034,2023-10-15 14:54:00,1304,10,naver,organic,,tablet,0
SESS00000277,,2023-07-25 13:30:00,1749,17,naver,email,cmp_28,desktop,0
SESS00000278,CUST000142,2023-06-21 01:58:00,1314,16,naver,referral,,tablet,0
SESS00000279,CUST000148,2023-08-13 05:15:00,1323,5,google,social,cmp_2,mobile,0
SESS00000280,CUST000086,2023-07-26 10:03:00,851,20,referral,email,,mobile,0
SESS00000281,CUST000065,2023-08-28 10:10:00,671,6,referral,email,,mobile,1
SESS00000282,CUST000073,2023-10-03 23:51:00,143,15,email,referral,,tablet,0
SESS00000283,CUST000092,2023-09-18 12:38:00,588,17,email,referral,cmp_2,mobile,0
SESS00000284,CUST000161,2023-11-27 23:21:00,896,15,naver,(none),,mobile,0
SESS00000285,,2023-08-15 04:54:00,387,15,referral,(none),cmp_5,desktop,0
SESS00000286,,2023-09-01 12:23:00,63,9,direct,cpc,,tablet,1
SESS00000287,CUST000168,2023-08-10 03:53:00,465,1,direct,referral,,desktop,0
SESS00000288,CUST000180,2023-10-10 14:49:00,1664,4,google,cpc,,desktop,0
SESS00000289,CUST000173,2023-08-09 03:31:00,287,18,facebook,cpc,,mobile,0
SESS00000290,,2023-07-02 11:55:00,1633,6,facebook,organic,cmp_5,mobile,0
SESS00000291,CUST000004,2023-10-16 08:30:00,679,5,email,organic,cmp_20,tablet,0
SESS00000292,CUST000070,2023-06-24 01:46:00,1548,18,naver,email,,mobile,0
SESS00000293,,2023-06-27 22:07:00,514,12,referral,cpc,,desktop,0
SESS00000294,,2023-09-22 04:10:00,1579,17,email,organic,,mobile,0
SESS00000295,CUST000031,2023-11-11 22:59:00,1371,12,direct,referral,,tablet,0
SESS00000296,CUST000008,2023-07-03 17:01:00,1753,3,google,social,cmp_10,tablet,0
SESS00000297,CUST000020,2023-11-04 10:55:00,1564,5,email,cpc,,desktop,0
SESS00000298,CUST000117,2023-08-13 23:56:00,1297,5,email,cpc,cmp_21,tablet,0
SESS00000299,,2023-07-28 00:24:00,464,12,direct,referral,,mobile,0
SESS00000300,CUST000143,2023-10-28 03:42:00,308,4,facebook,(none),,tablet,0
SESS00000301,,2023-08-01 23:25:00,1231,19,google,social,,tablet,0
SESS00000302,CUST000127,2023-09-04 18:36:00,636,1,email,social,cmp_29,tablet,1
SESS00000303,CUST000111,2023-10-24 20:03:00,1422,10,naver,organic,,tablet,0
SESS00000304,CUST000187,2023-06-13 12:21:00,870,15,facebook,organic,,desktop,0
SESS00000305,,2023-06-22 12:20:00,304,15,direct,cpc,,desktop,0
SESS00000306,CUST000151,2023-10-20 01:08:00,742,8,referral,cpc,,mobile,0
SESS00000307,CUST000158,2023-07-12 20:39:00,1748,13,naver,social,cmp_25,desktop,0
SESS00000308,CUST000003,2023-10-15 09:43:00,387,8,referral,organic,,mobile,0
SESS00000309,CUST000197,2023-06-09 08:05:00,940,5,naver,cpc,,desktop,0
SESS00000310,,2023-11-01 03:20:00,1104,11,naver,email,cmp_19,mobile,0
SESS00000311,,2023-10-23 12:00:00,342,9,facebook,social,,mobile,0
SESS00000312,CUST000169,2023-07-07 19:50:00,702,20,naver,social,cmp_8,mobile,0
SESS00000313,CUST000036,2023-10-13 12:14:00,104,9,google,organic,,desktop,0
SESS00000314,,2023-11-06 19:05:00,916,6,google,email,cmp_6,tablet,0
SESS00000315,CUST000078,2023-06-23 13:29:00,1119,6,google,social,,tablet,0
SESS00000316,CUST000155,2023-07-24 15:54:00,1718,1,direct,organic,,desktop,0
SESS00000317,,2023-07-02 07:37:00,331,17,google,social,,desktop,1
SESS00000318,CUST000108,2023-06-25 21:37:00,109,4,email,organic,,mobile,0
SESS00000319,CUST000155,2023-10-03 02:38:00,136,1,google,(none),cmp_23,tablet,0
