perf_id,ad_cmp_id,date,impressions,clicks,conversions,spend,cpc,cpa,ctr
PERF000040,AD00040,2023-10-24,76927,2078,130,139871,67.31,1075.93,2.7
PERF000041,AD00010,2023-11-24,79492,988,98,87444,88.51,892.29,1.24
PERF000042,AD00031,2023-10-27,93153,1426,75,76890,53.92,1025.2,1.53
PERF000043,AD00029,2023-11-22,19026,383,11,28472,74.34,2588.36,2.01
PERF000044,AD00039,2023-10-17,99002,4805,355,50882,10.59,143.33,4.85
PERF000045,AD00018,2023-07-04,27703,1198,81,160292,133.8,1978.91,4.32
PERF000046,AD00029,2023-07-12,69349,1346,82,32054,23.81,390.9,1.94
PERF000047,AD00010,2023-06-29,85681,3117,171,107733,34.56,630.02,3.64
PERF000048,AD00011,2023-10-24,28536,1407,79,139921,99.45,1771.15,4.93
PERF000049,AD00004,2023-10-26,74013,3476,87,36752,10.57,422.44,4.7
PERF000050,AD00003,2023-06-30,2953,51,1,5553,108.88,5553.0,1.73
PERF000051,AD00002,2023-06-17,91657,2830,145,104458,36.91,720.4,3.09
PERF000052,AD00008,2023-06-12,4906,148,9,181022,1223.12,20113.56,3.02
PERF000053,AD00036,2023-11-21,64025,2471,51,148587,60.13,2913.47,3.86
PERF000054,AD00006,2023-08-15,25818,643,52,80697,125.5,1551.87,2.49
PERF000055,AD00004,2023-07-31,73487,1585,61,68954,43.5,1130.39,2.16
PERF000056,AD00006,2023-10-29,67890,2729,220,77447,28.38,352.03,4.02
PERF000057,AD00027,2023-10-19,85084,1321,50,112129,84.88,2242.58,1.55
PERF000058,AD00038,2023-08-20,89641,3729,48,57050,15.3,1188.54,4.16
PERF000059,AD00002,2023-09-26,99513,2604,68,102008,39.17,1500.12,2.62
PERF000060,AD00018,2023-08-24,98280,3295,162,24538,7.45,151.47,3.35
PERF000061,AD00022,2023-06-06,91312,1081,52,180228,166.72,3465.92,1.18
PERF000062,AD00025,2023-09-17,36215,495,5,174687,352.9,34937.4,1.37
PERF000063,AD00026,2023-09-03,40202,1797,132,189570,105.49,1436.14,4.47
PERF000064,AD00015,2023-08-12,1207,51,2,31364,614.98,15682.0,4.23
PERF000065,AD00026,2023-11-05,78526,1629,106,15998,9.82,150.92,2.07
PERF000066,AD00034,2023-11-05,2971,73,4,56025,767.47,14006.25,2.46
PERF000067,AD00028,2023-09-16,72858,1318,78,104069,78.96,1334.22,1.81
PERF000068,AD00035,2023-10-24,75003,2615,63,164103,62.75,2604.81,3.49
PERF000069,AD00030,2023-06-04,70200,1359,66,150600,110.82,2281.82,1.94
PERF000070,AD00034,2023-11-10,75154,1107,63,183815,166.05,2917.7,1.47
PERF000071,AD00032,2023-11-05,10522,258,11,160021,620.24,14547.36,2.45
PERF000072,AD00028,2023-07-17,48581,1367,23,124136,90.81,5397.22,2.81
PERF000073,AD00025,2023-06-06,91860,3103,66,27800,8.96,421.21,3.38
PERF000074,AD00009,2023-09-19,92952,3770,159,170428,45.21,1071.87,4.06
PERF000075,AD00034,2023-10-26,74278,3211,86,8851,2.76,102.92,4.32
PERF000076,AD00020,2023-06-21,73521,3248,254,154851,47.68,609.65,4.42
PERF000077,AD00024,2023-07-06,10547,436,18,138823,318.4,7712.39,4.13
PERF000078,AD00021,2023-07-01,61367,1808,65,28648,15.85,440.74,2.95
PERF000079,AD00009,2023-10-03,39901,1013,26,24563,24.25,944.73,2.54
PERF000080,AD00007,2023-10-17,89208,3736,254,42920,11.49,168.98,4.19
PERF000081,AD00018,2023-06-24,80764,3110,143,41115,13.22,287.52,3.85
PERF000082,AD00028,2023-08-08,24203,399,25,130181,326.27,5207.24,1.65
PERF000083,AD00022,2023-10-10,78022,1012,14,190370,188.11,13597.86,1.3
PERF000084,AD00017,2023-09-02,35917,1675,32,150110,89.62,4690.94,4.66
PERF000085,AD00023,2023-11-22,39489,983,83,16893,17.19,203.53,2.49
PERF000086,AD00021,2023-09-20,67295,1013,87,42102,41.56,483.93,1.51
PERF000087,AD00009,2023-09-02,66135,2858,211,9734,3.41,46.13,4.32
PERF000088,AD00004,2023-06-17,83853,2177,203,94698,43.5,466.49,2.6
PERF000089,AD00027,2023-08-10,7925,224,6,40654,181.49,6775.67,2.83
PERF000090,AD00018,2023-09-29,24281,731,67,165176,225.96,2465.31,3.01
PERF000091,AD00021,2023-08-11,1662,20,1,175904,8795.2,175904.0,1.2
PERF000092,AD00034,2023-07-17,22091,829,61,68011,82.04,1114.93,3.75
PERF000093,AD00006,2023-07-05,56008,722,68,147146,203.8,2163.91,1.29
PERF000094,AD00024,2023-06-02,64107,810,65,152445,188.2,2345.31,1.26
PERF000095,AD00004,2023-06-24,16226,535,52,165017,308.44,3173.4,3.3
PERF000096,AD00012,2023-09-27,15314,754,52,87571,116.14,1684.06,4.92
PERF000097,AD00012,2023-09-18,11599,462,6,100086,216.64,16681.0,3.98
PERF000098,AD00015,2023-09-21,7978,341,7,16495,48.37,2356.43,4.27
PERF000099,AD00003,2023-09-27,10290,436,27,183385,420.61,6792.04,4.24
PERF000100,AD00001,2023-06-02,64421,1304,95,176349,135.24,1856.31,2.02
PERF000101,AD00006,2023-10-08,76235,3156,191,90781,28.76,475.29,4.14
PERF000102,AD00019,2023-07-29,85654,1339,81,127768,95.42,1577.38,1.56
PERF000103,AD00027,2023-10-30,73788,2429,213,113036,46.54,530.69,3.29
PERF000104,AD00023,2023-07-04,79011,1602,153,35295,22.03,230.69,2.03
PERF000105,AD00027,2023-06-23,82842,3456,194,42028,12.16,216.64,4.17
PERF000106,AD00031,2023-07-22,41744,1771,30,195146,110.19,6504.87,4.24
PERF000107,AD00005,2023-06-10,34792,810,19,152188,187.89,8009.89,2.33
PERF000108,AD00040,2023-09-12,30069,1124,18,82796,73.66,4599.78,3.74
PERF000109,AD00014,2023-09-01,58389,1181,93,68427,57.94,735.77,2.02
PERF000110,AD00022,2023-07-09,56138,1751,81,76567,43.73,945.27,3.12
PERF000111,AD00035,2023-09-20,6101,242,12,159215,657.91,13267.92,3.97
PERF000112,AD00036,2023-07-27,95076,4740,427,147066,31.03,344.42,4.99
PERF000113,AD00033,2023-07-20,72717,1610,41,64729,40.2,1578.76,2.21
PERF000114,AD00025,2023-11-09,40048,1050,23,17434,16.6,758.0,2.62
PERF000115,AD00022,2023-08-25,7956,221,11,77535,350.84,7048.64,2.78
PERF000116,AD00004,2023-09-09,48199,1347,54,25987,19.29,481.24,2.79
PERF000117,AD00024,2023-09-10,21900,399,10,7551,18.92,755.1,1.82
PERF000118,AD00039,2023-06-09,71889,3413,311,90079,26.39,289.64,4.75
PERF000119,AD00007,2023-06-11,65668,2308,87,12223,5.3,140.49,3.51
PERF000120,AD00039,2023-06-27,31614,442,7,31245,70.69,4463.57,1.4
PERF000121,AD00030,2023-10-08,51842,714,70,10006,14.01,142.94,1.38
PERF000122,AD00010,2023-08-24,39657,1513,75,106991,70.71,1426.55,3.82
PERF000123,AD00004,2023-11-23,93103,1590,106,111462,70.1,1051.53,1.71
PERF000124,AD00040,2023-09-03,31645,715,66,75267,105.27,1140.41,2.26
PERF000125,AD00006,2023-11-22,24216,1209,109,179813,148.73,1649.66,4.99
PERF000126,AD00009,2023-07-17,58375,2687,216,153344,57.07,709.93,4.6
PERF000127,AD00023,2023-06-16,2386,38,1,188405,4958.03,188405.0,1.59
PERF000128,AD00004,2023-06-21,42878,619,18,193605,312.77,10755.83,1.44
PERF000129,AD00012,2023-08-28,86809,3251,204,120383,37.03,590.11,3.75
PERF000130,AD00040,2023-08-26,5193,142,1,134056,944.06,134056.0,2.73
PERF000131,AD00007,2023-09-22,93298,1646,35,160965,97.79,4599.0,1.76
PERF000132,AD00036,2023-06-13,47381,1816,114,100985,55.61,885.83,3.83
PERF000133,AD00002,2023-07-30,88349,3537,56,7548,2.13,134.79,4.0
PERF000134,AD00026,2023-08-13,89806,3132,304,194102,61.97,638.49,3.49
PERF000135,AD00001,2023-07-23,91443,4196,86,77727,18.52,903.8,4.59
PERF000136,AD00023,2023-07-03,5119,231,11,137771,596.41,12524.64,4.51
PERF000137,AD00040,2023-11-26,38252,481,28,169327,352.03,6047.39,1.26
PERF000138,AD00040,2023-06-25,30016,1489,60,166316,111.7,2771.93,4.96
PERF000139,AD00040,2023-07-15,72492,1766,138,68866,39.0,499.03,2.44
PERF000140,AD00024,2023-11-23,75328,1779,25,106691,59.97,4267.64,2.36
PERF000141,AD00005,2023-06-09,8775,230,12,156416,680.07,13034.67,2.62
PERF000142,AD00001,2023-11-12,3519,91,4,148523,1632.12,37130.75,2.59
PERF000143,AD00004,2023-06-19,72661,1850,91,73883,39.94,811.9,2.55
PERF000144,AD00003,2023-11-26,32671,1628,89,187029,114.88,2101.45,4.98
PERF000145,AD00009,2023-07-26,87797,1558,134,85414,54.82,637.42,1.77
PERF000146,AD00038,2023-11-26,50147,2230,26,107925,48.4,4150.96,4.45
PERF000147,AD00032,2023-09-26,50411,2034,175,92601,45.53,529.15,4.03
PERF000148,AD00021,2023-06-03,29569,485,20,7897,16.28,394.85,1.64
PERF000149,AD00005,2023-10-05,28854,1425,54,39080,27.42,723.7,4.94
PERF000150,AD00026,2023-07-18,38469,547,31,53174,97.21,1715.29,1.42
PERF000151,AD00038,2023-06-16,83278,1454,138,189144,130.09,1370.61,1.75
PERF000152,AD00010,2023-07-27,30009,669,58,23282,34.8,401.41,2.23
PERF000153,AD00001,2023-06-09,75883,879,79,115560,131.47,1462.78,1.16
PERF000154,AD00003,2023-08-31,33018,337,26,146823,435.68,5647.04,1.02
PERF000155,AD00036,2023-09-14,67903,1366,15,35578,26.05,2371.87,2.01
PERF000156,AD00006,2023-09-07,52456,1456,118,166550,114.39,1411.44,2.78
PERF000157,AD00001,2023-08-12,89911,2102,205,124678,59.31,608.19,2.34
PERF000158,AD00022,2023-10-23,73939,3075,181,89745,29.19,495.83,4.16
PERF000159,AD00037,2023-07-18,12498,210,16,116017,552.46,7251.06,1.68
PERF000160,AD00020,2023-07-13,52805,626,59,67985,108.6,1152.29,1.19
PERF000161,AD00027,2023-11-19,24485,1025,91,42084,41.06,462.46,4.19
PERF000162,AD00030,2023-09-03,47363,1460,24,126095,86.37,5253.96,3.08
PERF000163,AD00030,2023-06-07,92082,3115,31,121632,39.05,3923.61,3.38
PERF000164,AD00008,2023-06-24,46121,2014,61,149370,74.17,2448.69,4.37
PERF000165,AD00001,2023-07-17,25778,702,67,30945,44.08,461.87,2.72
PERF000166,AD00039,2023-11-17,23402,297,27,142476,479.72,5276.89,1.27
PERF000167,AD00008,2023-10-12,76084,3529,264,184934,52.4,700.51,4.64
PERF000168,AD00024,2023-10-23,13381,365,29,136893,375.05,4720.45,2.73
PERF000169,AD00028,2023-07-25,71193,1769,105,26378,14.91,251.22,2.48
PERF000170,AD00038,2023-08-20,75576,3021,217,128324,42.48,591.35,4.0
PERF000171,AD00011,2023-11-28,91535,1260,75,16654,13.22,222.05,1.38
PERF000172,AD00004,2023-08-26,31976,932,73,188334,202.08,2579.92,2.91
PERF000173,AD00039,2023-07-26,9803,312,13,45520,145.9,3501.54,3.18
PERF000174,AD00033,2023-10-27,63861,2935,241,77380,26.36,321.08,4.6
PERF000175,AD00022,2023-08-19,8001,290,28,41202,142.08,1471.5,3.62
PERF000176,AD00011,2023-10-01,22300,224,5,61033,272.47,12206.6,1.0
PERF000177,AD00040,2023-08-15,71340,1077,100,64936,60.29,649.36,1.51
PERF000178,AD00009,2023-11-17,21380,264,4,78071,295.72,19517.75,1.23
PERF000179,AD00032,2023-08-11,86830,1602,35,142599,89.01,4074.26,1.84
PERF000180,AD00008,2023-06-17,56241,2753,264,156329,56.78,592.16,4.9
PERF000181,AD00039,2023-07-21,92894,966,20,169443,175.41,8472.15,1.04
PERF000182,AD00001,2023-07-03,5733,202,19,77613,384.22,4084.89,3.52
PERF000183,AD00010,2023-07-27,18196,277,13,99155,357.96,7627.31,1.52
PERF000184,AD00009,2023-11-26,14531,286,21,15860,55.45,755.24,1.97
PERF000185,AD00009,2023-10-07,13260,354,31,111734,315.63,3604.32,2.67
PERF000186,AD00017,2023-09-10,26826,271,26,20057,74.01,771.42,1.01
PERF000187,AD00023,2023-10-31,31252,1481,73,125481,84.73,1718.92,4.74
PERF000188,AD00023,2023-09-10,77619,1074,62,39608,36.88,638.84,1.38
PERF000189,AD00005,2023-11-23,4003,144,14,28503,197.94,2035.93,3.6
PERF000190,AD00027,2023-11-22,90887,4465,74,83259,18.65,1125.12,4.91
PERF000191,AD00025,2023-11-03,6357,282,6,144168,511.23,24028.0,4.44
PERF000192,AD00014,2023-07-01,4823,99,8,199477,2014.92,24934.62,2.05
PERF000193,AD00035,2023-08-10,9766,339,15,44540,131.39,2969.33,3.47
PERF000194,AD00037,2023-06-21,27610,1313,62,8667,6.6,139.79,4.76
PERF000195,AD00033,2023-06-15,49089,1287,115,114493,88.96,995.59,2.62
PERF000196,AD00026,2023-09-26,99715,4495,61,66307,14.75,1087.0,4.51
PERF000197,AD00026,2023-07-10,12024,394,32,99909,253.58,3122.16,3.28
PERF000198,AD00024,2023-06-16,40740,1354,108,71777,53.01,664.6,3.32
PERF000199,AD00020,2023-11-15,5741,158,7,56471,357.41,8067.29,2.75
PERF000200,AD00020,2023-11-02,25715,994,60,95122,95.7,1585.37,3.87
PERF000201,AD00001,2023-08-17,85832,2933,73,54747,18.67,749.96,3.42
PERF000202,AD00009,2023-07-14,51507,792,70,35794,45.19,511.34,1.54
PERF000203,AD00006,2023-08-15,20248,409,33,179447,438.75,5437.79,2.02
PERF000204,AD00009,2023-08-27,86792,2794,108,181555,64.98,1681.06,3.22
PERF000205,AD00010,2023-06-26,90021,2753,154,15299,5.56,99.34,3.06
PERF000206,AD00035,2023-10-05,78872,3787,248,198961,52.54,802.26,4.8
PERF000207,AD00040,2023-09-13,20335,723,54,191440,264.79,3545.19,3.56
PERF000208,AD00006,2023-11-16,79746,2618,115,62829,24.0,546.34,3.28
PERF000209,AD00013,2023-10-22,45411,1916,172,193787,101.14,1126.67,4.22
PERF000210,AD00019,2023-09-26,25465,1160,81,100596,86.72,1241.93,4.56
PERF000211,AD00035,2023-07-31,30479,604,57,14105,23.35,247.46,1.98
PERF000212,AD00016,2023-06-20,11313,432,18,180233,417.21,10012.94,3.82
PERF000213,AD00034,2023-10-06,54171,602,59,75012,124.6,1271.39,1.11
PERF000214,AD00024,2023-09-28,96389,2469,177,181983,73.71,1028.15,2.56
PERF000215,AD00018,2023-10-06,44361,1856,85,191674,103.27,2254.99,4.18
PERF000216,AD00018,2023-11-10,44975,2153,91,67895,31.54,746.1,4.79
PERF000217,AD00028,2023-09-03,74966,2165,188,108029,49.9,574.62,2.89
PERF000218,AD00025,2023-10-31,66901,1692,139,117959,69.72,848.63,2.53
PERF000219,AD00014,2023-08-11,17577,231,9,101977,441.46,11330.78,1.31
PERF000220,AD00002,2023-10-16,92454,4283,263,167090,39.01,635.32,4.63
PERF000221,AD00020,2023-10-09,12473,531,14,109621,206.44,7830.07,4.26
PERF000222,AD00039,2023-07-07,43348,1797,78,104952,58.4,1345.54,4.15
PERF000223,AD00026,2023-08-17,59547,1028,89,67791,65.94,761.7,1.73
PERF000224,AD00001,2023-09-25,37199,575,24,193063,335.76,8044.29,1.55
PERF000225,AD00038,2023-07-01,35825,618,12,79950,129.37,6662.5,1.73
PERF000226,AD00004,2023-11-18,35704,1286,80,69962,54.4,874.52,3.6
PERF000227,AD00011,2023-09-15,16249,358,13,85988,240.19,6614.46,2.2
PERF000228,AD00014,2023-06-15,60350,1971,58,125035,63.44,2155.78,3.27
PERF000229,AD00015,2023-06-27,90216,4163,52,174244,41.86,3350.85,4.61
PERF000230,AD00008,2023-10-05,70576,3026,280,42247,13.96,150.88,4.29
PERF000231,AD00008,2023-06-21,49281,1931,96,151009,78.2,1573.01,3.92
PERF000232,AD00018,2023-08-21,21502,394,32,177475,450.44,5546.09,1.83
PERF000233,AD00018,2023-07-16,57747,2631,146,125757,47.8,861.35,4.56
PERF000234,AD00017,2023-08-08,90165,3247,230,17742,5.46,77.14,3.6
PERF000235,AD00008,2023-10-06,26427,943,23,174896,185.47,7604.17,3.57
PERF000236,AD00002,2023-11-25,70341,1859,75,199503,107.32,2660.04,2.64
PERF000237,AD00010,2023-07-27,59288,1690,36,117715,69.65,3269.86,2.85
PERF000238,AD00026,2023-11-22,43456,1141,31,5892,5.16,190.06,2.63
PERF000239,AD00008,2023-08-11,9119,326,4,169967,521.37,42491.75,3.57
PERF000240,AD00023,2023-07-10,58583,2770,43,101334,36.58,2356.6,4.73
PERF000241,AD00021,2023-11-14,69045,2508,35,11636,4.64,332.46,3.63
PERF000242,AD00010,2023-10-02,90445,1549,33,86051,55.55,2607.61,1.71
PERF000243,AD00012,2023-08-21,61701,2252,214,36435,16.18,170.26,3.65
PERF000244,AD00028,2023-06-07,80195,1767,171,186482,105.54,1090.54,2.2
PERF000245,AD00008,2023-07-26,53166,1656,110,27765,16.77,252.41,3.11
PERF000246,AD00032,2023-07-13,5598,100,2,168167,1681.67,84083.5,1.79
PERF000247,AD00023,2023-08-29,93954,1518,121,51140,33.69,422.64,1.62
PERF000248,AD00002,2023-11-01,85525,1493,112,132045,88.44,1178.97,1.75
PERF000249,AD00016,2023-08-28,17753,688,66,97339,141.48,1474.83,3.88
PERF000250,AD00014,2023-07-31,20445,342,23,121049,353.94,5263.0,1.67
PERF000251,AD00015,2023-11-27,81733,1438,81,164363,114.3,2029.17,1.76
PERF000252,AD00012,2023-06-01,38660,948,49,186794,197.04,3812.12,2.45
PERF000253,AD00015,2023-08-30,30556,463,22,27834,60.12,1265.18,1.52
PERF000254,AD00033,2023-08-29,5555,159,2,17833,112.16,8916.5,2.86
PERF000255,AD00036,2023-09-26,6971,212,9,135504,639.17,15056.0,3.04
PERF000256,AD00008,2023-10-08,21761,939,26,15112,16.09,581.23,4.32
PERF000257,AD00007,2023-06-04,65407,980,44,97856,99.85,2224.0,1.5
PERF000258,AD00036,2023-07-27,74174,2752,184,52942,19.24,287.73,3.71
PERF000259,AD00006,2023-10-05,88322,3687,246,190454,51.66,774.2,4.17
PERF000260,AD00017,2023-10-15,34852,1434,76,90016,62.77,1184.42,4.11
PERF000261,AD00029,2023-08-07,18173,287,28,61804,215.34,2207.29,1.58
PERF000262,AD00010,2023-07-07,22153,1036,57,171393,165.44,3006.89,4.68
PERF000263,AD00007,2023-11-03,39277,791,18,151856,191.98,8436.44,2.01
PERF000264,AD00037,2023-07-10,95025,4050,401,170500,42.1,425.19,4.26
PERF000265,AD00012,2023-07-16,97239,4699,218,103835,22.1,476.31,4.83
PERF000266,AD00012,2023-11-06,45241,834,57,107134,128.46,1879.54,1.84
PERF000267,AD00016,2023-11-10,95641,2788,228,22476,8.06,98.58,2.92
PERF000268,AD00008,2023-10-15,8264,172,12,133916,778.58,11159.67,2.08
PERF000269,AD00018,2023-06-27,31974,327,22,65061,198.96,2957.32,1.02
PERF000270,AD00036,2023-08-18,16994,613,24,8552,13.95,356.33,3.61
PERF000271,AD00005,2023-07-27,51510,874,60,138357,158.3,2305.95,1.7
PERF000272,AD00019,2023-11-17,53336,1022,86,129132,126.35,1501.53,1.92
PERF000273,AD00024,2023-09-07,9291,209,7,129818,621.14,18545.43,2.25
PERF000274,AD00003,2023-09-01,42736,857,14,50686,59.14,3620.43,2.01
PERF000275,AD00005,2023-09-03,12334,334,24,23879,71.49,994.96,2.71
PERF000276,AD00005,2023-10-23,89241,2114,102,9432,4.46,92.47,2.37
PERF000277,AD00037,2023-11-19,12970,428,18,60448,141.23,3358.22,3.3
PERF000278,AD00038,2023-08-22,60095,1916,80,53460,27.9,668.25,3.19
PERF000279,AD00004,2023-10-01,1069,45,0,49230,1094.0,0.0,4.21
PERF000280,AD00028,2023-07-11,88380,936,61,175925,187.95,2884.02,1.06
PERF000281,AD00032,2023-06-25,18819,736,13,85604,116.31,6584.92,3.91
PERF000282,AD00005,2023-07-22,75917,1499,111,167609,111.81,1509.99,1.97
PERF000283,AD00026,2023-09-27,70727,2310,117,14525,6.29,124.15,3.27
PERF000284,AD00037,2023-10-12,63202,1177,29,133594,113.5,4606.69,1.86
PERF000285,AD00031,2023-07-30,11473,480,47,53594,111.65,1140.3,4.18
PERF000286,AD00009,2023-09-21,86463,2211,174,125686,56.85,722.33,2.56
PERF000287,AD00022,2023-11-26,76599,3719,216,129558,34.84,599.81,4.86
PERF000288,AD00035,2023-09-16,47191,919,61,59527,64.77,975.85,1.95
PERF000289,AD00037,2023-11-26,91828,2052,41,29037,14.15,708.22,2.23
PERF000290,AD00025,2023-08-24,41470,727,69,181190,249.23,2625.94,1.75
PERF000291,AD00038,2023-11-11,44892,775,16,16974,21.9,1060.88,1.73
PERF000292,AD00011,2023-07-01,77820,993,85,96515,97.2,1135.47,1.28
PERF000293,AD00032,2023-09-05,36689,1824,110,124562,68.29,1132.38,4.97
PERF000294,AD00019,2023-10-01,1902,73,0,115327,1579.82,0.0,3.84
PERF000295,AD00036,2023-09-27,52857,1175,69,119100,101.36,1726.09,2.22
PERF000296,AD00032,2023-09-11,40025,1316,83,86136,65.45,1037.78,3.29
PERF000297,AD00006,2023-09-16,27385,696,28,186043,267.3,6644.39,2.54
PERF000298,AD00003,2023-08-05,44335,501,23,97537,194.68,4240.74,1.13
PERF000299,AD00021,2023-11-26,29913,861,11,198754,230.84,18068.55,2.88
PERF000300,AD00025,2023-08-09,75061,2031,54,126740,62.4,2347.04,2.71
PERF000301,AD00029,2023-06-21,15406,698,42,98872,141.65,2354.1,4.53
PERF000302,AD00009,2023-10-24,92218,2324,90,17988,7.74,199.87,2.52
PERF000303,AD00024,2023-10-30,62073,2405,62,96688,40.2,1559.48,3.87
PERF000304,AD00008,2023-07-12,70339,1156,54,59098,51.12,1094.41,1.64
PERF000305,AD00028,2023-08-16,31771,1572,136,165977,105.58,1220.42,4.95
PERF000306,AD00019,2023-10-13,82364,3623,310,92922,25.65,299.75,4.4
PERF000307,AD00040,2023-09-09,46702,2190,103,118934,54.31,1154.7,4.69
PERF000308,AD00016,2023-08-16,44307,1778,157,81587,45.89,519.66,4.01
PERF000309,AD00015,2023-08-18,93934,1906,31,85046,44.62,2743.42,2.03
PERF000310,AD00040,2023-07-02,52841,1731,111,69117,39.93,622.68,3.28
PERF000311,AD00039,2023-08-02,93495,4468,148,156602,35.05,1058.12,4.78
PERF000312,AD00029,2023-08-12,30676,1012,34,112457,111.12,3307.56,3.3
PERF000313,AD00017,2023-06-05,69920,2822,240,188398,66.76,784.99,4.04
PERF000314,AD00036,2023-07-14,20150,382,24,136204,356.55,5675.17,1.9
PERF000315,AD00027,2023-07-03,80356,3127,234,62285,19.92,266.18,3.89
PERF000316,AD00037,2023-11-19,70884,2530,226,157734,62.35,697.94,3.57
PERF000317,AD00018,2023-06-26,33660,548,53,154686,282.27,2918.6,1.63
PERF000318,AD00029,2023-07-04,9022,339,6,130498,384.95,21749.67,3.76
PERF000319,AD00003,2023-10-01,43837,966,83,96159,99.54,1158.54,2.2
PERF000320,AD00013,2023-08-13,83614,3209,151,93258,29.06,617.6,3.84
PERF000321,AD00031,2023-10-28,18289,811,17,69076,85.17,4063.29,4.43
PERF000322,AD00001,2023-06-11,40553,856,41,84793,99.06,2068.12,2.11
PERF000323,AD00025,2023-06-17,20448,796,23,19315,24.27,839.78,3.89
PERF000324,AD00002,2023-07-07,97638,4392,86,35093,7.99,408.06,4.5
PERF000325,AD00014,2023-09-27,44688,1981,173,143612,72.49,830.13,4.43
PERF000326,AD00039,2023-09-09,25944,602,24,182613,303.34,7608.88,2.32
PERF000327,AD00031,2023-06-01,73794,3512,341,25678,7.31,75.3,4.76
PERF000328,AD00037,2023-11-04,29626,1415,47,99501,70.32,2117.04,4.78
PERF000329,AD00036,2023-08-16,25792,525,20,106682,203.2,5334.1,2.04
PERF000330,AD00015,2023-06-22,10499,198,11,102251,516.42,9295.55,1.89
PERF000331,AD00004,2023-07-23,39879,1818,49,111796,61.49,2281.55,4.56
PERF000332,AD00011,2023-11-19,98106,1513,131,56092,37.07,428.18,1.54
PERF000333,AD00020,2023-09-26,39371,682,31,176972,259.49,5708.77,1.73
PERF000334,AD00007,2023-06-05,40486,780,39,156898,201.15,4023.03,1.93
PERF000335,AD00027,2023-10-08,98183,3704,304,108873,29.39,358.13,3.77
PERF000336,AD00035,2023-06-08,5282,169,15,175688,1039.57,11712.53,3.2
PERF000337,AD00021,2023-07-07,75590,3357,148,157716,46.98,1065.65,4.44
