conv_id,order_ref,attributed_ad_id,attributed_cmp_id,conv_time,conv_value,conv_type
CONV000064,ORD000322,AD00039,,2023-10-14 00:00:00,171656,SIGNUP
CONV000065,ORD000221,AD00030,,2023-08-03 00:00:00,316989,LEAD
CONV000066,ORD000304,,CMP0023,2023-08-01 00:00:00,326046,PURCHASE
CONV000067,ORD000423,,CMP0006,2023-07-10 00:00:00,258156,PURCHASE
CONV000068,ORD000178,,,2023-06-01 00:00:00,214697,LEAD
CONV000069,ORD000085,,CMP0009,2023-06-16 00:00:00,71179,SIGNUP
CONV000070,ORD000104,AD00026,,2023-11-24 00:00:00,112888,SIGNUP
CONV000071,,,CMP0028,2023-09-15 00:00:00,121033,SIGNUP
CONV000072,ORD000405,,CMP0007,2023-07-20 00:00:00,201070,SIGNUP
CONV000073,ORD000214,AD00024,,2023-07-01 00:00:00,398076,LEAD
CONV000074,,AD00019,,2023-07-08 00:00:00,54067,PURCHASE
CONV000075,ORD000261,AD00037,,2023-08-07 00:00:00,163630,LEAD
CONV000076,ORD000494,AD00006,,2023-11-09 00:00:00,300567,LEAD
CONV000077,ORD000138,,,2023-09-05 00:00:00,134590,LEAD
CONV000078,ORD000277,AD00040,,2023-06-29 00:00:00,74496,SIGNUP
CONV000079,ORD000378,,CMP0009,2023-11-17 00:00:00,213106,SIGNUP
CONV000080,ORD000454,,,2023-07-15 00:00:00,142742,SIGNUP
CONV000081,ORD000247,AD00040,,2023-11-06 00:00:00,286987,SIGNUP
CONV000082,ORD000496,,CMP0008,2023-06-01 00:00:00,42062,SIGNUP
CONV000083,ORD000095,AD00005,,2023-10-14 00:00:00,125469,SIGNUP
CONV000084,ORD000436,AD00016,,2023-06-13 00:00:00,188050,SIGNUP
CONV000085,,,CMP0024,2023-07-21 00:00:00,49961,PURCHASE
CONV000086,ORD000076,AD00026,,2023-08-16 00:00:00,484003,PURCHASE
CONV000087,ORD000411,,,2023-09-07 00:00:00,98075,SIGNUP
CONV000088,ORD000047,,,2023-08-08 00:00:00,341299,SIGNUP
CONV000089,ORD000320,,CMP0004,2023-06-07 00:00:00,207981,LEAD
CONV000090,ORD000188,,,2023-11-03 00:00:00,63707,PURCHASE
CONV000091,ORD000059,,CMP0023,2023-11-08 00:00:00,29385,SIGNUP
CONV000092,ORD000324,AD00018,,2023-09-21 00:00:00,53790,SIGNUP
CONV000093,ORD000084,AD00011,,2023-08-21 00:00:00,11166,PURCHASE
CONV000094,ORD000150,AD00003,,2023-06-01 00:00:00,486983,SIGNUP
CONV000095,ORD000148,,CMP0018,2023-11-06 00:00:00,293709,SIGNUP
CONV000096,ORD000393,,,2023-06-29 00:00:00,495230,PURCHASE
CONV000097,ORD000302,,CMP0023,2023-11-05 00:00:00,297307,SIGNUP
CONV000098,ORD000033,,,2023-09-06 00:00:00,333950,LEAD
CONV000099,,,CMP0029,2023-08-06 00:00:00,95944,PURCHASE
CONV000100,,,CMP0009,2023-08-09 00:00:00,81520,SIGNUP
CONV000101,ORD000494,,,2023-07-14 00:00:00,139337,LEAD
CONV000102,,,CMP0012,2023-10-27 00:00:00,203050,PURCHASE
CONV000103,ORD000246,,,2023-11-01 00:00:00,153267,SIGNUP
CONV000104,,,,2023-07-25 00:00:00,479442,SIGNUP
CONV000105,ORD000466,,CMP0001,2023-08-27 00:00:00,174831,SIGNUP
CONV000106,ORD000357,,,2023-10-15 00:00:00,454920,PURCHASE
CONV000107,ORD000331,AD00020,,2023-11-08 00:00:00,62274,PURCHASE
CONV000108,ORD000173,,,2023-10-16 00:00:00,64199,SIGNUP
CONV000109,ORD000216,,CMP0002,2023-07-31 00:00:00,188782,SIGNUP
CONV000110,ORD000104,,,2023-11-09 00:00:00,224861,LEAD
CONV000111,ORD000294,,CMP0020,2023-09-16 00:00:00,120875,SIGNUP
CONV000112,ORD000356,,CMP0030,2023-10-03 00:00:00,181260,PURCHASE
CONV000113,ORD000074,AD00033,,2023-08-14 00:00:00,77911,SIGNUP
CONV000114,ORD000106,AD00019,,2023-06-27 00:00:00,285983,PURCHASE
CONV000115,,AD00018,,2023-08-28 00:00:00,315359,SIGNUP
CONV000116,ORD000266,,,2023-07-30 00:00:00,178637,SIGNUP
CONV000117,ORD000260,AD00018,,2023-11-12 00:00:00,138016,SIGNUP
CONV000118,ORD000451,AD00029,,2023-09-15 00:00:00,492946,LEAD
CONV000119,,,CMP0029,2023-07-28 00:00:00,264720,SIGNUP
CONV000120,ORD000268,,,2023-08-24 00:00:00,49871,PURCHASE
CONV000121,ORD000256,,,2023-08-14 00:00:00,229838,SIGNUP
CONV000122,ORD000493,AD00032,,2023-08-23 00:00:00,415200,PURCHASE
CONV000123,,,CMP0021,2023-07-15 00:00:00,335669,SIGNUP
CONV000124,ORD000327,AD00011,,2023-07-24 00:00:00,422372,LEAD
CONV000125,ORD000195,,CMP0030,2023-10-23 00:00:00,333255,PURCHASE
CONV000126,ORD000176,,CMP0002,2023-09-21 00:00:00,10483,PURCHASE
CONV000127,ORD000075,AD00006,,2023-07-03 00:00:00,158304,PURCHASE
CONV000128,ORD000244,,CMP0027,2023-11-25 00:00:00,294875,SIGNUP
CONV000129,ORD000158,,,2023-10-02 00:00:00,206668,LEAD
CONV000130,ORD000126,,CMP0010,2023-07-04 00:00:00,389068,SIGNUP
CONV000131,ORD000022,AD00033,,2023-08-30 00:00:00,83786,PURCHASE
CONV000132,ORD000189,AD00027,,2023-06-20 00:00:00,46148,LEAD
CONV000133,ORD000404,,CMP0017,2023-07-16 00:00:00,351157,SIGNUP
CONV000134,,,,2023-07-19 00:00:00,355511,PURCHASE
CONV000135,ORD000040,AD00040,,2023-06-17 00:00:00,262163,PURCHASE
CONV000136,,,CMP0008,2023-07-22 00:00:00,444253,LEAD
CONV000137,,AD00033,,2023-09-04 00:00:00,163026,SIGNUP
CONV000138,ORD000500,AD00027,,2023-11-15 00:00:00,431705,SIGNUP
CONV000139,ORD000141,,,2023-07-21 00:00:00,55697,PURCHASE
CONV000140,ORD000423,,,2023-11-23 00:00:00,486318,PURCHASE
CONV000141,ORD000187,,CMP0024,2023-09-14 00:00:00,271447,SIGNUP
CONV000142,ORD000347,AD00027,,2023-08-27 00:00:00,411208,SIGNUP
CONV000143,ORD000271,AD00022,,2023-11-06 00:00:00,474322,PURCHASE
CONV000144,ORD000389,AD00022,,2023-11-26 00:00:00,141134,PURCHASE
CONV000145,ORD000089,AD00004,,2023-07-06 00:00:00,210182,LEAD
CONV000146,ORD000242,AD00016,,2023-06-13 00:00:00,291729,LEAD
CONV000147,ORD000105,AD00016,,2023-07-19 00:00:00,352255,PURCHASE
CONV000148,ORD000063,AD00034,,2023-08-20 00:00:00,186350,LEAD
CONV000149,ORD000354,AD00025,,2023-08-04 00:00:00,19103,SIGNUP
CONV000150,ORD000322,AD00029,,2023-08-12 00:00:00,386072,PURCHASE
CONV000151,ORD000098,,CMP0027,2023-10-08 00:00:00,260353,SIGNUP
CONV000152,ORD000320,,CMP0008,2023-08-05 00:00:00,356503,PURCHASE
CONV000153,ORD000444,,CMP0019,2023-08-12 00:00:00,38143,SIGNUP
CONV000154,ORD000366,,CMP0022,2023-06-09 00:00:00,92671,PURCHASE
CONV000155,ORD000273,,CMP0015,2023-06-29 00:00:00,94309,SIGNUP
CONV000156,ORD000412,AD00036,,2023-11-02 00:00:00,478719,PURCHASE
CONV000157,ORD000450,,CMP0020,2023-08-31 00:00:00,53280,SIGNUP
CONV000158,ORD000257,,CMP0023,2023-11-27 00:00:00,316172,SIGNUP
CONV000159,ORD000304,,CMP0010,2023-09-19 00:00:00,141817,SIGNUP
CONV000160,ORD000447,AD00017,,2023-06-19 00:00:00,204196,PURCHASE
CONV000161,ORD000122,,,2023-10-13 00:00:00,206964,SIGNUP
CONV000162,ORD000256,AD00001,,2023-06-18 00:00:00,273248,LEAD
CONV000163,ORD000375,,CMP0002,2023-07-02 00:00:00,478341,LEAD
CONV000164,ORD000343,,,2023-11-05 00:00:00,366028,PURCHASE
CONV000165,ORD000111,,,2023-06-12 00:00:00,399495,PURCHASE
CONV000166,,,CMP0023,2023-08-19 00:00:00,359192,PURCHASE
CONV000167,ORD000030,,CMP0009,2023-11-27 00:00:00,455967,SIGNUP
CONV000168,ORD000192,AD00007,,2023-07-27 00:00:00,357929,SIGNUP
CONV000169,ORD000375,,CMP0022,2023-06-23 00:00:00,212029,SIGNUP
CONV000170,ORD000247,,CMP0010,2023-11-13 00:00:00,103943,LEAD
CONV000171,ORD000158,,,2023-09-11 00:00:00,266841,LEAD
CONV000172,,AD00006,,2023-08-30 00:00:00,366544,PURCHASE
CONV000173,ORD000302,,CMP0012,2023-08-31 00:00:00,399396,SIGNUP
CONV000174,ORD000248,AD00027,,2023-11-21 00:00:00,228313,PURCHASE
CONV000175,,,,2023-08-17 00:00:00,32622,LEAD
CONV000176,ORD000186,AD00027,,2023-11-11 00:00:00,17419,SIGNUP
CONV000177,ORD000280,AD00027,,2023-06-30 00:00:00,462784,PURCHASE
CONV000178,ORD000448,AD00013,,2023-07-18 00:00:00,79048,SIGNUP
CONV000179,,,CMP0012,2023-09-10 00:00:00,328238,SIGNUP
CONV000180,ORD000100,AD00010,,2023-11-12 00:00:00,381732,SIGNUP
CONV000181,,,,2023-08-19 00:00:00,302575,LEAD
CONV000182,,,CMP0017,2023-10-02 00:00:00,309404,LEAD
CONV000183,ORD000313,,CMP0014,2023-07-28 00:00:00,40647,SIGNUP
CONV000184,ORD000484,AD00014,,2023-09-08 00:00:00,309213,PURCHASE
CONV000185,ORD000265,,,2023-09-17 00:00:00,141302,PURCHASE
CONV000186,ORD000095,AD00019,,2023-09-12 00:00:00,317447,LEAD
CONV000187,ORD000089,,CMP0004,2023-11-03 00:00:00,57435,LEAD
CONV000188,,,CMP0022,2023-11-14 00:00:00,18902,LEAD
CONV000189,ORD000265,AD00025,,2023-06-02 00:00:00,230233,PURCHASE
CONV000190,ORD000016,,CMP0016,2023-07-23 00:00:00,346159,LEAD
CONV000191,ORD000347,AD00040,,2023-08-14 00:00:00,97137,LEAD
CONV000192,ORD000060,AD00020,,2023-06-03 00:00:00,449403,LEAD
CONV000193,ORD000125,,CMP0025,2023-07-03 00:00:00,171762,LEAD
CONV000194,ORD000339,AD00025,,2023-07-23 00:00:00,402245,SIGNUP
CONV000195,ORD000181,,,2023-06-21 00:00:00,70783,LEAD
CONV000196,ORD000119,AD00016,,2023-10-17 00:00:00,11733,LEAD
CONV000197,,,,2023-10-28 00:00:00,182760,LEAD
CONV000198,ORD000316,,,2023-10-22 00:00:00,185553,PURCHASE
CONV000199,,,,2023-06-27 00:00:00,59223,LEAD
CONV000200,,,CMP0016,2023-11-02 00:00:00,25739,PURCHASE
CONV000201,ORD000324,AD00015,,2023-09-09 00:00:00,351275,LEAD
CONV000202,,AD00012,,2023-10-08 00:00:00,48607,LEAD
CONV000203,ORD000317,,CMP0017,2023-08-11 00:00:00,186311,PURCHASE
CONV000204,ORD000378,,,2023-11-18 00:00:00,358138,LEAD
CONV000205,ORD000029,,CMP0007,2023-08-28 00:00:00,341843,LEAD
CONV000206,ORD000087,,CMP0009,2023-08-27 00:00:00,76135,LEAD
CONV000207,ORD000251,,,2023-10-28 00:00:00,341014,SIGNUP
CONV000208,ORD000192,AD00026,,2023-10-07 00:00:00,248432,LEAD
CONV000209,ORD000062,AD00026,,2023-08-24 00:00:00,89567,SIGNUP
CONV000210,,,,2023-11-02 00:00:00,47879,LEAD
CONV000211,ORD000456,,CMP0017,2023-07-14 00:00:00,486747,PURCHASE
CONV000212,,AD00008,,2023-08-10 00:00:00,317810,SIGNUP
CONV000213,ORD000316,AD00006,,2023-08-02 00:00:00,219693,LEAD
CONV000214,ORD000268,,,2023-07-06 00:00:00,276413,PURCHASE
CONV000215,,,,2023-09-08 00:00:00,66896,LEAD
CONV000216,ORD000208,,CMP0027,2023-06-07 00:00:00,476286,PURCHASE
CONV000217,ORD000430,,CMP0010,2023-07-19 00:00:00,361746,LEAD
CONV000218,,,CMP0016,2023-09-13 00:00:00,462691,SIGNUP
CONV000219,ORD000185,,CMP0014,2023-08-27 00:00:00,337855,SIGNUP
CONV000220,ORD000032,,CMP0003,2023-11-26 00:00:00,202677,LEAD
CONV000221,ORD000308,,CMP0005,2023-07-24 00:00:00,305866,LEAD
CONV000222,ORD000276,,,2023-07-19 00:00:00,211129,PURCHASE
CONV000223,,,CMP0005,2023-11-11 00:00:00,251001,PURCHASE
CONV000224,ORD000086,,CMP0008,2023-09-13 00:00:00,28002,LEAD
CONV000225,ORD000411,AD00029,,2023-07-05 00:00:00,10375,LEAD
CONV000226,ORD000176,,,2023-10-19 00:00:00,297903,PURCHASE
CONV000227,,AD00037,,2023-11-06 00:00:00,233830,SIGNUP
CONV000228,,,CMP0006,2023-06-05 00:00:00,114512,LEAD
CONV000229,ORD000228,,CMP0029,2023-09-05 00:00:00,199581,SIGNUP
CONV000230,ORD000351,,CMP0023,2023-06-01 00:00:00,192193,SIGNUP
CONV000231,ORD000248,,CMP0028,2023-07-20 00:00:00,318781,SIGNUP
CONV000232,ORD000032,AD00026,,2023-09-24 00:00:00,115500,LEAD
CONV000233,ORD000302,AD00039,,2023-06-02 00:00:00,319510,LEAD
CONV000234,,AD00028,,2023-10-19 00:00:00,352780,LEAD
CONV000235,ORD000187,,CMP0012,2023-10-11 00:00:00,273514,SIGNUP
CONV000236,ORD000055,,CMP0004,2023-07-05 00:00:00,319223,PURCHASE
CONV000237,ORD000319,AD00018,,2023-10-05 00:00:00,417557,LEAD
CONV000238,,,CMP0017,2023-06-14 00:00:00,170356,PURCHASE
CONV000239,,,CMP0027,2023-08-20 00:00:00,328974,SIGNUP
CONV000240,ORD000016,AD00005,,2023-10-27 00:00:00,362071,PURCHASE
CONV000241,,,CMP0017,2023-10-08 00:00:00,177890,SIGNUP
CONV000242,ORD000182,,,2023-08-12 00:00:00,137932,SIGNUP
CONV000243,ORD000182,,,2023-06-09 00:00:00,300703,LEAD
CONV000244,ORD000164,AD00034,,2023-08-21 00:00:00,311591,SIGNUP
CONV000245,ORD000403,AD00007,,2023-07-22 00:00:00,16958,SIGNUP
CONV000246,ORD000416,,,2023-07-15 00:00:00,197937,LEAD
CONV000247,ORD000074,,CMP0002,2023-07-21 00:00:00,406202,SIGNUP
CONV000248,ORD000017,,CMP0019,2023-08-12 00:00:00,43058,PURCHASE
CONV000249,ORD000341,,,2023-10-29 00:00:00,29058,LEAD
CONV000250,ORD000107,AD00035,,2023-09-23 00:00:00,366191,SIGNUP
CONV000251,,AD00028,,2023-06-10 00:00:00,341746,SIGNUP
CONV000252,,,CMP0011,2023-06-19 00:00:00,478841,PURCHASE
CONV000253,ORD000239,AD00014,,2023-10-23 00:00:00,330808,SIGNUP
CONV000254,ORD000411,,CMP0023,2023-11-15 00:00:00,111934,PURCHASE
CONV000255,ORD000393,AD00016,,2023-07-12 00:00:00,372063,LEAD
CONV000256,ORD000488,,,2023-09-23 00:00:00,379960,PURCHASE
CONV000257,ORD000291,AD00011,,2023-06-02 00:00:00,257423,PURCHASE
CONV000258,ORD000239,,CMP0004,2023-07-27 00:00:00,127054,PURCHASE
CONV000259,ORD000357,,CMP0015,2023-09-23 00:00:00,222856,SIGNUP
CONV000260,ORD000452,AD00036,,2023-10-20 00:00:00,328124,PURCHASE
CONV000261,ORD000179,AD00010,,2023-10-14 00:00:00,242737,SIGNUP
CONV000262,,AD00023,,2023-10-07 00:00:00,337284,PURCHASE
CONV000263,ORD000016,AD00001,,2023-09-05 00:00:00,239588,SIGNUP
CONV000264,ORD000089,,,2023-08-08 00:00:00,408261,LEAD
CONV000265,ORD000135,AD00022,,2023-09-28 00:00:00,43630,PURCHASE
CONV000266,,AD00027,,2023-10-01 00:00:00,145666,LEAD
CONV000267,ORD000239,AD00029,,2023-08-31 00:00:00,411351,PURCHASE
CONV000268,ORD000231,,CMP0026,2023-10-11 00:00:00,288839,PURCHASE
CONV000269,,AD00027,,2023-11-15 00:00:00,452307,LEAD
CONV000270,ORD000047,,,2023-09-02 00:00:00,64645,PURCHASE
CONV000271,,AD00028,,2023-09-30 00:00:00,478270,PURCHASE
CONV000272,ORD000418,,CMP0015,2023-09-18 00:00:00,160391,LEAD
CONV000273,ORD000033,,CMP0014,2023-10-15 00:00:00,14847,LEAD
CONV000274,ORD000389,,,2023-10-28 00:00:00,127094,SIGNUP
CONV000275,ORD000056,AD00032,,2023-08-21 00:00:00,276938,SIGNUP
CONV000276,ORD000483,AD00023,,2023-09-05 00:00:00,116299,LEAD
CONV000277,ORD000160,,CMP0008,2023-08-16 00:00:00,336981,SIGNUP
CONV000278,ORD000246,,CMP0011,2023-08-26 00:00:00,388780,SIGNUP
CONV000279,,,,2023-09-12 00:00:00,110861,LEAD
CONV000280,ORD000493,AD00011,,2023-08-08 00:00:00,365065,LEAD
CONV000281,,AD00006,,2023-09-05 00:00:00,67724,LEAD
CONV000282,ORD000299,,,2023-11-24 00:00:00,278041,LEAD
CONV000283,ORD000353,,CMP0014,2023-07-17 00:00:00,477805,PURCHASE
CONV000284,ORD000023,AD00036,,2023-08-28 00:00:00,351548,SIGNUP
CONV000285,ORD000339,,,2023-09-14 00:00:00,286095,PURCHASE
CONV000286,ORD000149,,,2023-07-10 00:00:00,103770,LEAD
CONV000287,ORD000216,AD00012,,2023-11-27 00:00:00,126874,PURCHASE
CONV000288,ORD000001,,,2023-09-09 00:00:00,107218,SIGNUP
CONV000289,ORD000444,AD00007,,2023-10-07 00:00:00,199021,SIGNUP
CONV000290,ORD000215,AD00035,,2023-11-04 00:00:00,96081,SIGNUP
CONV000291,ORD000407,,,2023-06-22 00:00:00,146985,PURCHASE
CONV000292,ORD000182,AD00015,,2023-06-08 00:00:00,116443,PURCHASE
CONV000293,ORD000329,,CMP0010,2023-11-04 00:00:00,14756,SIGNUP
CONV000294,,,,2023-09-06 00:00:00,198895,SIGNUP
CONV000295,ORD000388,,CMP0005,2023-06-24 00:00:00,112078,PURCHASE
CONV000296,ORD000277,AD00027,,2023-07-15 00:00:00,455872,LEAD
CONV000297,ORD000412,AD00019,,2023-11-08 00:00:00,120271,SIGNUP
CONV000298,ORD000050,,CMP0028,2023-10-16 00:00:00,101665,PURCHASE
CONV000299,ORD000133,,CMP0006,2023-10-12 00:00:00,323516,LEAD
CONV000300,ORD000305,,,2023-07-25 00:00:00,216009,PURCHASE
