event_id,email_send_id,event_type,event_time,device,link_url
EVT000147,ES000497,CLICK,2023-11-30 04:30:00,MOBILE,https://shop.example.com/promo/1
EVT000148,ES000499,OPEN,2023-07-14 18:00:00,DESKTOP,
EVT000149,ES000501,OPEN,2023-10-24 21:00:00,TABLET,
EVT000150,ES000503,OPEN,2023-08-05 23:00:00,DESKTOP,
EVT000151,ES000520,OPEN,2023-06-14 13:00:00,DESKTOP,
EVT000152,ES000529,OPEN,2023-10-28 23:00:00,TABLET,
EVT000153,ES000529,CLICK,2023-10-28 23:26:00,MOBILE,https://shop.example.com/promo/32
EVT000154,ES000531,OPEN,2023-08-19 23:00:00,TABLET,
EVT000155,ES000536,OPEN,2023-10-01 05:00:00,TABLET,
EVT000156,ES000538,OPEN,2023-08-17 10:00:00,MOBILE,
EVT000157,ES000540,OPEN,2023-07-30 01:00:00,MOBILE,
EVT000158,ES000547,OPEN,2023-07-17 14:00:00,MOBILE,
EVT000159,ES000547,CLICK,2023-07-17 14:20:00,MOBILE,https://shop.example.com/promo/44
EVT000160,ES000548,OPEN,2023-06-07 14:00:00,TABLET,
EVT000161,ES000549,OPEN,2023-07-24 17:00:00,MOBILE,
EVT000162,ES000551,OPEN,2023-06-18 19:00:00,DESKTOP,
EVT000163,ES000552,OPEN,2023-07-22 12:00:00,TABLET,
EVT000164,ES000552,CLICK,2023-07-22 12:02:00,MOBILE,https://shop.example.com/promo/61
EVT000165,ES000554,OPEN,2023-11-06 01:00:00,DESKTOP,
EVT000166,ES000560,OPEN,2023-09-05 11:00:00,DESKTOP,
EVT000167,ES000560,CLICK,2023-09-05 11:19:00,MOBILE,https://shop.example.com/promo/6
EVT000168,ES000563,OPEN,2023-07-26 22:00:00,DESKTOP,
EVT000169,ES000568,OPEN,2023-08-23 03:00:00,DESKTOP,
EVT000170,ES000568,CLICK,2023-08-23 03:15:00,TABLET,https://shop.example.com/promo/34
EVT000171,ES000569,OPEN,2023-08-01 08:00:00,TABLET,
EVT000172,ES000569,CLICK,2023-08-01 08:20:00,MOBILE,https://shop.example.com/promo/89
EVT000173,ES000573,OPEN,2023-08-19 01:00:00,DESKTOP,
EVT000174,ES000581,OPEN,2023-08-21 06:00:00,TABLET,
EVT000175,ES000582,OPEN,2023-09-22 00:00:00,TABLET,
EVT000176,ES000582,CLICK,2023-09-22 00:03:00,MOBILE,https://shop.example.com/promo/76
EVT000177,ES000584,OPEN,2023-06-04 19:00:00,MOBILE,
EVT000178,ES000584,CLICK,2023-06-04 19:03:00,DESKTOP,https://shop.example.com/promo/99
EVT000179,ES000587,OPEN,2023-06-10 16:00:00,DESKTOP,
EVT000180,ES000599,OPEN,2023-11-19 07:00:00,DESKTOP,
EVT000181,ES000599,CLICK,2023-11-19 07:16:00,DESKTOP,https://shop.example.com/promo/85
EVT000182,ES000612,OPEN,2023-08-24 00:00:00,DESKTOP,
EVT000183,ES000615,OPEN,2023-09-11 19:00:00,MOBILE,
EVT000184,ES000618,OPEN,2023-11-16 22:00:00,DESKTOP,
EVT000185,ES000618,CLICK,2023-11-16 22:01:00,TABLET,https://shop.example.com/promo/47
EVT000186,ES000622,OPEN,2023-08-10 16:00:00,TABLET,
EVT000187,ES000622,CLICK,2023-08-10 16:05:00,DESKTOP,https://shop.example.com/promo/88
EVT000188,ES000640,OPEN,2023-10-03 06:00:00,MOBILE,
EVT000189,ES000648,OPEN,2023-09-16 14:00:00,TABLET,
EVT000190,ES000648,CLICK,2023-09-16 14:09:00,DESKTOP,https://shop.example.com/promo/84
EVT000191,ES000655,OPEN,2023-10-08 23:00:00,MOBILE,
EVT000192,ES000655,CLICK,2023-10-08 23:27:00,DESKTOP,https://shop.example.com/promo/31
EVT000193,ES000671,OPEN,2023-09-22 01:00:00,MOBILE,
EVT000194,ES000679,OPEN,2023-07-21 07:00:00,MOBILE,
EVT000195,ES000679,CLICK,2023-07-21 07:14:00,MOBILE,https://shop.example.com/promo/43
EVT000196,ES000682,OPEN,2023-06-23 17:00:00,TABLET,
EVT000197,ES000683,OPEN,2023-08-09 13:00:00,TABLET,
EVT000198,ES000683,CLICK,2023-08-09 13:06:00,DESKTOP,https://shop.example.com/promo/27
EVT000199,ES000692,OPEN,2023-07-13 18:00:00,MOBILE,
EVT000200,ES000693,OPEN,2023-08-11 00:00:00,MOBILE,
EVT000201,ES000698,OPEN,2023-08-27 21:00:00,DESKTOP,
EVT000202,ES000698,CLICK,2023-08-27 21:25:00,TABLET,https://shop.example.com/promo/60
EVT000203,ES000704,OPEN,2023-11-07 05:00:00,DESKTOP,
EVT000204,ES000707,OPEN,2023-09-24 02:00:00,MOBILE,
EVT000205,ES000708,OPEN,2023-11-05 17:00:00,MOBILE,
EVT000206,ES000710,OPEN,2023-11-05 11:00:00,TABLET,
EVT000207,ES000715,OPEN,2023-09-22 03:00:00,DESKTOP,
EVT000208,ES000715,CLICK,2023-09-22 03:07:00,TABLET,https://shop.example.com/promo/82
EVT000209,ES000730,OPEN,2023-08-15 23:00:00,MOBILE,
EVT000210,ES000731,OPEN,2023-11-03 06:00:00,DESKTOP,
EVT000211,ES000738,OPEN,2023-10-19 20:00:00,TABLET,
EVT000212,ES000745,OPEN,2023-10-26 11:00:00,TABLET,
EVT000213,ES000750,OPEN,2023-08-02 09:00:00,TABLET,
EVT000214,ES000751,OPEN,2023-09-06 12:00:00,DESKTOP,
EVT000215,ES000761,OPEN,2023-11-15 03:00:00,DESKTOP,
EVT000216,ES000761,CLICK,2023-11-15 03:03:00,MOBILE,https://shop.example.com/promo/68
EVT000217,ES000765,OPEN,2023-10-23 04:00:00,DESKTOP,
EVT000218,ES000766,OPEN,2023-07-04 04:00:00,MOBILE,
EVT000219,ES000767,OPEN,2023-09-17 21:00:00,DESKTOP,
EVT000220,ES000771,OPEN,2023-06-28 15:00:00,TABLET,
EVT000221,ES000777,OPEN,2023-07-08 17:00:00,MOBILE,
EVT000222,ES000779,OPEN,2023-11-17 15:00:00,DESKTOP,
EVT000223,ES000781,OPEN,2023-06-07 23:00:00,TABLET,
EVT000224,ES000781,CLICK,2023-06-07 23:29:00,DESKTOP,https://shop.example.com/promo/6
EVT000225,ES000790,OPEN,2023-08-22 06:00:00,MOBILE,
EVT000226,ES000794,OPEN,2023-08-08 21:00:00,TABLET,
EVT000227,ES000795,OPEN,2023-08-05 13:00:00,TABLET,
EVT000228,ES000795,CLICK,2023-08-05 13:14:00,MOBILE,https://shop.example.com/promo/88
EVT000229,ES000803,OPEN,2023-10-08 03:00:00,MOBILE,
EVT000230,ES000803,CLICK,2023-10-08 03:07:00,TABLET,https://shop.example.com/promo/86
EVT000231,ES000808,OPEN,2023-10-15 00:00:00,DESKTOP,
EVT000232,ES000811,OPEN,2023-11-21 18:00:00,TABLET,
EVT000233,ES000817,OPEN,2023-08-31 00:00:00,TABLET,
EVT000234,ES000817,CLICK,2023-08-31 00:06:00,TABLET,https://shop.example.com/promo/75
EVT000235,ES000818,OPEN,2023-06-24 10:00:00,MOBILE,
EVT000236,ES000818,CLICK,2023-06-24 10:02:00,MOBILE,https://shop.example.com/promo/32
EVT000237,ES000822,OPEN,2023-11-17 04:00:00,DESKTOP,
EVT000238,ES000827,OPEN,2023-10-06 02:00:00,DESKTOP,
EVT000239,ES000827,CLICK,2023-10-06 02:05:00,MOBILE,https://shop.example.com/promo/93
EVT000240,ES000829,OPEN,2023-06-30 08:00:00,DESKTOP,
EVT000241,ES000835,OPEN,2023-08-04 18:00:00,DESKTOP,
EVT000242,ES000835,CLICK,2023-08-04 18:22:00,TABLET,https://shop.example.com/promo/32
EVT000243,ES000842,OPEN,2023-06-16 19:00:00,TABLET,
EVT000244,ES000846,OPEN,2023-08-14 08:00:00,MOBILE,
EVT000245,ES000848,OPEN,2023-08-19 09:00:00,TABLET,
EVT000246,ES000848,CLICK,2023-08-19 09:15:00,DESKTOP,https://shop.example.com/promo/39
EVT000247,ES000856,OPEN,2023-07-23 06:00:00,DESKTOP,
EVT000248,ES000857,OPEN,2023-07-21 05:00:00,TABLET,
EVT000249,ES000858,OPEN,2023-10-24 00:00:00,TABLET,
EVT000250,ES000859,OPEN,2023-07-02 07:00:00,TABLET,
EVT000251,ES000861,OPEN,2023-07-06 06:00:00,TABLET,
EVT000252,ES000864,OPEN,2023-10-11 02:00:00,MOBILE,
EVT000253,ES000864,CLICK,2023-10-11 02:10:00,DESKTOP,https://shop.example.com/promo/32
EVT000254,ES000871,OPEN,2023-08-11 03:00:00,TABLET,
EVT000255,ES000871,CLICK,2023-08-11 03:01:00,DESKTOP,https://shop.example.com/promo/99
EVT000256,ES000875,OPEN,2023-06-16 06:00:00,MOBILE,
EVT000257,ES000875,CLICK,2023-06-16 06:10:00,TABLET,https://shop.example.com/promo/98
EVT000258,ES000881,OPEN,2023-09-24 12:00:00,TABLET,
EVT000259,ES000884,OPEN,2023-07-19 00:00:00,TABLET,
EVT000260,ES000884,CLICK,2023-07-19 00:08:00,DESKTOP,https://shop.example.com/promo/6
EVT000261,ES000893,OPEN,2023-07-06 23:00:00,MOBILE,
EVT000262,ES000894,OPEN,2023-08-19 18:00:00,DESKTOP,
EVT000263,ES000896,OPEN,2023-06-07 19:00:00,DESKTOP,
EVT000264,ES000897,OPEN,2023-10-10 03:00:00,MOBILE,
EVT000265,ES000898,OPEN,2023-07-29 14:00:00,TABLET,
EVT000266,ES000904,OPEN,2023-09-18 01:00:00,TABLET,
EVT000267,ES000904,CLICK,2023-09-18 01:26:00,DESKTOP,https://shop.example.com/promo/77
EVT000268,ES000909,OPEN,2023-07-01 13:00:00,DESKTOP,
EVT000269,ES000913,OPEN,2023-11-16 18:00:00,MOBILE,
EVT000270,ES000915,OPEN,2023-09-08 17:00:00,TABLET,
EVT000271,ES000915,CLICK,2023-09-08 17:19:00,DESKTOP,https://shop.example.com/promo/1
EVT000272,ES000921,OPEN,2023-08-02 17:00:00,TABLET,
EVT000273,ES000925,OPEN,2023-10-31 20:00:00,MOBILE,
EVT000274,ES000927,OPEN,2023-07-18 04:00:00,MOBILE,
EVT000275,ES000927,CLICK,2023-07-18 04:15:00,MOBILE,https://shop.example.com/promo/85
EVT000276,ES000930,OPEN,2023-06-18 16:00:00,TABLET,
EVT000277,ES000930,CLICK,2023-06-18 16:21:00,DESKTOP,https://shop.example.com/promo/88
EVT000278,ES000934,OPEN,2023-08-10 09:00:00,MOBILE,
EVT000279,ES000934,CLICK,2023-08-10 09:02:00,TABLET,https://shop.example.com/promo/23
EVT000280,ES000938,OPEN,2023-07-15 08:00:00,MOBILE,
EVT000281,ES000938,CLICK,2023-07-15 08:05:00,DESKTOP,https://shop.example.com/promo/14
EVT000282,ES000941,OPEN,2023-06-30 06:00:00,TABLET,
EVT000283,ES000954,OPEN,2023-08-28 19:00:00,DESKTOP,
EVT000284,ES000954,CLICK,2023-08-28 19:27:00,DESKTOP,https://shop.example.com/promo/36
EVT000285,ES000961,OPEN,2023-06-24 03:00:00,DESKTOP,
EVT000286,ES000964,OPEN,2023-09-04 01:00:00,MOBILE,
EVT000287,ES000965,OPEN,2023-09-02 19:00:00,MOBILE,
EVT000288,ES000973,OPEN,2023-09-19 22:00:00,TABLET,
EVT000289,ES000975,OPEN,2023-08-11 18:00:00,TABLET,
EVT000290,ES000978,OPEN,2023-10-01 21:00:00,TABLET,
EVT000291,ES000978,CLICK,2023-10-01 21:17:00,TABLET,https://shop.example.com/promo/12
EVT000292,ES000981,OPEN,2023-09-25 01:00:00,MOBILE,
EVT000293,ES000983,OPEN,2023-08-17 00:00:00,TABLET,
EVT000294,ES000986,OPEN,2023-10-24 18:00:00,TABLET,
EVT000295,ES000989,OPEN,2023-10-07 06:00:00,DESKTOP,
EVT000296,ES000989,CLICK,2023-10-07 06:25:00,MOBILE,https://shop.example.com/promo/100
EVT000297,ES000990,OPEN,2023-10-14 13:00:00,TABLET,
EVT000298,ES000990,CLICK,2023-10-14 13:26:00,TABLET,https://shop.example.com/promo/4
EVT000299,ES000991,OPEN,2023-11-11 01:00:00,TABLET,
EVT000300,ES000995,OPEN,2023-09-02 20:00:00,DESKTOP,
EVT000301,ES000996,OPEN,2023-07-04 05:00:00,TABLET,
EVT000302,ES001008,OPEN,2023-11-30 06:00:00,MOBILE,
EVT000303,ES001013,OPEN,2023-10-22 01:00:00,DESKTOP,
EVT000304,ES001019,OPEN,2023-07-23 12:00:00,MOBILE,
EVT000305,ES001023,OPEN,2023-08-03 16:00:00,TABLET,
EVT000306,ES001023,CLICK,2023-08-03 16:05:00,DESKTOP,https://shop.example.com/promo/49
EVT000307,ES001025,OPEN,2023-08-07 03:00:00,DESKTOP,
EVT000308,ES001028,OPEN,2023-08-08 05:00:00,MOBILE,
EVT000309,ES001031,OPEN,2023-11-25 11:00:00,MOBILE,
EVT000310,ES001032,OPEN,2023-09-25 09:00:00,MOBILE,
EVT000311,ES001037,OPEN,2023-07-12 02:00:00,TABLET,
EVT000312,ES001040,OPEN,2023-06-24 16:00:00,DESKTOP,
EVT000313,ES001056,OPEN,2023-07-26 21:00:00,DESKTOP,
EVT000314,ES001057,OPEN,2023-11-15 07:00:00,MOBILE,
EVT000315,ES001058,OPEN,2023-08-23 06:00:00,MOBILE,
EVT000316,ES001058,CLICK,2023-08-23 06:13:00,TABLET,https://shop.example.com/promo/87
EVT000317,ES001060,OPEN,2023-07-16 05:00:00,TABLET,
EVT000318,ES001063,OPEN,2023-10-16 07:00:00,DESKTOP,
EVT000319,ES001064,OPEN,2023-10-01 07:00:00,TABLET,
EVT000320,ES001066,OPEN,2023-06-22 08:00:00,MOBILE,
EVT000321,ES001067,OPEN,2023-06-14 14:00:00,DESKTOP,
EVT000322,ES001069,OPEN,2023-07-30 08:00:00,DESKTOP,
EVT000323,ES001071,OPEN,2023-06-24 12:00:00,MOBILE,
EVT000324,ES001076,OPEN,2023-07-04 01:00:00,TABLET,
EVT000325,ES001076,CLICK,2023-07-04 01:03:00,DESKTOP,https://shop.example.com/promo/49
EVT000326,ES001084,OPEN,2023-10-31 10:00:00,TABLET,
EVT000327,ES001084,CLICK,2023-10-31 10:08:00,TABLET,https://shop.example.com/promo/90
EVT000328,ES001086,OPEN,2023-06-29 03:00:00,DESKTOP,
EVT000329,ES001087,OPEN,2023-09-26 08:00:00,TABLET,
EVT000330,ES001087,CLICK,2023-09-26 08:23:00,DESKTOP,https://shop.example.com/promo/5
EVT000331,ES001092,OPEN,2023-08-31 01:00:00,MOBILE,
EVT000332,ES001094,OPEN,2023-09-21 01:00:00,DESKTOP,
EVT000333,ES001096,OPEN,2023-09-19 09:00:00,MOBILE,
EVT000334,ES001098,OPEN,2023-09-21 06:00:00,TABLET,
EVT000335,ES001101,OPEN,2023-07-28 20:00:00,TABLET,
EVT000336,ES001102,OPEN,2023-09-09 14:00:00,TABLET,
EVT000337,ES001104,OPEN,2023-08-15 12:00:00,DESKTOP,
EVT000338,ES001105,OPEN,2023-07-19 18:00:00,MOBILE,
EVT000339,ES001119,OPEN,2023-10-12 06:00:00,MOBILE,
EVT000340,ES001122,OPEN,2023-07-24 01:00:00,DESKTOP,
EVT000341,ES001123,OPEN,2023-06-28 20:00:00,TABLET,
EVT000342,ES001124,OPEN,2023-10-15 06:00:00,DESKTOP,
EVT000343,ES001140,OPEN,2023-08-21 00:00:00,MOBILE,
EVT000344,ES001145,OPEN,2023-07-07 10:00:00,MOBILE,
EVT000345,ES001145,CLICK,2023-07-07 10:17:00,DESKTOP,https://shop.example.com/promo/44
EVT000346,ES001152,OPEN,2023-09-14 16:00:00,MOBILE,
EVT000347,ES001155,OPEN,2023-08-25 12:00:00,DESKTOP,
EVT000348,ES001157,OPEN,2023-10-05 12:00:00,TABLET,
EVT000349,ES001159,OPEN,2023-11-09 05:00:00,DESKTOP,
EVT000350,ES001160,OPEN,2023-07-11 16:00:00,TABLET,
EVT000351,ES001160,CLICK,2023-07-11 16:26:00,DESKTOP,https://shop.example.com/promo/31
EVT000352,ES001166,OPEN,2023-11-18 07:00:00,MOBILE,
EVT000353,ES001166,CLICK,2023-11-18 07:05:00,DESKTOP,https://shop.example.com/promo/100
EVT000354,ES001171,OPEN,2023-09-08 21:00:00,DESKTOP,
EVT000355,ES001173,OPEN,2023-07-08 15:00:00,MOBILE,
EVT000356,ES001175,OPEN,2023-08-31 18:00:00,MOBILE,
EVT000357,ES001175,CLICK,2023-08-31 18:06:00,MOBILE,https://shop.example.com/promo/33
