report_id,competitor_id,our_campaign_ref,our_product_ids,competitor_product_ids,channels_analyzed,poached_influencer_ids,report_date,source,sov_google_ads_pct,sov_google_ads_trend,sov_meta_ads_pct,sov_meta_ads_trend,sov_tiktok_ads_pct,sov_tiktok_ads_trend,sov_naver_ads_pct,sov_naver_ads_trend,sov_kakao_moment_pct,sov_kakao_moment_trend,sov_youtube_pct,sov_youtube_trend,sov_instagram_pct,sov_instagram_trend,sov_twitter_x_pct,sov_twitter_x_trend,sov_linkedin_pct,sov_linkedin_trend,sov_email_pct,sov_email_trend,sov_sms_pct,sov_sms_trend,sov_push_notification_pct,sov_push_notification_trend,sov_display_network_pct,sov_display_network_trend,sov_native_ad_pct,sov_native_ad_trend,sov_affiliate_pct,sov_affiliate_trend,sov_programmatic_pct,sov_programmatic_trend,sov_ott_ads_pct,sov_ott_ads_trend,sov_podcast_ads_pct,sov_podcast_ads_trend,sov_influencer_pct,sov_influencer_trend,sov_offline_event_pct,sov_offline_event_trend,traffic_raw,traffic_norm,traffic_pct,traffic_delta,traffic_yoy,traffic_mom,traffic_avg7d,traffic_avg30d,traffic_median,traffic_p75,traffic_std,traffic_min,traffic_max,traffic_organic,traffic_paid,traffic_cumul,traffic_our_val,traffic_comp_val,traffic_gap,traffic_rank,traffic_index,traffic_score,traffic_trend_val,traffic_benchmark,social_raw,social_norm,social_pct,social_delta,social_yoy,social_mom,social_avg7d,social_avg30d,social_median,social_p75,social_std,social_min,social_max,social_organic,social_paid,social_cumul,social_our_val,social_comp_val,social_gap,social_rank,social_index,social_score,social_trend_val,social_benchmark,search_raw,search_norm,search_pct,search_delta,search_yoy,search_mom,search_avg7d,search_avg30d,search_median,search_p75,search_std,search_min,search_max,search_organic,search_paid,search_cumul,search_our_val,search_comp_val,search_gap,search_rank,search_index,search_score,search_trend_val,search_benchmark,brand_raw,brand_norm,brand_pct,brand_delta,brand_yoy,brand_mom,brand_avg7d,brand_avg30d,brand_median,brand_p75,brand_std,brand_min,brand_max,brand_organic,brand_paid,brand_cumul,brand_our_val,brand_comp_val,brand_gap,brand_rank,brand_index,brand_score,brand_trend_val,brand_benchmark,pricing_raw,pricing_norm,pricing_pct,pricing_delta,pricing_yoy,pricing_mom,pricing_avg7d,pricing_avg30d,pricing_median,pricing_p75,pricing_std,pricing_min,pricing_max,pricing_organic,pricing_paid,pricing_cumul,pricing_our_val,pricing_comp_val,pricing_gap,pricing_rank,pricing_index,pricing_score,pricing_trend_val,pricing_benchmark,threat_level,market_share_pct,price_index
CI-gvp5trjwsiyg,COMP-6,,PRD-283|PRD-433|PRD-247|PRD-229,COMP_PRD-49|COMP_PRD-188|COMP_PRD-86|COMP_PRD-65,offline_event,미입력,05.05.2025,socialbakers,2.96,up,4.76,down,10.07,up,4.58,stable,19.29,up,2.03,급증,2.93,급증,13.66,down,20.56,stable,29.91,volatile,14.52,급감,22.07,급감,17.58,급증,4.56,미입력,8.22,stable,9.61,up,27.45,up,14.81,up,29.91,급증,11.29,stable,78.5,341.55,169.28,64.35,12.65,449.9,49.41,31.47,6.26,591.18,29.66,100.79,266.07,0.0,80.94,9.09,126.26,26.3,191.57,160.37,0.0,52.01,82.97,223.99,192.53,25.29,152.29,237.59,126.45,17.62,54.56,102.72,241.8,187.42,86.97,123.02,66.65,17.38,6.19,138.82,182.18,54.3,137.61,346.92,145.55,0.0,56.49,17.65,122.54,0.97,20.61,164.62,5.88,55.78,168.52,225.49,30.94,142.7,15.28,146.54,32.47,0.27,8.87,116.3,0.0,2.0,55.11,266.73,63.6,49.4,4.27,114.9,58.19,314.33,60.07,103.09,0.0,29.78,52.06,0.03,47.42,30.38,261.52,23.93,96.81,139.98,259.39,39.35,11.69,91.76,250.25,167.02,66.8,46.64,81.1,1.41,190.31,32.54,16.7,141.93,34.11,113.63,174.17,0.0,7.79,95.01,171.92,0.0,0.0,8.02,68.47,14.03,108.0,17.71,18.1,25.05,112.92,49.41,310.72,44.42,declining,27.17,135.3
CI-260kb9fcavgh,COMP-12,CAMP-0862,PRD-202|PRD-37,COMP_PRD-13|COMP_PRD-85|COMP_PRD-105|COMP_PRD-48,email,-,2024년 06월 29일,industry_report,13.58,급증,19.2,급증,7.53,volatile,11.81,up,12.24,급증,0.49,급감,16.59,stable,17.14,volatile,14.42,down,27.3,급증,28.39,volatile,5.87,급감,28.16,급증,17.2,down,18.96,up,19.37,급감,15.66,volatile,3.86,급감,7.62,급감,18.82,stable,111.81,180.22,3.25,89.48,131.04,185.21,59.33,370.91,62.47,42.87,31.35,406.32,22.71,193.6,79.5,186.85,68.07,168.87,66.35,62.09,65.15,60.52,53.34,167.95,177.33,38.28,134.38,29.21,27.48,20.76,258.75,252.7,154.62,138.88,5.51,7.22,18.61,191.29,191.63,100.26,57.42,51.28,104.73,9.77,140.41,52.26,54.61,77.13,65.68,174.38,200.74,82.9,50.06,12.51,30.99,28.73,80.29,164.81,34.06,308.07,19.87,54.8,37.06,66.98,0.0,65.57,15.67,126.2,108.97,57.32,65.59,127.68,2374.0,29.94,3.78,202.13,4.79,96.26,183.49,697.42,137.6,177.68,35.55,71.16,93.35,123.76,488.11,91.33,151.8,143.6,250.9,2.98,39.53,80.76,44.76,37.12,0.0,24.18,273.51,116.46,22.7,49.42,143.23,4.12,110.82,174.25,192.76,29.38,158.24,103.52,113.84,110.72,26.91,38.58,137.06,74.26,67.83,0.38,73.58,64.96,declining,26.78,100.8
CI-1an0aim7sbxi,COMP-1,CAMP-0952,PRD-389|PRD-451|PRD-47,COMP_PRD-158,affiliate,null,24-12-2025,scraping,9.36,up,20.31,volatile,15.89,급감,2.32,up,3.75,급증,26.33,UNKNOWN,10.47,up,9.36,급감,13.48,급증,14.15,stable,14.77,급감,27.44,down,13.73,volatile,15.9,volatile,29.54,volatile,8.51,volatile,8.15,up,29.33,volatile,4.03,,26.87,급증,77.99,196.23,66.31,24.5,185.95,190.28,146.49,6.92,1.48,183.55,5.86,33.22,58.68,13.75,22.19,49.13,65.4,14.05,32.46,34.34,122.34,6.07,59.77,280.32,502.03,85.26,11.99,145.32,154.04,208.21,61.27,266.23,176.16,1.78,73.1,27.41,4.29,40.92,4.52,13.97,343.16,16.33,263.66,39.06,48.51,267.46,17.81,300.2,261.45,250.86,6.01,109.45,59.67,4.06,177.17,316.12,36.43,0.0,3.3,201.71,12.17,127.02,66.81,170.93,85.37,0.0,138.06,26.35,56.1,25.73,82.87,91.2,133.65,5.51,0.0,176.36,94.56,155.12,0.0,22.78,24.59,19.43,273.07,13.01,315.65,138.89,45.24,120.97,51.99,33.59,124.53,162.05,62.49,131.92,47.52,35.87,21.5,217.59,116.95,54.6,51.42,1.46,256.04,98.59,40.16,0.82,76.25,12.93,37.98,62.18,60.27,199.64,265.06,48.91,136.39,81.79,0.73,20.78,13.65,180.0,hxgh,34.51,132.0
CI-9ihq1g5rctud,COMP-8,CAMP-z009,PRD-367|PRD-331,COMP_PRD-120|COMP_PRD-188,meta_ads|sms|linkedin|display_network|ott_ads,INF-82,18.05.2024,socialbakers,27.28,up,1.69,stable,7.47,volatile,29.85,급증,3.92,volatile,16.43,급증,29.44,volatile,2.67,급감,0.79,up,15.63,급증,10.1,volatile,20.58,,8.18,stable,7.2,급증,22.71,stqble,7.07,volatile,3.32,급감,15.22,급증,20.95,up,20.5,급감,30.62,85.59,40.27,38.56,82.52,64.52,38.85,140.79,128.49,39.39,229.6,43.32,265.72,220.06,31.97,290.29,174.64,257.08,52.71,280.71,289.54,263.03,49.06,63.72,175.88,323.61,100.17,337.91,644.44,66.71,122.83,145.32,400.78,122.21,93.12,55.89,84.48,64.76,132.94,190.79,3.68,192.45,152.11,0.96,0.0,117.26,9.04,36.52,20.78,46.79,27.7,287.51,82.94,5.04,16.7,13.29,1.71,19.71,84.39,9857.0,108.49,36.0,70.1,12.75,4.31,3.25,67.39,740.78,25.79,43.0,16.25,208.04,393.56,166.8,11.92,187.9,13.37,24.13,3.34,32.82,90.49,57.96,202.51,4043.0,187.79,22.24,87.18,56.3,60.32,56.66,52.52,195.93,152.68,22.3,77.65,73.25,157.26,33.05,11.58,318.48,3.72,35.26,192.8,43.02,383.06,13.0,234.7,22.66,121.3,5.12,148.79,76.66,176.34,26.62,112.77,136.61,174.31,155.25,28.12,165.63,N/A,31.82,85.2
CI-cbrq2gqzth7b,COMP-28,,PRD-402,COMP_PRD-43,offline_event|meta_ads,INF-2|INF-49|INF-238,2025년 05월 13일,similarweb,26.13,up,1.79,down,21.48,volatile,18.7,급증,18.91,down,9.07,up,19.87,down,12.41,up,12.75,급감,3.31,down,25.55,급증,2.93,stable,24.28,,2.2,stable,3.34,down,14.01,급감,7.03,nan,14.32,stable,20.87,급증,12.88,stable,92.12,16.98,35.51,32.29,159.76,10.72,168.9,19.23,128.37,39.71,135.63,139.96,76.65,21.84,113.42,184.76,203.01,47.57,55.77,95.37,44.24,0.0,44.17,49.19,77.68,180.42,190.83,119.45,67.14,51.83,92.15,32.67,0.97,123.02,105.16,67.19,20.32,72.38,173.25,144.1,22.38,88.68,58.18,22.67,116.58,122.93,135.41,455.95,16.77,0.64,357.34,192.42,75.57,85.23,91.76,97.96,10.06,0.0,126.67,26.8,96.2,21.06,69.11,279.59,193.7,6.87,205.57,60.87,18.2,25.7,60.1,183.13,203.69,15.46,58.69,104.64,38.18,46.4,48.67,1.24,236.39,83.72,52.55,42.39,57.32,11.69,159.53,8.9,164.68,68.41,91.06,25.07,11.71,77.51,83.86,60.48,153.89,74.3,20.72,88.56,69.12,92.92,124.72,105.11,87.65,143.65,13.16,58.77,143.34,56.6,125.47,342.92,19.4,298.76,94.12,76.19,15.89,461.08,167.19,135.32,미입력,13.87,130.5
CI-2dq110tkmv7j,COMP-23,CAMP-0338,PRD-69|PRD-125|PRD-398|PRD-314|PRD-94,COMP_PRD-191|COMP_PRD-20|COMP_PRD-143|COMP_PRD-118,affiliate|native_ad|naver_ads,-,15-07-2025,scraping,4.7,급감,16.78,급증,19.21,stable,8.12,volatile,12.16,up,9.34,급증,17.96,급감,22.22,volatile,9.38,급감,25.08,down,12.65,up,17.04,up,24.79,down,18.64,stable,6.92,volatile,16.76,down,18.56,급증,28.84,급증,26.39,down,20.42,volatile,0.9,168.74,97.09,58.52,94.93,67.27,4.96,29.6,143.11,152.3,136.19,46.34,63.31,72.82,15.06,115.41,5.7,0.0,40.61,43.04,106.78,80.47,135.73,6.0,131.46,34.39,363.17,57.82,134.62,223.11,25.94,38.91,12.39,78.45,220.93,24.18,3.58,158.73,83.48,358.61,30.15,8.93,15.33,83.36,133.46,7.67,137.11,43.37,25.42,57.33,168.63,323.72,31.99,21.73,87.37,131.05,47.12,6.98,12.04,262.61,12.3,141.4,118.33,37.56,127.3,156.93,173.49,109.27,328.18,125.55,10.76,56.55,121.48,17.07,80.78,84.4,78.63,45.21,55.37,84.77,43.68,110.71,77.74,122.36,8.6,24.87,16.12,23.24,97.74,105.48,33.35,192.87,35.46,59.99,40.59,189.93,47.03,150.07,32.35,99.19,84.19,52.53,17.72,32.14,186.2,2.04,1.18,54.99,11.31,138.52,21.31,189.18,4.48,66.09,288.5,95.22,0.0,45.87,20.09,50.23,medium,12.17,93.2
CI-pu1xzffsp053,COMP-18,CAMP-0536,PRD-50|PRD-78|PRD-471,COMP_PRD-129|COMP_PRD-62,influencer,미입력,12-03-2024,manual,12.38,up,5.3,stable,9.94,nan,18.76,급증,5.61,stable,5.14,down,6.55,down,25.16,급증,14.99,stable,15.7,down,5.0,급감,1.0,up,21.04,stable,23.05,급증,6.49,down,4.34,down,3.96,down,5.75,stable,28.86,volatile,14.26,급증,230.55,192.83,21.51,60.13,28.16,277.2,41.65,118.51,313.78,0.0,47.93,0.0,20.31,578.39,190.0,63.28,191.53,4.45,11.69,8.19,72.17,316.13,35.68,305.92,28.8,120.71,20.36,200.26,5.71,270.73,11.26,212.91,124.1,38.1,18.06,125.16,38.73,8.42,70.98,195.71,137.21,121.38,45.58,7.91,271.75,312.77,124.21,0.0,23.48,184.7,162.19,39.81,157.34,273.04,36.06,128.44,281.0,207.49,21.54,78.58,94.46,65.0,53.82,56.83,33.45,65.73,565.2,94.6,0.58,322.5,124.31,11.74,6.82,137.49,19.84,304.86,269.48,78.5,108.48,142.63,19.42,151.11,51.1,29.64,187.44,75.78,134.08,166.34,36.45,27.54,11.81,64.28,13.68,13.73,0.0,10.42,38.71,48.01,203.38,71.95,113.24,212.95,114.55,5.43,46.81,137.67,82.29,1.63,194.1,75.13,201.67,31.43,28.0,13.64,139.22,0.0,358.73,196.96,82.3,449.01,critical,8.99,113.8
CI-dn61r9lqhpfx,COMP-26,,PRD-251|PRD-199|PRD-319|PRD-270,COMP_PRD-119,tiktok_ads|push_notification,null,11/29/2025,similarweb,5.23,down,18.14,nan,28.06,급감,0.99,up,7.86,volatile,19.51,급감,28.29,stable,20.9,stable,21.13,stable,17.12,stable,14.5,down,17.96,급증,26.14,down,3.89,급감,19.75,up,27.06,up,25.58,급증,25.21,down,19.76,stablx,21.87,down,29.32,247.18,102.88,20.05,71.75,138.09,131.84,4.6,91.98,137.91,20.7,65.31,306.05,0.0,37.31,96.63,152.76,58.12,18.07,45.84,7.31,120.37,205.58,0.25,251.11,18.48,42.85,20.07,12.79,74.85,45.17,26.56,15.74,8750.0,38.46,165.13,182.49,23.05,90.51,102.24,216.39,12846.0,30.7,211.35,150.52,111.49,28.27,141.81,71.1,10.81,308.78,313.64,110.76,0.0,178.23,116.29,34.12,64.35,77.91,55.35,141.69,62.28,54.32,92.23,138.99,41.27,192.49,81.73,9.42,41.3,14.06,9.26,195.71,0.0,70.26,308.12,81.96,14.29,118.8,4.74,23.76,28.21,15.0,31.41,152.66,59.72,47.95,266.62,114.21,153.78,47.85,118.62,315.19,230.69,7.25,43.41,575.49,127.94,28.08,171.91,70.72,78.64,49.11,109.82,86.41,479.87,65.79,193.38,122.46,60.54,56.27,67.68,289.6,20.58,31.21,0.0,107.38,432.59,447.37,10.87,high,33.3,105.6
CI-77hx6fvket29,COMP-21,CAMP-0616,PRD-166|PRD-74|PRD-273,COMP_PRD-40|COMP_PRD-191,offline_event|email,-,"Jun 25, 2023",socialbakers,20.86,UNKNOWN,17.75,N/A,21.61,volatile,19.76,급감,24.07,급증,28.64,volatixe,28.37,N/A,29.97,급감,28.42,down,8.1,up,2.68,volatile,21.86,down,1.07,volatile,25.39,up,6.77,미입력,6.74,volatile,10.5,down,29.27,급감,19.56,급증,3.33,volatile,37.0,132.78,223.4,6.68,61.18,311.93,33.92,701.93,71.28,265.73,76.17,109.52,11.61,22.1,422.58,155.28,80.45,49.52,24.32,168.69,114.1,389.67,7.93,145.06,39.94,46.98,31.33,12.43,36.65,39.36,63.76,80.43,0.0,226.03,56.71,13.67,116.83,63.38,120.33,149.32,102.33,38.12,50.19,8.69,280.25,46.23,95.95,158.57,49.62,63.09,281.95,186.75,10.36,77.75,0.0,2.6,113.87,40.79,0.0,33.59,47.5,275.78,16.72,33.94,106.06,0.0,14.05,76.35,19.07,259.83,29.42,12.18,249.45,147.56,112.09,21.95,25.58,198.81,27.2,25.93,60.67,59.19,231.19,11.56,8140.000000000001,135.95,275.82,319.01,54.03,91.45,0.0,105.04,149.13,84.5,34.04,166.61,32.86,306.59,172.8,73.51,165.67,1.5,242.95,101.38,55.58,92.32,30.32,64.15,61.75,29.36,1.48,20.24,24.14,300.04,157.12,256.91,66.82,49.84,92.09,21.78,low,20.7,106.7
CI-6wrt0q8p5s33,COMP-9,,PRD-295|PRD-228|PRD-109,COMP_PRD-53|COMP_PRD-70|COMP_PRD-161|COMP_PRD-150|COMP_PRD-132,native_ad|google_ads|tiktok_ads|twitter_x,UNKNOWN,2023/05/10,socialbakers,7.45,up,3.11,stable,22.94,up,5.84,급증,5.67,up,16.58,급증,11.46,down,6.81,stable,13.92,stable,25.39,stable,5.81,volatile,6.16,급감,25.03,down,18.8,volatile,15.18,,19.39,stable,22.1,up,21.18,stable,27.94,nan,12.66,stable,6.55,208.7,53.03,26.66,129.02,48.62,423.41,180.46,55.44,132.58,312.56,191.51,25.96,178.06,167.49,182.65,3.16,49.53,21.86,44.17,263.84,179.39,23.03,2375.0,13330.000000000002,15.75,155.34,29.75,37.01,113.05,270.81,148.41,184.09,3414.0,199.05,318.93,27.36,60.31,83.01,362.13,18.92,72.12,11.61,172.28,50.81,244.63,3.01,60.08,12.57,12.7,239.98,67.17,137.84,8.55,154.62,53.63,199.87,5.69,121.42,77.73,38.65,4.06,17.11,91.03,40.02,369.04,3.4,67.9,20.64,130.7,10.47,32.85,30.96,217.91,47.99,367.72,140.74,70.27,198.57,57.29,17.97,56.58,110.83,245.09,64.5,0.0,49.69,9.7,56.27,189.79,6.01,13.72,102.97,87.54,113.22,108.45,79.98,146.07,23.87,111.4,8077.0,26.1,0.79,264.98,115.53,30.24,61.89,134.6,96.04,94.33,534.63,19.45,52.44,137.76,98.17,25.41,72.78,9.34,91.83,138.56,high,22.99,137.1
CI-i0xn4dqpexqh,COMP-21,CAMP-0234,PRD-210|PRD-291,COMP_PRD-133|COMP_PRD-54|COMP_PRD-161|COMP_PRD-174,meta_ads|naver_ads|podcast_ads|influencer,INF-150|INF-294|INF-261,12/12/2023,industry_report,15.55,null,17.2,up,29.49,stable,4.3,stable,8.74,nan,21.46,급증,5.2,volatile,15.07,volatile,10.05,up,27.21,down,23.1,down,2.29,stable,23.86,down,20.23,up,24.62,up,20.96,-,20.56,급증,29.66,up,27.8,volatile,9.65,급감,301.97,0.38,141.58,75.1,49.0,233.2,57.54,166.4,27.32,107.91,380.29,1.15,102.17,24.55,135.63,42.87,36.62,372.7,79.59,1807.0,356.71,136.7,25.04,27.09,39.7,23.32,220.86,36.23,86.5,78.46,86.15,77.35,113.19,59.87,162.2,304.87,2.06,46.4,93.61,125.69,20.62,4.39,50.55,19.74,203.58,64.6,25.63,75.64,408.9,1.57,40.35,76.53,62.32,254.08,187.06,127.17,106.07,3.34,19.29,144.3,6.5,18.05,46.99,116.06,24.54,139.05,39.21,1594.0,163.97,202.72,65.34,18.7,1.65,35.25,341.57,15.78,56.33,58.73,6.79,23.87,0.0,39.71,55.13,23.34,382.11,102.35,35.02,8.77,61.94,213.87,132.8,50.06,272.04,62.1,74.28,19.02,77.87,4176.0,95.15,46.62,26.37,51.54,155.36,75.29,71.43,5.15,248.13,6.38,136.48,21.85,227.81,18.96,12.29,30.19,177.47,111.98,58.32,89.46,71.85,252.63,emerging,17.45,70.1
CI-ca0y8kidciba,COMP-7,CAMP-0399,PRD-459|PRD-489,COMP_PRD-76,naver_ads|instagram|twitter_x|meta_ads,INF-28w|INF-113|INF-20,2024/07/09,similarweb,9.71,volatile,23.88,down,12.69,down,29.17,up,7.46,volatile,4.36,down,28.03,up,22.45,stable,1.51,up,29.88,stable,17.6,급증,27.67,급증,5.17,up,2.46,volatile,23.5,down,20.07,급감,29.78,급증,7.22,down,17.33,up,20.97,급감,28.05,5.63,206.07,174.29,19.11,47.51,11.97,0.0,0.0,16.91,102.38,281.39,33.36,33.13,19.06,138.66,91.1,61.12,23.08,112.93,259.9,3.52,61.11,1.2,140.39,52.41,16.64,40.22,46.61,14.01,222.49,7.59,56.22,44.62,44.24,122.37,28.13,247.49,0.0,108.31,345.83,5.37,164.88,102.15,141.9,46.5,77.61,119.5,202.54,253.25,86.96,53.5,66.68,42.56,115.17,106.24,16.73,19.83,18.07,12.17,11.6,84.37,1.11,16.86,6.43,107.1,81.59,3897.0,29.44,504.8,28.63,188.07,29.65,161.91,150.46,127.85,84.13,80.98,241.52,36.62,136.35,311.56,21.27,11.28,74.5,248.11,24.33,32.0,28.26,112.49,27.57,54.75,0.0,18.61,32049.0,309.72,165.74,79.81,72.98,15.43,300.37,62.89,26.08,48.83,202.01,67.16,17.23,2.17,45.86,132.36,78.42,0.58,53.31,0.0,0.0,47.58,116.65,26.24,50.27,122.47,high,28.22,101.1
CI-8e2tyyfrytys,COMP-18,,PRD-307|PRD-32,COMP_PRD-90|COMP_PRD-56|COMP_PRD-20,display_network|programmatic|tiktok_ads|twitter_x,,"Sep 02, 2025",socialbakers,12.55,up,9.8,up,2.85,stable,3.86,급증,8.65,급감,23.58,급감,12.93,up,0.44,급감,7.62,volatile,8.17,급증,10.77,stable,19.93,급감,16.6,volatile,13.24,급증,28.71,급증,23.42,down,24.98,up,1.76,급감,3.02,down,23.99,volatile,11.92,80.91,98.08,21.8,101.38,87.98,2.3,19.79,0.0,63.25,61.53,191.17,91.34,0.53,203.22,147.74,37.08,64.82,0.0,188.35,32.14,38.76,1.16,132.34,26.58,194.94,60.35,104.96,7.51,9.85,105.25,180.64,300.12,2.82,0.37,138.14,35.29,10552.0,89.64,70.1,107.87,130.67,39.68,422.31,93.74,54.01,37.62,144.89,205.89,27.95,45.57,85.05,26.54,29.69,11.22,62.97,88.63,161.08,83.43,233.87,85.0,9.06,124.39,10.64,83.03,0.0,91.62,41.02,95.87,19.46,34.49,59.2,116.55,34.2,33.13,58.5,93.08,306.09,0.0,206.17,278.01,97.62,37.51,318.43,33.31,256.21,58.4,261.49,14.14,52.25,153.56,7.97,67.55,61.44,320.6,95.24,36.45,231.38,29.0,145.05,405.4,42.86,101.4,114.21,23.0,186.14,109.6,280.23,96.95,246.69,159.64,9.33,21.04,53.87,113.34,4.82,282.58,116.6,345.4,14.88,declining,34.22,144.8
CI-867ev0fspyx2,null,N/A,PRD-353|PRD-132,COMP_PRD-16,native_ad,,26-08-2025,industry_report,15.67,down,17.89,volatile,15.64,up,25.23,급증,12.74,급증,9.95,down,2.2,down,18.68,up,3.75,,1.56,stable,12.56,volatile,18.09,stable,26.87,nan,7.35,급증,10.36,voyatile,10.72,급증,26.63,급증,3.39,stable,5.74,stable,2.85,volatile,6944.0,172.34,102.86,0.39,173.95,18.65,227.51,419.77,479.19,65.7,106.69,94.6,162.59,103.2,106.27,55.17,57.43,153.97,227.04,57.6,40.13,105.42,109.6,30.16,128.34,26.73,0.0,49.84,22.35,66.48,29.6,27.78,205.3,8.24,62.45,6.3,30.67,109.96,83.94,1.88,144.03,201.01,38.04,156.55,20.57,18.37,26.58,135.35,16.36,124.52,118.19,18.59,117.12,68.93,189.54,19.43,47.95,32.96,39.52,8.88,15.05,35.52,171.46,8551.0,84.59,54.3,82.33,71.69,194.13,117.66,55.0,147.79,291.02,182.85,68.93,102.53,22.17,46.05,279.35,1.41,27.58,34.9,46.87,87.4,22.14,118.5,17.51,5955.0,45.49,86.51,18.39,212.7,138.6,189.55,60.14,261.6,49.85,76.26,104.76,261.73,28.99,88.75,327.15,0.0,49.58,157.91,108.29,10.11,116.14,6.97,72.86,133.92,227.86,199.3,88.6,45.13,27.02,67.68,1.76,17.36,declining,28.75,114.7
CI-i6wphipiropd,COMP-30,,PRD-142|PRD-143|PRD-15|PRD-339|PRD-323,COMP_PRD-60,meta_ads|twitter_x,null,"Apr 24, 2025",ad_library,23.11,급감,16.23,급감,11.22,stable,7.34,stable,28.45,down,17.7,down,6.48,N/A,13.13,volatile,16.94,stable,11.04,volatile,15.61,volatile,15.32,급증,16.68,stable,20.9,급증,3.73,,18.23,up,26.5,down,15.25,급증,27.07,up,25.05,급감,90.81,8.76,33.35,8.96,30.21,102.77,123.72,142.24,180.66,191.96,126.18,47.75,257.1,11.35,26.42,189.7,76.66,147.58,70.59,40.63,104.73,44.82,159.11,61.36,39.28,156.39,58.04,406.57,61.06,296.67,361.81,27.62,64.57,30.85,133.14,17.84,263.15,97.16,146.38,67.9,372.65,37.47,53.05,6.77,4.18,328.6,112.05,76.3,119.53,20.54,84.36,83.44,133.18,32.45,130.31,207.09,109.28,381.89,233.56,25.45,44.99,137.72,146.89,68.52,86.14,201.36,220.5,1.41,16.76,39.86,137.1,17.92,149.21,45.3,1.11,11482.0,35.09,64.42,0.0,143.49,57.3,13.01,0.0,64.12,21.9,22.03,244.7,41.91,143.28,290.95,184.63,178.6,355.97,46.94,52.95,24.56,417.87,222.5,294.51,1.49,38.19,150.03,115.3,11.82,43.62,161.61,160.68,168.93,113.28,101.83,77.6,140.72,143.71,3.45,177.42,83.61,63.24,245.39,71.04,7.29,critical,15.78,75.0
CI-h6ug2xvj44n6,COMP-24,CAMP-0853,PRD-99,COMP_PRD-1|COMP_PRD-39|COMP_PRD-188,meta_ads,미입력,20.01.2024,manual,26.86,null,26.72,stable,19.36,down,9.01,stable,10.89,stable,12.01,N/A,24.18,volatile,25.54,down,24.64,up,22.43,volatile,14.92,volatile,19.17,volatile,8.19,급감,6.93,stable,16.56,down,9.75,급증,10.22,급감,25.46,급감,14.79,down,4.33,up,183.06,115.7,86.13,62.42,107.04,230.99,33.15,27.45,147.22,8.56,83.9,5.46,100.88,73.12,10.56,19262.0,30.23,0.0,26.64,31.09,82.89,0.0,270.45,20.47,194.83,50.62,40.8,28.79,75.35,86.36,233.49,93.48,5.98,85.02,116.9,33.1,149.44,341.0,25.28,35.59,20.87,10.02,25.67,58.75,102.12,33.36,98.08,62.05,16.45,164.95,164.04,185.5,28.01,3.7,259.95,43.98,123.8,198.68,8.83,123.15,74.84,41.51,357.21,4.21,162.17,41.6,638.12,0.0,0.0,35.8,47.19,48.08,56.03,77.46,40.7,190.73,57.25,44.27,260.39,20.02,256.29,6.82,47.91,53.15,235.47,202.04,64.36,150.0,162.05,151.5,71.9,3.66,38.02,84.58,93.76,460.14,19.22,57.86,64.97,721.36,213.12,75.48,81.42,213.73,207.02,108.78,217.69,422.65,1.73,46.05,52.25,58.7,103.16,114.83,73.22,97.1,65.41,107.07,17.42,142.38,high,34.92,131.8
CI-twp4ibjn68p6,,,PRD-22|PRD-216|PRD-127|PRD-242|PRD-500,COMP_PRD-125|COMP_PRD-44|COMP_PRD-69,influencer|programmatic|ott_ads|instagram|offline_event,INF-280,08-06-2023,socialbakers,6.11,stable,26.45,급증,18.15,volatile,27.69,stable,10.07,up,20.53,volatile,28.31,up,22.75,UNKNOWN,16.57,volatile,13.61,up,8.14,up,17.36,down,29.31,volatile,13.91,급증,23.62,volatile,18.17,up,16.99,up,9.45,급감,27.27,up,12.36,up,21.83,0.0,176.68,0.0,18.68,0.0,7.14,2.13,123.75,11.5,9.16,83.3,30.58,145.47,44.75,120.59,82.64,179.28,13.83,7.79,134.85,99.45,174.02,76.18,127.33,52.87,167.22,25.2,375.32,75.03,86.05,11.5,96.61,89.27,70.1,64.13,64.14,52.61,48.28,1.44,51.1,117.2,68.65,20.57,25.01,65.12,77.35,68.47,44.54,0.0,96.74,264.44,252.45,151.83,34.69,37.96,68.25,37.26,44.31,12.41,69.81,79.95,0.0,32.98,20.15,165.66,102.42,244.55,239.56,447.09,1.88,13.43,25.73,232.38,319.59,107.39,118.2,65.32,30.21,106.37,54.25,31.77,17.19,58.81,133.29,15.67,73.24,143.94,262.92,97.46,11.56,5.79,12.05,165.94,105.16,146.14,37.34,37.32,205.74,17.02,259.09,16.57,64.36,63.13,433.5,6.63,175.43,54.16,29.63,81.02,416.26,41.02,141.61,270.31,7.78,24.98,142.01,6.82,29.0,287.6,declining,12.82,108.9
